domain,split,instance_id,prediction_label,truncated_top2_pair,regularized_pair,exact_pair_match,overlap_count,retained_features,dropped_features,added_features,regularized_nonzero_count,unregularized_pair_reproduced,stored_raw_shap_values,recomputed_unregularized_values,regularized_values
housing,training,14693,Cheap,sqft_living | bedrooms,sqft_living | grade,0,1,sqft_living,bedrooms,grade,2,1,"[-0.11842078543765022,0.11891141236014804,0.04636478983828372,-0.0769113700248943,-0.11070948621614501]","[-0.11842078543765022,0.11891141236014804,0.04636478983828372,-0.0769113700248943,-0.11070948621614501]","[-0.07423836935088149,0.0,0.0,0.0,-0.06652707012937628]"
housing,training,13350,Expensive,sqft_living | bathrooms,sqft_living | bathrooms,1,2,sqft_living | bathrooms,,,2,1,"[0.19869162629989442,0.027943716077233435,-0.09702146694360128,0.02467496977719459,-0.07515451486521363]","[0.19869162629989442,0.027943716077233435,-0.09702146694360128,0.02467496977719459,-0.07515451486521363]","[0.18742371179450174,0.0,-0.10828938144899419,0.0,0.0]"
housing,training,2968,Expensive,sqft_living | floors,sqft_living | floors,1,2,sqft_living | floors,,,2,1,"[-0.2107874711604753,0.10201087843222194,0.04705149361025601,0.1669108677464587,-0.07641126588522289]","[-0.2107874711604753,0.10201087843222194,0.04705149361025601,0.1669108677464587,-0.07641126588522289]","[-0.17446191808184794,0.0,0.0,0.2032364208250864,0.0]"
housing,training,15034,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.13298908525868064,-0.009001378348433023,-0.006438376263623001,-0.04730858262349424,0.12891737643907955]","[0.13298908525868064,-0.009001378348433023,-0.006438376263623001,-0.04730858262349424,0.12891737643907955]","[0.10161491664090552,0.0,0.0,0.0,0.0975432078213044]"
housing,training,4666,Expensive,bedrooms | bathrooms,bedrooms | bathrooms,1,2,bedrooms | bathrooms,,,2,1,"[0.010432133704294952,0.19133739767443375,0.0898457037237046,-0.06620376666764174,-0.07477582159754406]","[0.010432133704294952,0.19133739767443375,0.0898457037237046,-0.06620376666764174,-0.07477582159754406]","[0.0,0.12606367039398836,0.024571976443259147,0.0,0.0]"
housing,training,8187,Expensive,bedrooms | floors,bedrooms | floors,1,2,bedrooms | floors,,,2,1,"[0.058387414445453256,0.14373396451482973,0.059708337923086996,0.17554724343778502,-0.04424412891742602]","[0.058387414445453256,0.14373396451482973,0.059708337923086996,0.17554724343778502,-0.04424412891742602]","[0.0,0.18065977624038693,0.0,0.21247305516334208,0.0]"
housing,training,6557,Cheap,bedrooms | grade,bedrooms | grade,1,2,bedrooms | grade,,,2,1,"[-0.040814089694961364,0.10666035909294652,0.04516635718074488,-0.038410804064685014,-0.2801887591780774]","[-0.040814089694961364,0.10666035909294652,0.04516635718074488,-0.038410804064685014,-0.2801887591780774]","[0.0,0.08963109080349568,0.0,0.0,-0.29721802746752807]"
housing,training,2898,Cheap,bathrooms | floors,bathrooms | floors,1,2,bathrooms | floors,,,2,1,"[0.04524230359581554,0.020178577634429234,0.12009183302131442,-0.0931289576164358,-0.09244410051013519]","[0.04524230359581554,0.020178577634429234,0.12009183302131442,-0.0931289576164358,-0.09244410051013519]","[0.0,0.0,0.1065802233813693,-0.1066405672563811,0.0]"
housing,training,2864,Cheap,bathrooms | grade,bathrooms | grade,1,2,bathrooms | grade,,,2,1,"[-0.05500847883925675,-0.0016623535721808497,-0.08886838905892235,-0.03706304811232408,-0.14563505849394617]","[-0.05500847883925675,-0.0016623535721808497,-0.08886838905892235,-0.03706304811232408,-0.14563505849394617]","[0.0,0.0,-0.1357353293208032,0.0,-0.192501998755827]"
housing,training,12633,Cheap,floors | grade,floors | grade,1,2,floors | grade,,,2,1,"[-0.021867525740032256,-0.009760003153451255,0.030284610716976832,-0.09629239372920184,-0.11512035940965103]","[-0.021867525740032256,-0.009760003153451255,0.030284610716976832,-0.09629239372920184,-0.11512035940965103]","[0.0,0.0,0.0,-0.09696385281745525,-0.1157918184979043]"
housing,testing,3174,Cheap,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[-0.22058355596628873,-0.12098016289662908,-0.03567811423987785,0.06692343073514762,0.2375938614955993]","[-0.22058355596628873,-0.12098016289662908,-0.03567811423987785,0.06692343073514762,0.2375938614955993]","[-0.2654509791669683,0.0,0.0,0.0,0.19272643829491953]"
housing,testing,2275,Cheap,bathrooms | grade,bathrooms | grade,1,2,bathrooms | grade,,,2,1,"[-0.029760439870164912,-0.002288542995953158,-0.056451543735398825,-0.006364557174582557,0.1031082788556004]","[-0.029760439870164912,-0.002288542995953158,-0.056451543735398825,-0.006364557174582557,0.1031082788556004]","[0.0,0.0,-0.07565831375574912,0.0,0.08390150883525006]"
housing,testing,675,Cheap,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[-0.13866559739238637,0.048852824019754895,0.013815832938320748,-0.03964813025402408,-0.2975410979301174]","[-0.13866559739238637,0.048852824019754895,0.013815832938320748,-0.03964813025402408,-0.2975410979301174]","[-0.12715533404036072,0.0,0.0,0.0,-0.2860308345780915]"
housing,testing,102,Cheap,floors | grade,floors | grade,1,2,floors | grade,,,2,1,"[0.006389676676102754,-0.041734128648518484,0.04134473156457291,-0.08348501874660162,-0.1249026273396006]","[0.006389676676102754,-0.041734128648518484,0.04134473156457291,-0.08348501874660162,-0.1249026273396006]","[0.0,0.0,0.0,-0.0804848789505231,-0.12190248754352194]"
housing,testing,577,Cheap,floors | grade,floors | grade,1,2,floors | grade,,,2,1,"[0.056171776103131746,-0.050384989372066306,0.04419537362276065,-0.07139695414108213,-0.11024373165945765]","[0.056171776103131746,-0.050384989372066306,0.04419537362276065,-0.07139695414108213,-0.11024373165945765]","[0.0,0.0,0.0,-0.04640587396416916,-0.08525265148254453]"
housing,testing,2255,Cheap,bathrooms | grade,bathrooms | grade,1,2,bathrooms | grade,,,2,1,"[-0.05073423813793854,0.004535396981461562,-0.10805352155907819,-0.05453788790653398,-0.14300644744883562]","[-0.05073423813793854,0.004535396981461562,-0.10805352155907819,-0.05453788790653398,-0.14300644744883562]","[0.0,0.0,-0.1584218860905837,0.0,-0.19337481198034104]"
housing,testing,2987,Cheap,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[-0.07072393479508618,-0.01867207453116681,0.012580445270492027,0.002252934280649037,0.07809011351227677]","[-0.07072393479508618,-0.01867207453116681,0.012580445270492027,0.002252934280649037,0.07809011351227677]","[-0.07264328228509906,0.0,0.0,0.0,0.07617076602226389]"
housing,testing,614,Cheap,floors | grade,floors | grade,1,2,floors | grade,,,2,1,"[0.01777098864527882,-0.008302381925052206,0.038945179521808745,-0.0994116727373997,-0.10980718110276351]","[0.01777098864527882,-0.008302381925052206,0.038945179521808745,-0.0994116727373997,-0.10980718110276351]","[0.0,0.0,0.0,-0.07520477961638208,-0.08560028798174577]"
housing,testing,1760,Cheap,bathrooms | grade,bathrooms | grade,1,2,bathrooms | grade,,,2,1,"[-0.0009836640385839646,0.005984240211917041,-0.1427151735805757,-0.057779937311494375,-0.14479665861669655]","[-0.0009836640385839646,0.005984240211917041,-0.1427151735805757,-0.057779937311494375,-0.14479665861669655]","[0.0,0.0,-0.1691048541496564,0.0,-0.17118633918577716]"
housing,testing,692,Cheap,bathrooms | grade,floors | grade,0,1,grade,bathrooms,floors,2,1,"[0.07415943454318186,-0.004931796884309107,0.08695955486184449,-0.0819064789251937,-0.09215220205486624]","[0.07415943454318186,-0.004931796884309107,0.08695955486184449,-0.0819064789251937,-0.09215220205486624]","[0.0,0.0,0.0,-0.0038128826648351592,-0.014058605794507562]"
housing,testing,2447,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.1763942753476285,-0.03470288870908357,-0.0049791793770065235,0.025600866192178176,0.16125458527981323]","[0.1763942753476285,-0.03470288870908357,-0.0049791793770065235,0.025600866192178176,0.16125458527981323]","[0.1693536744006725,0.0,0.0,0.0,0.15421398433285727]"
housing,testing,1751,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.16934664825159113,-0.005186367938877293,-0.05072092319415058,0.027943985663314935,0.3278986518138373]","[0.16934664825159113,-0.005186367938877293,-0.05072092319415058,0.027943985663314935,0.3278986518138373]","[0.15536499551673477,0.0,0.0,0.0,0.31391699907898074]"
housing,testing,553,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.12984861753596633,-0.000754347523229254,-0.05316181206778535,0.009647953929764252,0.3431806039525801]","[0.12984861753596633,-0.000754347523229254,-0.05316181206778535,0.009647953929764252,0.3431806039525801]","[0.10771451470534127,0.0,0.0,0.0,0.3210465011219548]"
housing,testing,172,Expensive,sqft_living | floors,floors | grade,0,1,floors,sqft_living,grade,2,1,"[-0.12225173445409959,0.11425959769885025,-0.003552260867150228,0.15468087931850644,0.12207438450163571]","[-0.12225173445409959,0.11425959769885025,-0.003552260867150228,0.15468087931850644,0.12207438450163571]","[0.0,0.0,0.0,0.1489086805073067,0.11630218569043588]"
housing,testing,2728,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.14688203355651808,0.002263247313713884,-0.030834412759075627,0.1396046480438788,0.16223671150010616]","[0.14688203355651808,0.002263247313713884,-0.030834412759075627,0.1396046480438788,0.16223671150010616]","[0.2023987748557766,0.0,0.0,0.0,0.21775345279936467]"
housing,testing,2462,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.0799303128416022,0.0013169642115311506,0.00361549208506734,0.010276839770501651,0.4233108424203764]","[0.0799303128416022,0.0013169642115311506,0.00361549208506734,0.010276839770501651,0.4233108424203764]","[0.08753496087515245,0.0,0.0,0.0,0.4309154904539263]"
housing,testing,1155,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.12354564665084347,0.0013467236923236925,0.04933998745043737,0.03279565688420247,0.31469996067158756]","[0.12354564665084347,0.0013467236923236925,0.04933998745043737,0.03279565688420247,0.31469996067158756]","[0.16528683066432542,0.0,0.0,0.0,0.3564411446850691]"
housing,testing,456,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.1309674509443804,0.008796767703786873,-0.06879260961615913,0.018733720167161995,0.33240445890369935]","[0.1309674509443804,0.008796767703786873,-0.06879260961615913,0.018733720167161995,0.33240445890369935]","[0.11033639007177537,0.0,0.0,0.0,0.3117733980310941]"
housing,testing,2767,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.14467299429984443,-0.000527793773298979,-0.029980588468766098,0.03039939449000803,0.3524529590820071]","[0.14467299429984443,-0.000527793773298979,-0.029980588468766098,0.03039939449000803,0.3524529590820071]","[0.14461850042381597,0.0,0.0,0.0,0.3523984652059785]"
housing,testing,1657,Expensive,sqft_living | grade,sqft_living | grade,1,2,sqft_living | grade,,,2,1,"[0.14560643429335834,-0.0050850743683667834,-0.05680443988618945,0.01381151743608057,0.32737781571337776]","[0.14560643429335834,-0.0050850743683667834,-0.05680443988618945,0.01381151743608057,0.32737781571337776]","[0.12156743588412061,0.0,0.0,0.0,0.30333881730413986]"
safelimit,training,610,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.4732657255892344,-0.1064009237752499,-0.04931821049363516,-0.07342168031039265,-0.07488918785553322]","[-0.4732657255892344,-0.1064009237752499,-0.04931821049363516,-0.07342168031039265,-0.07488918785553322]","[-0.5720802649190146,-0.2052154631050307,0.0,0.0,0.0]"
safelimit,training,1025,Below Limit,units | duration,units | duration,1,2,units | duration,,,2,1,"[0.1381282145564974,0.019082409507865827,0.07777570964282618,-0.027233472736553382,0.014951411005318632]","[0.1381282145564974,0.019082409507865827,0.07777570964282618,-0.027233472736553382,0.014951411005318632]","[0.1415283884448129,0.0,0.08117588353114175,0.0,0.0]"
safelimit,training,1230,Below Limit,units | gender,units | gender,1,2,units | gender,,,2,1,"[0.17991888386810878,-0.0428496398446826,0.02652123534864108,0.044955347182425054,0.014158445421462329]","[0.17991888386810878,-0.0428496398446826,0.02652123534864108,0.044955347182425054,0.014158445421462329]","[0.17883390433081914,0.0,0.0,0.04387036764513552,0.0]"
