domain,truncated_pair,regularized_pair,instances
diabetes,blood_pressure | age,blood_pressure | age,4
diabetes,blood_pressure | bmi,blood_pressure | bmi,1
diabetes,blood_pressure | insulin,blood_pressure | insulin,2
diabetes,bmi | age,bmi | age,2
diabetes,glucose | age,glucose | age,4
diabetes,glucose | blood_pressure,glucose | blood_pressure,4
diabetes,glucose | bmi,glucose | bmi,2
diabetes,glucose | insulin,glucose | insulin,8
diabetes,insulin | age,insulin | age,2
diabetes,insulin | bmi,insulin | bmi,1
housing,bathrooms | floors,bathrooms | floors,1
housing,bathrooms | grade,bathrooms | grade,4
housing,bathrooms | grade,floors | grade,1
housing,bedrooms | bathrooms,bedrooms | bathrooms,1
housing,bedrooms | floors,bedrooms | floors,1
housing,bedrooms | grade,bedrooms | grade,1
housing,floors | grade,floors | grade,4
housing,sqft_living | bathrooms,sqft_living | bathrooms,1
housing,sqft_living | bedrooms,sqft_living | grade,1
housing,sqft_living | floors,floors | grade,1
housing,sqft_living | floors,sqft_living | floors,1
housing,sqft_living | grade,sqft_living | grade,13
safelimit,duration | gender,duration | gender,1
safelimit,duration | gender,gender | stomach_fullness,1
safelimit,duration | stomach_fullness,duration | stomach_fullness,2
safelimit,gender | stomach_fullness,gender | stomach_fullness,1
safelimit,units | duration,units | duration,6
safelimit,units | duration,units | weight,1
safelimit,units | gender,units | gender,1
safelimit,units | stomach_fullness,units | stomach_fullness,2
safelimit,units | weight,units | weight,10
safelimit,weight | duration,weight | duration,2
safelimit,weight | gender,weight | gender,2
safelimit,weight | stomach_fullness,weight | stomach_fullness,1
