domain,split,instances,exact_pair_matches,exact_pair_match_rate,pair_changed_count,pair_changed_rate,both_features_retained_count,one_feature_retained_count,no_features_retained_count,selected_feature_slot_retention_rate,regularized_exactly_two_nonzero_count,unregularized_pair_reproduction_count
all,all,90,85,0.9444444444444444,5,0.05555555555555555,85,5,0,0.9722222222222222,90,90
housing,all,30,27,0.9,3,0.1,27,3,0,0.95,30,30
safelimit,all,30,28,0.9333333333333333,2,0.06666666666666667,28,2,0,0.9666666666666667,30,30
diabetes,all,30,30,1.0,0,0.0,30,0,0,1.0,30,30
housing,training,10,9,0.9,1,0.1,9,1,0,0.95,10,10
housing,testing,20,18,0.9,2,0.1,18,2,0,0.95,20,20
safelimit,training,10,10,1.0,0,0.0,10,0,0,1.0,10,10
safelimit,testing,20,18,0.9,2,0.1,18,2,0,0.95,20,20
diabetes,training,10,10,1.0,0,0.0,10,0,0,1.0,10,10
diabetes,testing,20,20,1.0,0,0.0,20,0,0,1.0,20,20
