domain,experimental_phase,cluster_rank,selected_cluster,natural_cluster,natural_cluster_match,source_split,instance_id,prediction,prediction_label,target_label,positive_class_probability,boundary_margin,local_boundary_distance,selected_features,attributions,counterfactual_changes,counterfactual_distance,counterfactual_target_probability,distance_to_selected_cluster_centroid,original_profile,counterfactual_profile,attribution_vector,normalized_change_vector
housing,testing,1,1,1,1,test,1977,0,Cheap,Expensive,0.4381692618814064,0.061830738118593576,0.015806007616370455,bathrooms | grade,bathrooms: -0.158518 | grade: +0.118466,bathrooms: 2.5 -> 2.25 (-0.0909 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.2909090909090909,0.948295037753607,0.1086397565151214,"{""sqft_living"":1658.0,""bedrooms"":3.0,""bathrooms"":2.5,""floors"":2.0,""grade"":8.0}","{""sqft_living"":1658.0,""bedrooms"":3.0,""bathrooms"":2.25,""floors"":2.0,""grade"":9.0}","[0.0,0.0,-0.15851756328254857,0.0,0.11846640247792573]","[0.0,0.0,-0.09090909090909091,0.0,0.2]"
housing,testing,1,1,1,1,dev,1715,0,Cheap,Expensive,0.43516509824415733,0.06483490175584267,0.016563854840307216,bathrooms | grade,bathrooms: -0.160037 | grade: +0.116982,bathrooms: 2.5 -> 2.25 (-0.0909 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.2909090909090909,0.9488248889529467,0.10868306743411765,"{""sqft_living"":1650.0,""bedrooms"":3.0,""bathrooms"":2.5,""floors"":2.0,""grade"":8.0}","{""sqft_living"":1650.0,""bedrooms"":3.0,""bathrooms"":2.25,""floors"":2.0,""grade"":9.0}","[0.0,0.0,-0.16003690463239845,0.0,0.1169815801905264]","[0.0,0.0,-0.09090909090909091,0.0,0.2]"
housing,testing,1,1,1,1,test,2804,0,Cheap,Expensive,0.43516509824415733,0.06483490175584267,0.016563854840307216,bathrooms | grade,bathrooms: -0.160037 | grade: +0.116982,bathrooms: 2.5 -> 2.25 (-0.0909 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.2909090909090909,0.9488248889529467,0.10868306743411765,"{""sqft_living"":1650.0,""bedrooms"":3.0,""bathrooms"":2.5,""floors"":2.0,""grade"":8.0}","{""sqft_living"":1650.0,""bedrooms"":3.0,""bathrooms"":2.25,""floors"":2.0,""grade"":9.0}","[0.0,0.0,-0.16003690463239845,0.0,0.1169815801905264]","[0.0,0.0,-0.09090909090909091,0.0,0.2]"
housing,testing,1,1,1,1,test,665,0,Cheap,Expensive,0.4389146078213687,0.06108539217863129,0.015613539537028907,bathrooms | grade,bathrooms: -0.158140 | grade: +0.118835,bathrooms: 2.5 -> 2.25 (-0.0909 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.2909090909090909,0.9481551153506609,0.10871251856852666,"{""sqft_living"":1660.0,""bedrooms"":3.0,""bathrooms"":2.5,""floors"":2.0,""grade"":8.0}","{""sqft_living"":1660.0,""bedrooms"":3.0,""bathrooms"":2.25,""floors"":2.0,""grade"":9.0}","[0.0,0.0,-0.15814044020754872,0.0,0.11883462534288833]","[0.0,0.0,-0.09090909090909091,0.0,0.2]"
housing,testing,1,1,1,1,test,2367,0,Cheap,Expensive,0.44202087499172316,0.057979125008276844,0.03136884395167191,bathrooms | grade,bathrooms: -0.130704 | grade: +0.094504,bathrooms: 2.25 -> 2.0 (-0.0909 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.2909090909090909,0.9378148903914976,0.10890140313686102,"{""sqft_living"":1300.0,""bedrooms"":3.0,""bathrooms"":2.25,""floors"":2.0,""grade"":8.0}","{""sqft_living"":1300.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":2.0,""grade"":9.0}","[0.0,0.0,-0.13070390700628545,0.0,0.09450435931197929]","[0.0,0.0,-0.09090909090909091,0.0,0.2]"
housing,testing,1,1,4,0,dev,955,1,Expensive,Cheap,0.5045328900191179,0.004532890019117941,0.0018875659414815625,sqft_living | grade,sqft_living: +0.143312 | grade: -0.116999,sqft_living: 2420.0 -> 2419.0 (-0.0003 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.2002840909090909,0.9411973856574222,0.8764092273743535,"{""sqft_living"":2420.0,""bedrooms"":4.0,""bathrooms"":2.75,""floors"":1.0,""grade"":7.0}","{""sqft_living"":2419.0,""bedrooms"":4.0,""bathrooms"":2.75,""floors"":1.0,""grade"":6.0}","[0.1433115849158961,0.0,0.0,0.0,-0.11699911758280754]","[-0.0002840909090909091,0.0,0.0,0.0,-0.2]"
housing,testing,1,1,1,1,test,1115,1,Expensive,Cheap,0.5113718839437621,0.011371883943762096,0.004534186338928724,bedrooms | grade,bedrooms: +0.141821 | grade: -0.108670,bedrooms: 2.0 -> 3.0 (+0.3333 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.5333333333333333,0.8610250088742691,1.0526993002480727,"{""sqft_living"":1460.0,""bedrooms"":2.0,""bathrooms"":1.75,""floors"":1.0,""grade"":7.0}","{""sqft_living"":1460.0,""bedrooms"":3.0,""bathrooms"":1.75,""floors"":1.0,""grade"":6.0}","[0.0,0.14182115691588276,0.0,0.0,-0.10866969565814993]","[0.0,0.3333333333333333,0.0,0.0,-0.2]"
housing,testing,1,1,1,1,dev,2383,1,Expensive,Cheap,0.5015437070454282,0.0015437070454281665,0.000526282765575207,floors | grade,floors: +0.115241 | grade: -0.091918,floors: 1.5 -> 2.0 (+0.3333 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.5333333333333333,0.9174172417692273,1.0549655773617193,"{""sqft_living"":1890.0,""bedrooms"":2.0,""bathrooms"":1.0,""floors"":1.5,""grade"":7.0}","{""sqft_living"":1890.0,""bedrooms"":2.0,""bathrooms"":1.0,""floors"":2.0,""grade"":6.0}","[0.0,0.0,0.0,0.11524103236836404,-0.09191774800896514]","[0.0,0.0,0.0,0.3333333333333333,-0.2]"
housing,testing,1,1,1,1,dev,243,1,Expensive,Cheap,0.5490497454868736,0.049049745486873575,0.025021221986465888,bedrooms | grade,bedrooms: +0.155832 | grade: -0.085003,bedrooms: 2.0 -> 3.0 (+0.3333 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.5333333333333333,0.8367206252680647,1.0977857518725498,"{""sqft_living"":1590.0,""bedrooms"":2.0,""bathrooms"":2.0,""floors"":1.0,""grade"":7.0}","{""sqft_living"":1590.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":1.0,""grade"":6.0}","[0.0,0.15583202658670947,0.0,0.0,-0.08500270378586516]","[0.0,0.3333333333333333,0.0,0.0,-0.2]"
housing,testing,1,1,1,1,dev,1290,1,Expensive,Cheap,0.5545767654368152,0.05457676543681522,0.02786213107737499,bedrooms | grade,bedrooms: +0.159286 | grade: -0.082930,bedrooms: 2.0 -> 3.0 (+0.3333 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.5333333333333333,0.8358491709473757,1.1044180664605165,"{""sqft_living"":1600.0,""bedrooms"":2.0,""bathrooms"":2.0,""floors"":1.0,""grade"":7.0}","{""sqft_living"":1600.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":1.0,""grade"":6.0}","[0.0,0.15928625454616033,0.0,0.0,-0.08292991179537448]","[0.0,0.3333333333333333,0.0,0.0,-0.2]"
