domain,cluster_count,silhouette_score,minimum_cluster_size,passes_minimum_size,chosen_model,represented_cluster_ids,represented_cluster_sizes
housing,3,0.38933357763222587,164,1,0,,
housing,4,0.4162631834263683,73,1,0,,
housing,5,0.4656742986203011,61,1,0,,
housing,6,0.48768849416565646,28,1,0,,
housing,7,0.5190436450054163,21,1,0,,
housing,8,0.5493871811260549,21,1,0,,
housing,9,0.6035350393007193,19,1,0,,
housing,10,0.6188870179635715,14,1,1,"[1, 3, 0]","{""0"": 63, ""1"": 110, ""3"": 82}"
safelimit,3,0.4496047369691481,33,1,0,,
safelimit,4,0.5054492368447578,12,1,0,,
safelimit,5,0.47320369893016967,10,1,0,,
safelimit,6,0.521394001521642,10,1,0,,
safelimit,7,0.5190306664908865,6,1,0,,
safelimit,8,0.5483894630446811,5,1,1,"[1, 2, 0]","{""0"": 12, ""1"": 32, ""2"": 21}"
safelimit,9,0.4978377796586302,5,1,0,,
safelimit,10,0.543364987776396,5,1,0,,
diabetes,3,0.28769842100811316,13,1,0,,
diabetes,4,0.34631483325781437,7,1,0,,
diabetes,5,0.37786729215161646,6,1,1,"[0, 1, 4]","{""0"": 13, ""1"": 12, ""4"": 9}"
diabetes,6,0.37677287560625916,5,1,0,,
diabetes,7,0.3822467473827403,2,0,0,,
diabetes,8,0.3853489182357261,2,0,0,,
diabetes,9,0.3880010350108071,1,0,0,,
diabetes,10,0.38149943041403245,1,0,0,,
