main_pair,subcluster_count,bic,aic,minimum_size,passes_minimum_size,chosen
glucose | age,1,625.8188510625175,607.9459990257394,69,1,0
glucose | age,2,571.9136847860544,533.933874207901,18,1,0
glucose | age,3,527.9991972668812,469.91242814735244,12,1,0
glucose | age,4,495.83750037598645,417.6437727150824,4,1,0
glucose | age,5,484.7232341957168,386.42254799343743,4,1,1
glucose | age,6,493.14450479545854,374.7368600518038,4,1,0
blood_pressure | insulin,1,168.5074746283565,161.84176787590678,17,1,0
blood_pressure | insulin,2,114.60973452925481,100.44510768029913,5,1,1
blood_pressure | insulin,3,108.9013177792508,87.23777083378917,1,0,0
blood_pressure | insulin,4,108.62994910795962,79.46748206599204,1,0,0
blood_pressure | insulin,5,103.73992726964264,67.07854013116912,1,0,0
blood_pressure | bmi,1,195.5444086306752,187.57855044224328,20,1,0
blood_pressure | bmi,2,132.45471005174903,115.5272614013312,8,1,1
blood_pressure | bmi,3,117.62163432460886,91.7325952122051,1,0,0
blood_pressure | bmi,4,114.1106603064789,79.26003073208922,1,0,0
blood_pressure | bmi,5,98.13644597622252,54.32422593984692,1,0,0
blood_pressure | bmi,6,75.523365567092,22.749555068730487,1,0,0
glucose | insulin,1,564.9105814513148,547.893506370954,62,1,0
glucose | insulin,2,467.32750280403855,431.16621825827195,29,1,0
glucose | insulin,3,439.8926019410777,384.5871079299053,14,1,0
glucose | insulin,4,440.8050551145267,366.35535163794844,12,1,0
glucose | insulin,5,414.7723833943741,321.1784704523901,4,1,1
glucose | insulin,6,392.3844967200371,279.64637431264725,1,0,0
bmi | age,1,275.7272647811445,264.78889814125273,29,1,0
bmi | age,2,214.05224558842767,190.8082164786576,9,1,1
bmi | age,3,186.6496536787306,151.0999620990823,1,0,0
bmi | age,4,155.57500657139187,107.71965252186527,1,0,0
bmi | age,5,153.70516363314974,93.5441471137449,1,0,0
bmi | age,6,166.50669282492743,94.04001383564429,1,0,0
glucose | bmi,1,460.2425601490334,444.94637610560824,50,1,0
glucose | bmi,2,392.5104338755827,360.0060427833042,21,1,0
glucose | bmi,3,360.86313849053056,311.15054034939874,9,1,1
glucose | bmi,4,344.6225425676763,277.7017373776912,1,0,0
glucose | bmi,5,353.7029373745396,269.5739251357012,1,0,0
glucose | bmi,6,359.95148206801434,258.6142627803226,1,0,0
insulin | bmi,1,195.5444086306752,187.57855044224328,20,1,0
insulin | bmi,2,161.20844733232695,144.2809986819091,8,1,0
insulin | bmi,3,138.02647470064232,112.13743558823857,3,1,1
insulin | bmi,4,124.37469573144128,89.52406615705159,1,0,0
insulin | bmi,5,122.35068366737914,78.53846363100354,1,0,0
insulin | bmi,6,121.33727972244156,68.56346922408005,1,0,0
glucose | blood_pressure,1,275.7272647811445,264.78889814125273,29,1,0
glucose | blood_pressure,2,238.33522954111461,215.09120043134456,13,1,0
glucose | blood_pressure,3,227.49966294103803,191.94997136138971,5,1,1
glucose | blood_pressure,4,224.79463360488623,176.93927955535963,1,0,0
glucose | blood_pressure,5,222.26785680844594,162.1068402890411,1,0,0
glucose | blood_pressure,6,218.31922037585343,145.8525413865703,1,0,0
insulin | age,1,284.5774047166622,273.36782566336495,30,1,0
insulin | age,2,260.09492435372323,236.27456886546656,12,1,0
insulin | age,3,258.2753045028253,221.84417257960922,3,1,0
insulin | age,4,248.2893526622316,199.24744430405616,4,1,1
insulin | age,5,246.29400987534325,184.64132508220843,1,0,0
insulin | age,6,250.31739510232663,176.0539338742324,1,0,0
blood_pressure | age,1,168.50747462835648,161.84176787590675,17,1,0
blood_pressure | age,2,158.63853534336283,144.47390849440717,6,1,1
blood_pressure | age,3,151.61578331256942,129.9522363671078,2,0,0
blood_pressure | age,4,144.25546503822187,115.0929979962543,1,0,0
blood_pressure | age,5,133.94565160345002,97.28426446497652,1,0,0
