main_pair,subcluster,total,prediction_0,prediction_1,mean_pair_oriented_attributions,mean_pair_oriented_changes
glucose | age,0,24,6,18,"[0.5794660159646092,0.42053398403539083]","[0.0913960210848495,0.10022522522522521]"
glucose | age,1,22,2,20,"[0.697614621563715,0.3023853784362851]","[0.27360838447388347,0.06142506142506141]"
glucose | age,2,10,2,8,"[0.46922785523438143,0.5307721447656186]","[0.09692229212718922,0.05135135135135134]"
glucose | age,3,4,1,3,"[0.7903449737015966,-0.07777227782823702]","[0.08076857677265768,0.0]"
glucose | age,4,9,0,9,"[0.2138347702788219,0.6834040168722081]","[0.020782557766063962,0.08408408408408409]"
blood_pressure | insulin,0,12,3,9,"[0.5054200067282706,0.4945799932717294]","[-0.050724637681159424,0.012373174956693864]"
blood_pressure | insulin,1,5,3,2,"[0.5195597943283287,0.2918626678858849]","[-0.021739130434782608,0.19095933349830863]"
blood_pressure | bmi,0,12,8,4,"[0.4759030830977413,0.5240969169022586]","[0.0036231884057971015,0.004975648590427982]"
blood_pressure | bmi,1,8,4,4,"[0.39108693804666694,0.35891306195333295]","[0.07608695652173916,0.0030731947176173167]"
glucose | insulin,0,13,5,8,"[0.5857469384528304,0.41425306154716957]","[0.04185578067570925,0.04298885145210304]"
glucose | insulin,1,10,3,7,"[0.5006018790321871,0.4993981209678128]","[0.009352150994728782,0.3429431658830316]"
glucose | insulin,2,4,0,4,"[0.2540601764688698,0.7459398235311302]","[-0.00850195544975344,0.1742555473067719]"
glucose | insulin,3,21,9,12,"[0.7006240926410939,0.29937590735890607]","[0.13238759200330355,0.016399366807681538]"
glucose | insulin,4,14,1,13,"[0.4159511838352463,0.5840488161647537]","[0.024291301285009833,0.09662860442370445]"
bmi | age,0,20,7,13,"[0.5001771335345576,0.49982286646544233]","[0.08762995223376992,0.10675675675675675]"
bmi | age,1,9,0,9,"[0.5962261629309379,0.18155161484683982]","[0.10224470044644242,0.05405405405405406]"
glucose | bmi,0,26,14,12,"[0.6373232797833298,0.31939814607794165]","[0.13112631289812035,0.0032420515702336274]"
glucose | bmi,1,9,3,6,"[0.35177279480248114,0.5332684139836503]","[0.00850195544975344,0.1139521088945083]"
glucose | bmi,2,15,1,14,"[0.47914230956628934,0.5208576904337107]","[0.13603128719605503,0.3329586962629738]"
insulin | bmi,0,3,1,2,"[0.043869096937724394,0.7726054323008208]","[0.03230773460914508,0.10770815772220639]"
insulin | bmi,1,10,6,4,"[0.5129977404192768,0.4870022595807232]","[0.007011465808793185,0.0014048890137679179]"
insulin | bmi,2,7,7,0,"[0.4758974421728913,0.5241025578271087]","[0.0035351928447696747,0.06723397423032139]"
glucose | blood_pressure,0,16,10,6,"[0.6789748096757636,0.3210251903242364]","[0.09830385988777415,0.02989130434782609]"
glucose | blood_pressure,1,5,1,4,"[0.0972617157181681,0.7015436762193479]","[-0.07141642577792891,0.017391304347826087]"
glucose | blood_pressure,2,8,2,6,"[0.49927935338907115,0.5007206466109289]","[0.013815677605849341,-0.01358695652173913]"
insulin | age,0,4,0,4,"[0.6372055309266167,0.3627944690733833]","[0.10723418295801347,0.07432432432432433]"
insulin | age,1,16,9,7,"[0.5139358499630399,0.48606415003696013]","[0.1018209189144599,0.13682432432432431]"
insulin | age,2,6,2,4,"[0.44879274279785814,0.5512072572021419]","[0.36432126261376374,-0.045045045045045036]"
insulin | age,3,4,2,2,"[0.37258564861533444,0.6274143513846655]","[-0.01495091973933842,0.07432432432432433]"
blood_pressure | age,0,6,2,4,"[0.41345032193748343,0.5865496780625166]","[-0.08333333333333333,0.02702702702702703]"
blood_pressure | age,1,11,6,5,"[0.5195387812947664,0.48046121870523356]","[0.021739130434782608,0.09336609336609338]"
