main_pair,subcluster_count,bic,aic,minimum_size,passes_minimum_size,chosen
blood_pressure | insulin,1,122.82638346364995,118.94713026534595,12,1,1
blood_pressure | insulin,2,104.34946111403451,96.1060480676385,1,0,0
blood_pressure | insulin,3,90.97058843131478,78.36301553682677,1,0,0
blood_pressure | insulin,4,91.47964001293691,74.5079072703569,1,0,0
blood_pressure | bmi,1,150.3483144405001,144.68391283168242,15,1,0
blood_pressure | bmi,2,93.43129511077892,81.39444169204134,3,1,1
blood_pressure | bmi,3,84.13907111710408,65.72976588844662,1,0,0
blood_pressure | bmi,4,72.48050194453654,47.69874490595919,1,0,0
blood_pressure | bmi,5,69.97189346357419,38.81768461507695,1,0,0
glucose | insulin,1,328.705247765841,316.26246327392573,35,1,0
glucose | insulin,2,264.31011418642424,237.8691971411042,16,1,0
glucose | insulin,3,250.41133981047022,209.97229021174547,4,1,0
glucose | insulin,4,244.44885356792895,190.01167141579947,3,1,1
glucose | insulin,5,244.51051178406743,176.07519707853322,3,1,0
glucose | insulin,6,251.7330224632241,169.2995752042852,3,1,0
glucose | age,1,302.25156792998706,290.52568070758923,32,1,0
glucose | age,2,273.93131549520416,249.01380514760882,9,1,0
glucose | age,3,262.61201647785134,224.50288300505844,6,1,0
glucose | age,4,260.36634157684404,209.06558497885362,3,1,1
glucose | age,5,253.2910970431693,188.7987173199813,1,0,0
glucose | age,6,250.88656219818816,173.20255934980264,1,0,0
bmi | age,1,186.55513475346265,178.99962292013112,19,1,0
bmi | age,2,132.65538957292804,116.59992692709856,6,1,1
bmi | age,3,102.92934966362799,78.37393620530054,1,0,0
bmi | age,4,83.63837887193763,50.583014601112225,1,0,0
bmi | age,5,84.99832880481708,43.44301372149372,1,0,0
bmi | age,6,87.13920831889521,37.08394242307389,1,0,0
insulin | bmi,1,113.55136492562079,110.36820274323382,11,1,1
insulin | bmi,2,89.67934126312056,82.91512162554827,1,0,0
insulin | bmi,3,77.92157193717092,67.57629484441328,1,0,0
glucose | blood_pressure,1,195.5444086306752,187.57855044224328,20,1,0
glucose | blood_pressure,2,166.56514532135705,149.6376966709392,8,1,0
glucose | blood_pressure,3,152.46356254356579,126.57452343116202,5,1,0
glucose | blood_pressure,4,145.05212327458116,110.20149370019149,3,1,1
glucose | blood_pressure,5,140.3805299994441,96.56830996306849,1,0,0
glucose | blood_pressure,6,135.79883394758795,83.02502344922644,1,0,0
insulin | age,1,122.82638346364998,118.94713026534598,12,1,0
insulin | age,2,112.80735235821055,104.56393931181455,5,1,0
insulin | age,3,109.71431563805083,97.10674274356282,3,1,1
insulin | age,4,82.70279857275709,65.73106583017707,1,0,0
blood_pressure | age,1,132.04565264715043,127.52605778745814,13,1,1
blood_pressure | age,2,115.50280460361465,105.89866552676853,1,0,0
blood_pressure | age,3,101.97583904539283,87.28715575139287,1,0,0
blood_pressure | age,4,99.00267560680834,79.22944809565453,1,0,0
glucose | bmi,1,204.5136574661428,196.15747796435542,21,1,0
glucose | bmi,2,166.94672426075428,149.1898428194561,7,1,0
glucose | bmi,3,119.19427378851546,92.03669040770646,4,1,1
glucose | bmi,4,135.5324006222229,98.9741153019031,1,0,0
glucose | bmi,5,117.23286713442315,71.27387987459252,1,0,0
glucose | bmi,6,118.84814961949931,63.48846042015788,1,0,0
