main_pair,subcluster,total,prediction_0,prediction_1,mean_pair_oriented_attributions,mean_pair_oriented_changes
blood_pressure | insulin,0,12,4,8,"[0.496231539983296,0.4251944859392929]","[-0.016304347826086956,0.019590860348098618]"
blood_pressure | bmi,0,12,7,5,"[0.5141903780155932,0.4858096219844068]","[-0.005434782608695652,0.00439027816802473]"
blood_pressure | bmi,1,3,2,1,"[0.23353607306525717,0.09979726026807616]","[0.3333333333333333,0.003512222534419743]"
glucose | insulin,0,16,6,10,"[0.6581273874941493,0.34187261250585066]","[0.06642152695119874,-0.03595953971789153]"
glucose | insulin,1,3,0,3,"[0.2692968542827393,0.7307031457172607]","[-0.00850195544975344,0.17322444939371406]"
glucose | insulin,2,12,2,10,"[0.41150199312188596,0.588498006878114]","[0.0212548886243836,0.07630124556627882]"
glucose | insulin,3,4,0,4,"[0.4998621434244851,0.5001378565755149]","[0.0106274443121918,0.4732739420935403]"
glucose | age,0,6,0,6,"[0.16684009609585806,0.679018084630687]","[0.014169925749589066,0.04954954954954955]"
glucose | age,1,9,2,7,"[0.676484542024254,0.32351545797574593]","[0.20121294564416475,0.012012012012012012]"
glucose | age,2,14,4,10,"[0.5362199656036786,0.4637800343963214]","[0.07651759904778097,0.04247104247104248]"
glucose | age,3,3,1,2,"[0.7798933322897551,-0.1631297377919422]","[0.03400782179901376,-0.009009009009009009]"
bmi | age,0,13,5,8,"[0.4973995956800763,0.5026004043199237]","[0.05457453476559962,0.043659043659043675]"
bmi | age,1,6,0,6,"[0.4933232199071302,0.17334344675953647]","[0.15102556898004457,0.1801801801801802]"
insulin | bmi,0,11,8,3,"[0.4811362138363227,0.5188637861636771]","[0.0026246128696017284,0.008620909857212198]"
glucose | blood_pressure,0,4,1,3,"[0.4647445044777341,0.5352554955222659]","[0.00425097772487672,-0.06521739130434782]"
glucose | blood_pressure,1,8,4,4,"[0.6634088885342896,0.3365911114657103]","[0.106274443121918,0.019021739130434784]"
glucose | blood_pressure,2,5,1,4,"[0.0972617157181681,0.7015436762193479]","[-0.07141642577792891,0.017391304347826087]"
glucose | blood_pressure,3,3,1,2,"[0.5334932642089664,0.4665067357910336]","[0.04534376239868501,0.021739130434782608]"
insulin | age,0,3,0,3,"[0.6246164629255213,0.3753835370744787]","[0.06942725947922666,0.0990990990990991]"
insulin | age,1,4,1,3,"[0.38978249225543826,0.6102175077445617]","[-0.01495091973933842,0.06756756756756757]"
insulin | age,2,5,4,1,"[0.5150445919805697,0.4849554080194302]","[0.04124391652231287,-0.016216216216216217]"
blood_pressure | age,0,13,6,7,"[0.4893916760819448,0.5106083239180553]","[-0.02508361204013378,0.05613305613305614]"
glucose | bmi,0,11,6,5,"[0.651005235785517,0.348994764214483]","[0.0850195544975344,-0.001277171830698096]"
glucose | bmi,1,4,1,3,"[0.4483165430654885,0.2703727250327752]","[0.0850195544975344,0.1800014048890048]"
glucose | bmi,2,6,1,5,"[0.2756997945047241,0.551862018674473]","[0.00850195544975344,0.08019574786925159]"
