main_pair,subcluster_count,bic,aic,minimum_size,passes_minimum_size,chosen
glucose | age,1,468.979908689515,453.5253036277204,51,1,0
glucose | age,2,428.2338962690845,395.39286051277094,12,1,0
glucose | age,3,383.9899369206612,333.7624704698287,11,1,0
glucose | age,4,375.57638421021045,307.9624870648591,3,1,1
glucose | age,5,366.57388222386066,281.5735543839903,1,0,0
glucose | age,6,380.9017803494178,278.5150218150285,1,0,0
blood_pressure | insulin,1,132.04565264715043,127.52605778745813,13,1,1
blood_pressure | insulin,2,112.30979408451658,102.70565500767046,1,0,0
blood_pressure | insulin,3,101.37550863765686,86.6868253436569,1,0,0
blood_pressure | insulin,4,87.15146666185785,67.37823915070408,1,0,0
blood_pressure | bmi,1,195.5444086306752,187.57855044224328,20,1,0
blood_pressure | bmi,2,132.45471005174903,115.5272614013312,8,1,1
blood_pressure | bmi,3,117.62163432460886,91.7325952122051,1,0,0
blood_pressure | bmi,4,114.1106603064789,79.26003073208922,1,0,0
blood_pressure | bmi,5,98.13644597622252,54.32422593984692,1,0,0
blood_pressure | bmi,6,75.523365567092,22.749555068730487,1,0,0
glucose | insulin,1,416.50503841321,402.05173849504746,45,1,0
glucose | insulin,2,317.473726676143,286.7604643500475,19,1,0
glucose | insulin,3,280.1461396061335,233.1729148721052,12,1,1
glucose | insulin,4,292.53271429863156,229.29952715667037,3,1,0
glucose | insulin,5,286.8648254521895,207.37167590229544,3,1,0
glucose | insulin,6,290.7243738725738,194.97126191474686,3,1,0
bmi | age,1,231.31869117347551,221.89426053069195,24,1,0
bmi | age,2,169.52165836673473,149.49474325081965,7,1,1
bmi | age,3,148.78452309362274,118.15512350457617,1,0,0
bmi | age,4,126.02105416370696,84.78917010152887,1,0,0
bmi | age,5,122.49869129076227,70.66432275545266,1,0,0
bmi | age,6,125.78607860440034,63.349225595959226,1,0,0
glucose | bmi,1,311.07666872143324,299.1046082297014,33,1,0
glucose | bmi,2,259.339014072425,233.89838552749484,9,1,0
glucose | bmi,3,225.39172351914056,186.48252692101207,4,1,1
glucose | bmi,4,221.50442705889088,169.12666240756408,2,0,0
glucose | bmi,5,213.59292293251417,147.74659022798903,1,0,0
glucose | bmi,6,216.83433257654477,137.51943181882132,1,0,0
insulin | bmi,1,168.5074746283565,161.84176787590678,17,1,0
insulin | bmi,2,131.57953264273505,117.41490579377938,4,1,1
insulin | bmi,3,118.57366083474956,96.91011388928794,1,0,0
insulin | bmi,4,106.1766761857348,77.01420914376725,1,0,0
insulin | bmi,5,93.20780889493254,56.546421756459026,1,0,0
glucose | blood_pressure,1,240.22419465174968,230.4731880528041,25,1,0
glucose | blood_pressure,2,206.2380310729892,185.51714205022978,12,1,1
glucose | blood_pressure,3,192.2945903416981,160.6038188951249,1,0,0
glucose | blood_pressure,4,179.35058543025758,136.68993155987056,1,0,0
glucose | blood_pressure,5,175.22286111704173,121.59232482284091,1,0,0
glucose | blood_pressure,6,172.41881000367647,107.81839128566185,1,0,0
insulin | age,1,222.39928673601293,213.31533300857973,23,1,0
insulin | age,2,219.6827693359007,200.37936766510515,7,1,0
insulin | age,3,209.23007324765956,179.70722363350168,3,1,1
insulin | age,4,213.27943141196158,173.53713385444138,3,1,0
insulin | age,5,205.4311133529518,155.46936785206918,2,0,0
insulin | age,6,215.75893838745424,155.5777449432093,1,0,0
blood_pressure | age,1,159.44355013171287,153.26284035379462,16,1,0
blood_pressure | age,2,153.07662617225844,139.94261789418218,3,1,1
blood_pressure | age,3,138.62156451390211,118.53425773566781,1,0,0
blood_pressure | age,4,135.61232105157086,108.57171577317854,1,0,0
blood_pressure | age,5,127.6082689233427,93.61436514479233,1,0,0
