main_pair,subcluster,total,prediction_0,prediction_1,mean_pair_oriented_attributions,mean_pair_oriented_changes
glucose | age,0,3,1,2,"[0.7798933322897551,-0.1631297377919422]","[0.03400782179901376,-0.009009009009009009]"
glucose | age,1,25,5,20,"[0.5439483353790758,0.4560516646209241]","[0.07753783370175137,0.08324324324324327]"
glucose | age,2,12,2,10,"[0.6847452182364377,0.3152547817635621]","[0.22601031570594562,0.02027027027027027]"
glucose | age,3,11,0,11,"[0.2551867934174654,0.6607358506151956]","[0.01700391089950688,0.09090909090909093]"
blood_pressure | insulin,0,13,4,9,"[0.4972906565825952,0.43017952119210234]","[-0.016722408026755852,0.024904980361550463]"
blood_pressure | bmi,0,12,8,4,"[0.4759030830977413,0.5240969169022586]","[0.0036231884057971015,0.004975648590427982]"
blood_pressure | bmi,1,8,4,4,"[0.39108693804666694,0.35891306195333295]","[0.07608695652173916,0.0030731947176173167]"
glucose | insulin,0,15,1,14,"[0.3800295095446635,0.6199704904553365]","[0.016437113869523314,0.10022271714922029]"
glucose | insulin,1,18,7,11,"[0.6680070514982916,0.3319929485017084]","[0.0930491790889682,-0.020163692522019626]"
glucose | insulin,2,12,3,9,"[0.5157451481278726,0.4842548518721273]","[0.009210451737232892,0.25966482443839484]"
bmi | age,0,17,6,11,"[0.49910302740283574,0.5008969725971643]","[0.06301340429399982,0.06359300476947538]"
bmi | age,1,7,0,7,"[0.557501681077471,0.15678403320824333]","[0.15905350620157632,0.15057915057915056]"
glucose | bmi,0,22,11,11,"[0.6128204512737334,0.3360321429259509]","[0.11516285109211481,-0.001277171830698118]"
glucose | bmi,1,4,0,4,"[0.40880948715786086,0.5911905128421391]","[0.12965482060873995,0.39249086822139245]"
glucose | bmi,2,7,2,5,"[0.33401610269079196,0.5181797371770913]","[0.00850195544975344,0.08078111829165488]"
insulin | bmi,0,13,11,2,"[0.5028406565396776,0.49715934346032237]","[0.0068211092709979,0.004592906391164309]"
insulin | bmi,1,4,1,3,"[0.12023187943208505,0.7421240174968238]","[-0.03660397591355268,0.08165917392525975]"
glucose | blood_pressure,0,13,3,10,"[0.3446571850541084,0.5779602733833977]","[-0.01896590061868075,-0.0016722408026755853]"
glucose | blood_pressure,1,12,7,5,"[0.6825914566264383,0.3174085433735618]","[0.08006008048517824,0.007246376811594205]"
insulin | age,0,3,0,3,"[0.6501530623981022,0.3498469376018978]","[0.07286425252275275,0.07207207207207207]"
insulin | age,1,4,2,2,"[0.37258564861533444,0.6274143513846655]","[-0.01495091973933842,0.07432432432432433]"
insulin | age,2,16,8,8,"[0.4969594170880282,0.5030405829119717]","[0.17953992411119318,0.05574324324324324]"
blood_pressure | age,0,13,6,7,"[0.4548987342202925,0.5451012657797075]","[0.016722408026755845,0.08108108108108109]"
blood_pressure | age,1,3,2,1,"[0.6506884125258071,0.34931158747419283]","[-0.06521739130434782,0.036036036036036036]"
