hidden_layers,alpha,seed,iterations,train_accuracy,train_balanced_accuracy,train_log_loss,train_brier,train_auc,dev_accuracy,dev_balanced_accuracy,dev_log_loss,dev_brier,dev_auc,dev_repeated_crossing_rate,dev_mean_boundary_crossings,accuracy_gap,selection_score,eligible,test_accuracy,test_balanced_accuracy,test_log_loss,test_brier,test_auc,test_repeated_crossing_rate,test_mean_boundary_crossings
8x4,1.0,11,85,0.7700729927007299,0.6980423947637062,0.48770563899223124,0.16082428376382446,0.8248363658199723,0.8103448275862069,0.7510121457489879,0.40474984800828523,0.1252326256984366,0.9203778677462887,0.0034482758620689655,0.38620689655172413,-0.04027183488547692,0.40733605490483693,True,0.8,0.7625,0.5063656475203235,0.163137466361108,0.8150000000000001,0.0033333333333333335,0.47
8x4,0.5,11,75,0.7554744525547445,0.6815889029003783,0.49054167463481246,0.16299441838476225,0.8151083888788807,0.8103448275862069,0.7510121457489879,0.40108838467314395,0.12401927064531489,0.9190283400809716,0.013793103448275862,0.44482758620689655,-0.054870375031462304,0.41143321225935087,True,,,,,,,
8x4,0.1,11,73,0.7518248175182481,0.6843811925779139,0.4857823745119909,0.16191680465314776,0.8158890290037831,0.8103448275862069,0.7645074224021593,0.38861132825497696,0.12018600378034956,0.9190283400809717,0.034482758620689655,0.5,-0.058520010067958705,0.4144733972204942,True,,,,,,,
8x4,0.05,11,73,0.7518248175182481,0.6843811925779139,0.48530108156759116,0.16187211259289552,0.8161292259652915,0.8103448275862069,0.7645074224021593,0.38710395909380624,0.1198047198353413,0.9190283400809717,0.03793103448275862,0.496551724137931,-0.058520010067958705,0.41555223495587523,True,,,,,,,
4,1.0,29,100,0.7664233576642335,0.6925478892692007,0.49585322241524754,0.1628902034996985,0.825136612021858,0.8275862068965517,0.7908232118758435,0.4208145335147169,0.13087954024433585,0.9109311740890689,0.0,0.30689655172413793,-0.061162849232318184,0.4208145335147169,True,,,,,,,
12,2.0,42,93,0.781021897810219,0.7145259112472228,0.49461466359198414,0.16126343729491668,0.8313216837807001,0.8103448275862069,0.7645074224021593,0.4158489246062609,0.1273510846394814,0.9338731443994602,0.010344827586206896,0.35172413793103446,-0.029322929775987827,0.42360754529591604,True,,,,,,,
12,1.0,29,86,0.7481751824817519,0.6650753617966733,0.5039013491597454,0.1655797946308914,0.8241157749354471,0.8103448275862069,0.7510121457489879,0.42935722489415673,0.13266807332168454,0.9136302294197031,0.0,0.30344827586206896,-0.062169645104454996,0.42935722489415673,True,,,,,,,
8x4,0.25,11,64,0.7518248175182481,0.6678076022338317,0.5044409713687381,0.16856236825668064,0.8045997718128866,0.7931034482758621,0.7246963562753037,0.4221062308927522,0.13162030283508802,0.9163292847503374,0.020689655172413793,0.45517241379310347,-0.041278630757613954,0.4376234722720625,True,,,,,,,
4,0.25,11,135,0.7372262773722628,0.7369843271482617,0.544758002686258,0.18339291879524497,0.7837626854020295,0.8275862068965517,0.8582995951417004,0.4301200158373166,0.13949427556873586,0.8663967611336033,0.020689655172413793,0.496551724137931,-0.09035992952428895,0.44563725721662695,True,,,,,,,
8,2.0,29,55,0.7773722627737226,0.7311295262114934,0.5108794938364197,0.16576561781178747,0.8325226685882424,0.8103448275862069,0.7645074224021593,0.44876111755786624,0.13870014497314934,0.921727395411606,0.0,0.3103448275862069,-0.03297256481248423,0.44876111755786624,True,,,,,,,
4,0.1,11,133,0.7372262773722628,0.7369843271482617,0.5491750166920626,0.18454502232999928,0.783402389959767,0.8275862068965517,0.8582995951417004,0.4318943279142152,0.14035515676453272,0.8663967611336033,0.02413793103448276,0.506896551724138,-0.09035992952428895,0.4499977761900773,True,,,,,,,
4,0.05,11,132,0.7372262773722628,0.7369843271482617,0.551084048823604,0.18504930413870171,0.7819011589503393,0.8275862068965517,0.8582995951417004,0.43297999783180685,0.1408152227427797,0.8663967611336033,0.027586206896551724,0.5103448275862069,-0.09035992952428895,0.45366965300422063,True,,,,,,,
8,0.5,29,50,0.7737226277372263,0.739446346003723,0.5177490418495588,0.16833290894341738,0.8293400588482557,0.8103448275862069,0.7780026990553306,0.45572977620444044,0.1420442846852813,0.9068825910931174,0.0034482758620689655,0.31724137931034485,-0.03662219984898052,0.45831598310099214,True,,,,,,,
4,0.25,29,69,0.7664233576642335,0.6759742989251186,0.5171275690298665,0.17135951454485562,0.8050201164955263,0.7758620689655172,0.7118758434547908,0.45646068542472595,0.14413549539040782,0.8920377867746289,0.0034482758620689655,0.2896551724137931,-0.009438711301283709,0.45904689232127766,False,,,,,,,
8x4,0.05,42,45,0.7737226277372263,0.6842010448567826,0.5151063835806785,0.16889679672919952,0.8328829640305051,0.8103448275862069,0.7510121457489879,0.46028762412793506,0.14383444360063155,0.9271255060728746,0.0034482758620689655,0.35172413793103446,-0.03662219984898052,0.46287383102448676,True,,,,,,,
4,0.05,29,67,0.7664233576642335,0.6759742989251186,0.518545397019401,0.17198171729098236,0.8026781961208191,0.7758620689655172,0.7118758434547908,0.4577323827169199,0.14459646422135808,0.8852901484480432,0.006896551724137931,0.29310344827586204,-0.009438711301283709,0.46290479651002336,False,,,,,,,
4,0.1,29,67,0.7700729927007299,0.6787065393622771,0.5189062585434375,0.17210273831215267,0.8027982946015733,0.7758620689655172,0.7118758434547908,0.45852958556910506,0.14490261931852982,0.8852901484480432,0.006896551724137931,0.29310344827586204,-0.005789076264787307,0.4637019993622085,False,,,,,,,
8x4,0.1,42,45,0.7737226277372263,0.6842010448567826,0.5158356464344254,0.16916026747156326,0.8321623731459797,0.8103448275862069,0.7510121457489879,0.4612749351587326,0.14419969496958027,0.9271255060728746,0.0034482758620689655,0.35172413793103446,-0.03662219984898052,0.4638611420552843,True,,,,,,,
8x4,0.25,42,45,0.7737226277372263,0.6842010448567826,0.5179867421664403,0.1699491745722944,0.8304209451750435,0.8103448275862069,0.7510121457489879,0.4642747898892907,0.14534466577648705,0.9284750337381916,0.0034482758620689655,0.35172413793103446,-0.03662219984898052,0.4668609967858424,True,,,,,,,
4,0.5,29,71,0.7664233576642335,0.6732120338677715,0.5175833447587965,0.17145749579666153,0.808082627754759,0.7931034482758621,0.7246963562753037,0.45916598082904037,0.1453636891578122,0.8947368421052632,0.010344827586206896,0.30344827586206896,-0.02668009061162857,0.4669246015186955,True,,,,,,,
4,1.0,11,127,0.7335766423357665,0.7453011469404912,0.5496225919741989,0.18563163248757603,0.7822614543926019,0.8103448275862069,0.858974358974359,0.4520138741867403,0.14649770481086638,0.8623481781376519,0.020689655172413793,0.5,-0.07676818525044038,0.46753111556605065,True,,,,,,,
12,0.1,42,57,0.7408759124087592,0.7176184471266438,0.5369175869509054,0.1786940872276038,0.7986548970155528,0.8448275862068966,0.8441295546558705,0.45369248741497814,0.14453874137060474,0.9163292847503374,0.020689655172413793,0.4724137931034483,-0.10395167379813741,0.46920972879428846,True,,,,,,,
12,0.25,42,57,0.7408759124087592,0.7176184471266438,0.5372932118951158,0.17881749326644564,0.7991352909385697,0.8448275862068966,0.8441295546558705,0.4555060448375651,0.1450599057290524,0.9163292847503374,0.020689655172413793,0.4689655172413793,-0.10395167379813741,0.47102328621687545,True,,,,,,,
12,0.05,42,57,0.7408759124087592,0.7176184471266438,0.5368198081471793,0.17866055808701473,0.7987149462559298,0.8448275862068966,0.8441295546558705,0.45317005637821395,0.14439622872998886,0.9163292847503374,0.02413793103448276,0.4827586206896552,-0.10395167379813741,0.471273504654076,True,,,,,,,
8x4,0.5,42,45,0.7737226277372263,0.6842010448567826,0.5219024054371287,0.17139627640509297,0.8292199603675013,0.7931034482758621,0.7246963562753037,0.4702803491221463,0.14763980097225793,0.9298245614035088,0.0034482758620689655,0.3413793103448276,-0.019380820538635768,0.472866556018698,True,,,,,,,
4,0.5,11,122,0.7299270072992701,0.7398066414459857,0.5610139607598508,0.18900116908998993,0.7772173182009248,0.7931034482758621,0.8461538461538461,0.45580520642257855,0.14886993026299494,0.863697705802969,0.027586206896551724,0.503448275862069,-0.06317644097659203,0.4764948615949923,True,,,,,,,
8x4,2.0,42,53,0.7664233576642335,0.6676875037530775,0.5323761870318207,0.17551947312752925,0.8274184831561882,0.8103448275862069,0.7375168690958165,0.48177306638924755,0.1521760721065072,0.9298245614035089,0.0,0.32068965517241377,-0.04392146992197332,0.48177306638924755,True,,,,,,,
4,2.0,29,83,0.7445255474452555,0.6319582057286975,0.5310117359995284,0.17624399896278822,0.8138473548309613,0.7758620689655172,0.6713900134952766,0.4793683828483614,0.15327412490283548,0.9041835357624831,0.0034482758620689655,0.24482758620689654,-0.031336521520261784,0.4819545897449131,False,,,,,,,
12,0.5,42,56,0.7262773722627737,0.7066894853780099,0.5432451242150154,0.18123015431877587,0.7969735182849937,0.8275862068965517,0.8178137651821862,0.465202707885716,0.1486354286382986,0.9163292847503374,0.02413793103448276,0.4793103448275862,-0.10130883463377804,0.48330615616157807,True,,,,,,,
8x4,1.0,42,46,0.7700729927007299,0.6787065393622771,0.5274902858343206,0.17347572764015923,0.8274184831561882,0.7931034482758621,0.7246963562753037,0.47761761941905256,0.15041236421003476,0.9284750337381917,0.010344827586206896,0.3448275862068966,-0.02303045557513217,0.4853762401087077,True,,,,,,,
8,0.05,11,59,0.7043795620437956,0.7344922836726115,0.5559488780988059,0.18988425902344985,0.8160091274845374,0.8103448275862069,0.858974358974359,0.47952498887394296,0.15455268721959198,0.9271255060728745,0.013793103448275862,0.4689655172413793,-0.10596526554241126,0.4898698164601499,True,,,,,,,
8,0.1,11,59,0.7043795620437956,0.7344922836726115,0.5563699897558716,0.19004393145920875,0.8163694229267999,0.8103448275862069,0.858974358974359,0.4801099577331489,0.15476256819167716,0.9244264507422403,0.013793103448275862,0.46206896551724136,-0.10596526554241126,0.4904547853193558,True,,,,,,,
12,0.05,29,50,0.7408759124087592,0.6568486158650093,0.5573376702184768,0.1852702443042008,0.7803999279409115,0.8103448275862069,0.7510121457489879,0.4942233718423583,0.15694090192528962,0.8771929824561403,0.0,0.3724137931034483,-0.06946891517744769,0.4942233718423583,True,,,,,,,
12,0.1,29,50,0.7408759124087592,0.6568486158650093,0.5573339127477845,0.18527442007962877,0.7807001741427969,0.8103448275862069,0.7510121457489879,0.49443153891010094,0.15700935468465962,0.8771929824561403,0.0,0.3724137931034483,-0.06946891517744769,0.49443153891010094,True,,,,,,,
12,0.25,29,50,0.7372262773722628,0.6513541103705038,0.557635045351618,0.1854429272483836,0.7821413559118477,0.8103448275862069,0.7510121457489879,0.4955193251267328,0.15739609607395919,0.8771929824561403,0.0,0.3620689655172414,-0.07311855021394409,0.4955193251267328,True,,,,,,,
12,0.5,29,51,0.7445255474452555,0.6568185912448208,0.555939891528345,0.18482230866138608,0.786104605776737,0.8103448275862069,0.7510121457489879,0.494520936797961,0.15689713184953083,0.8798920377867746,0.0034482758620689655,0.35517241379310344,-0.0658192801409514,0.4971071436945127,True,,,,,,,
8,0.1,29,44,0.7700729927007299,0.7560499609679938,0.5501942976668137,0.18187411630036227,0.8229748393682819,0.8275862068965517,0.8178137651821862,0.49890981487633307,0.15999844325778007,0.8960863697705803,0.0034482758620689655,0.3448275862068966,-0.05751321419582178,0.5014960217728848,True,,,,,,,
8,0.05,29,44,0.7700729927007299,0.7560499609679938,0.5502829845585098,0.18191262729514807,0.822974839368282,0.8275862068965517,0.8178137651821862,0.4989332040585952,0.1600252839720529,0.8960863697705803,0.0034482758620689655,0.3448275862068966,-0.05751321419582178,0.501519410955147,True,,,,,,,
8,0.25,29,44,0.7664233576642335,0.7505554554734883,0.5499916483104713,0.18178675558195584,0.8230949378490362,0.8103448275862069,0.791497975708502,0.4989428081062247,0.1599641664058911,0.8960863697705803,0.0034482758620689655,0.3448275862068966,-0.04392146992197332,0.5015290150027765,True,,,,,,,
8x4,0.05,29,51,0.7262773722627737,0.7508857262955624,0.5459743604481649,0.18439406259881114,0.7797994355371404,0.7586206896551724,0.7800269905533064,0.5006167001005586,0.1647122030612766,0.8684210526315789,0.017241379310344827,0.5,-0.03234331739239871,0.5135477345833173,True,,,,,,,
8x4,0.1,29,51,0.7262773722627737,0.7508857262955624,0.5481934343806547,0.18513320785530177,0.7816609619888308,0.7758620689655172,0.7928475033738192,0.5061401820119327,0.16678569359398526,0.8603238866396761,0.013793103448275862,0.49310344827586206,-0.04958469670274357,0.5164850095981396,True,,,,,,,
8x4,0.5,29,53,0.718978102189781,0.7233231249624692,0.5499662841943135,0.1855617527553483,0.7720530835284934,0.7758620689655172,0.7793522267206479,0.5140086243562174,0.16959550848977378,0.8569500674763832,0.0034482758620689655,0.46206896551724136,-0.05688396677573626,0.5165948312527692,True,,,,,,,
8x4,0.25,29,52,0.7481751824817519,0.7645169038611661,0.545776358330357,0.18401402266614228,0.7783282291479012,0.7758620689655172,0.7793522267206479,0.506030019807326,0.16669473836690762,0.8589743589743589,0.017241379310344827,0.5,-0.027686886483765383,0.5189610542900847,True,,,,,,,
8,0.25,11,53,0.6788321167883211,0.7347024560139315,0.5918727272397556,0.20442179852376632,0.8148081426769952,0.7758620689655172,0.8333333333333333,0.5205644997057535,0.17205402648259616,0.9244264507422402,0.0034482758620689655,0.46206896551724136,-0.09702995217719612,0.5231507066023052,True,,,,,,,
8,2.0,42,39,0.7554744525547445,0.7368342040473188,0.5348282745414169,0.17779819616677806,0.805440461178166,0.8275862068965517,0.8313090418353576,0.46181788204398955,0.1466264737308874,0.8987854251012146,0.08275862068965517,0.5862068965517241,-0.07211175434180717,0.5238868475612309,True,,,,,,,
