domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,none,1,140200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,age,0.8,0.34639402953245313,0.34639402953245313,0.9013227535586038,0.8265393289691485,0.019331601680491545,0.0015712550756610101,-0.017760346604830536,0,0,0,0.09402901135262592,0.20195019999113173,0.1079211886385058
diabetes,none,1,140200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,age,0.8,0.34639402953245313,0.34639402953245313,0.9013227535586038,0.8265393289691485,0.019331601680491545,0.0015712550756610101,-0.017760346604830536,0,0,0,0.09402901135262592,0.20195019999113173,0.1079211886385058
diabetes,none,1,140200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,age,0.8,0.34639402953245313,0.34639402953245313,0.9013227535586038,0.8265393289691485,0.019331601680491545,0.0015712550756610101,-0.017760346604830536,0,0,0,0.09402901135262592,0.20195019999113173,0.1079211886385058
diabetes,none,1,140200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,age,0.8,0.34639402953245313,0.34639402953245313,0.9013227535586038,0.8265393289691485,0.019331601680491545,0.0015712550756610101,-0.017760346604830536,0,0,0,0.09402901135262592,0.20195019999113173,0.1079211886385058
diabetes,none,1,140200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,age,0.8,0.34639402953245313,0.34639402953245313,0.9013227535586038,0.8265393289691485,0.019331601680491545,0.0015712550756610101,-0.017760346604830536,0,0,0,0.09402901135262592,0.20195019999113173,0.1079211886385058
diabetes,none,1,140200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,age,0.8,0.34639402953245313,0.34639402953245313,0.9013227535586038,0.8265393289691485,0.019331601680491545,0.0015712550756610101,-0.017760346604830536,0,0,0,0.09402901135262592,0.20195019999113173,0.1079211886385058
diabetes,none,1,140200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,age,0.8,0.6756756756756757,0.6756756756756757,0.9187606029295128,0.8815848473869822,0.019331601680491545,6.765978429058603e-05,-0.01926394189620096,0,0,0,0.09402901135262592,0.12237852612200495,0.028349514769379025
diabetes,none,1,140200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / age,0.6,1.1475342031369915,1.1475342031369915,0.9567184501438132,0.9266452112706753,0.019331601680491545,0.6559782951133937,0.6366466934329021,1,0,0,0.09402901135262592,0.013362657749394408,-0.08066635360323152
diabetes,none,1,140200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,glucose / bmi / age,0.4,1.4249997833561538,1.4249997833561538,0.9488520921869906,0.94701610197031,0.019331601680491545,0.9996811413496631,0.9803495396691716,1,0,0,0.09402901135262592,0.14036522157902925,0.04633621022640333
diabetes,none,1,140200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,age,0.8,0.6081081081081081,0.6081081081081081,0.9160579002268101,0.8788821446842794,0.019331601680491545,0.0001545107549564672,-0.01917709092553508,0,0,0,0.09402901135262592,0.11246480458244457,0.018435793229818642
diabetes,none,1,140200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,glucose / age,0.6,0.9184294820241087,0.9184294820241087,0.9545699935075248,0.9409464194674796,0.019331601680491545,0.8974436043694684,0.8781120026889768,1,0,0,0.09402901135262592,0.04127708368804883,-0.05275192766457709
diabetes,none,1,140200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,glucose / bmi / age,0.4,1.0211619911558873,1.0211619911558873,0.9614929212938352,0.9614929212938352,0.019331601680491545,0.9837131221894652,0.9643815205089736,1,0,0,0.09402901135262592,0.07510330219041794,-0.018925709162207982
diabetes,none,1,140200,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,age,0.8,0.6486486486486487,0.6486486486486487,0.9241660083349182,0.8869902527923875,0.019331601680491545,9.63866658049699e-05,-0.019235215014686575,0,0,0,0.09402901135262592,0.11744900924883506,0.023419997896209133
diabetes,none,1,140200,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,glucose / age,0.6,0.9972288220885398,0.9972288220885398,0.9567062874803658,0.9567062874803658,0.019331601680491545,0.9572271141006868,0.9378955124201953,1,0,0,0.09402901135262592,0.05927194860203794,-0.034757062750587986
diabetes,none,1,140200,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,glucose / bmi / age,0.4,1.1868888389472076,1.1868888389472076,0.9946382908520993,0.9946382908520993,0.019331601680491545,0.9929417548071674,0.9736101531266759,1,0,0,0.09402901135262592,0.05982903200015666,-0.03419997935246927
diabetes,none,2,140201,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.05958238247589209,0.05958238247589209,0.9270636841571803,0.9270636841571803,0.020647439422839933,0.19890014589876087,0.17825270647592095,0,1,0,0.09274683494497771,0.033164452469085615,-0.05958238247589209
diabetes,none,2,140201,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.05958238247589209,0.05958238247589209,0.9270636841571803,0.9270636841571803,0.020647439422839933,0.19890014589876087,0.17825270647592095,0,1,0,0.09274683494497771,0.033164452469085615,-0.05958238247589209
diabetes,none,2,140201,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.05958238247589209,0.05958238247589209,0.9270636841571803,0.9270636841571803,0.020647439422839933,0.19890014589876087,0.17825270647592095,0,1,0,0.09274683494497771,0.033164452469085615,-0.05958238247589209
