domain,cluster,total,prediction_0,prediction_1,selected
housing,0,919,608,311,1
housing,1,1131,515,616,1
housing,2,1008,589,419,1
housing,3,119,25,94,0
housing,4,356,252,104,0
safelimit,0,42,12,30,1
safelimit,1,35,12,23,0
safelimit,2,23,1,22,0
safelimit,3,28,3,25,0
safelimit,4,45,21,24,1
safelimit,5,80,17,63,1
safelimit,6,29,18,11,0
safelimit,7,38,4,34,0
safelimit,8,23,7,16,0
safelimit,9,34,2,32,0
diabetes,0,11,8,3,0
diabetes,1,35,8,27,1
diabetes,2,32,7,25,1
diabetes,3,20,7,13,0
diabetes,4,19,5,14,0
diabetes,5,12,5,7,0
diabetes,6,15,9,6,0
diabetes,7,21,8,13,1
diabetes,8,13,6,7,0
diabetes,9,12,4,8,0
