domain,cluster_count,silhouette_score,minimum_cluster_size,passes_minimum_size,chosen
housing,3,0.5291965193339335,1063,1,0
housing,4,0.5377464409915439,358,1,0
housing,5,0.5736392400513617,119,1,1
housing,6,0.5421639372224529,104,1,0
housing,7,0.5069100369304028,105,1,0
housing,8,0.4801188242968671,105,1,0
housing,9,0.4960037378488424,105,1,0
housing,10,0.5334812561569905,65,1,0
safelimit,3,0.46799733976186536,94,1,0
safelimit,4,0.515614774159035,23,1,0
safelimit,5,0.4742164729700409,23,1,0
safelimit,6,0.5031546363105931,23,1,0
safelimit,7,0.507539156957331,23,1,0
safelimit,8,0.5616101453735328,23,1,0
safelimit,9,0.5657086585097534,23,1,0
safelimit,10,0.6037466176608749,23,1,1
diabetes,3,0.3105028371722761,54,1,0
diabetes,4,0.3121370827929089,43,1,0
diabetes,5,0.3221821244149488,27,1,0
diabetes,6,0.371241016219414,26,1,0
diabetes,7,0.4170699876307613,17,1,0
diabetes,8,0.4750278596046772,13,1,0
diabetes,9,0.5178179114069733,12,1,0
diabetes,10,0.5673262184589842,11,1,1
