domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,none,1,120200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,0,,1.0,0.0,0.0,1.0,0.930921079955922,0.0026046308098854535,0.0026046308098854535,0.0,0,1,0,0.16632784664879635,0.16632784664879635,0.0
diabetes,none,1,120200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,0,,1.0,0.0,0.0,1.0,0.930921079955922,0.0026046308098854535,0.0026046308098854535,0.0,0,1,0,0.16632784664879635,0.16632784664879635,0.0
diabetes,none,1,120200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,0,,1.0,0.0,0.0,1.0,0.930921079955922,0.0026046308098854535,0.0026046308098854535,0.0,0,1,0,0.16632784664879635,0.16632784664879635,0.0
diabetes,none,1,120200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,0,,1.0,0.0,0.0,1.0,0.930921079955922,0.0026046308098854535,0.0026046308098854535,0.0,0,1,0,0.16632784664879635,0.16632784664879635,0.0
diabetes,none,1,120200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,0,,1.0,0.0,0.0,1.0,0.930921079955922,0.0026046308098854535,0.0026046308098854535,0.0,0,1,0,0.16632784664879635,0.16632784664879635,0.0
diabetes,none,1,120200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,0,,1.0,0.0,0.0,1.0,0.930921079955922,0.0026046308098854535,0.0026046308098854535,0.0,0,1,0,0.16632784664879635,0.16632784664879635,0.0
diabetes,none,1,120200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,bmi,0.8,0.49950828884518184,0.6515172801348685,0.9379813988114694,0.8699629456485326,0.0026046308098854535,8.680068268154259e-05,-0.002517830127203911,0,1,0,0.16632784664879635,0.12660746290521413,-0.03972038374358222
diabetes,none,1,120200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / bmi,0.6,0.831084551385566,0.9830935426752527,0.9529442788503066,0.926380474105097,0.0026046308098854535,0.997012366843837,0.9944077360339515,1,1,1,0.16632784664879635,0.0891171358865401,-0.07721071076225625
diabetes,none,1,120200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,glucose / blood_pressure / bmi,0.4,0.9832584644290443,1.135267455718731,0.96520438673898,0.9481196045398796,0.0026046308098854535,0.8983838702816235,0.895779239471738,1,1,1,0.16632784664879635,0.06497586767373564,-0.10135197897506071
diabetes,none,1,120200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,bmi,0.8,0.3748243888732796,0.5268333801629663,0.9250351222253441,0.8948997256429131,0.0026046308098854535,1.418427052336694e-05,-0.0025904465393620864,0,1,0,0.16632784664879635,0.181936473324654,0.015608626675857662
