domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,none,1,130200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.17616848828983878,0.17616848828983878,0.9108327869765045,0.8114707890489945,3.902933450076373e-06,0.0015014059565769534,0.001497503023126877,0,1,0,0.2866978830113336,0.08489908572857463,-0.20179879728275896
diabetes,none,1,130200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.17616848828983878,0.17616848828983878,0.9108327869765045,0.8114707890489945,3.902933450076373e-06,0.0015014059565769534,0.001497503023126877,0,1,0,0.2866978830113336,0.08489908572857463,-0.20179879728275896
diabetes,none,1,130200,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.17616848828983878,0.17616848828983878,0.9108327869765045,0.8114707890489945,3.902933450076373e-06,0.0015014059565769534,0.001497503023126877,0,1,0,0.2866978830113336,0.08489908572857463,-0.20179879728275896
diabetes,none,1,130200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.17616848828983878,0.17616848828983878,0.9108327869765045,0.8114707890489945,3.902933450076373e-06,0.0015014059565769534,0.001497503023126877,0,1,0,0.2866978830113336,0.08489908572857463,-0.20179879728275896
diabetes,none,1,130200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.17616848828983878,0.17616848828983878,0.9108327869765045,0.8114707890489945,3.902933450076373e-06,0.0015014059565769534,0.001497503023126877,0,1,0,0.2866978830113336,0.08489908572857463,-0.20179879728275896
diabetes,none,1,130200,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.17616848828983878,0.17616848828983878,0.9108327869765045,0.8114707890489945,3.902933450076373e-06,0.0015014059565769534,0.001497503023126877,0,1,0,0.2866978830113336,0.08489908572857463,-0.20179879728275896
diabetes,none,1,130200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,glucose,0.8,0.607889814657371,0.607889814657371,0.9238319987687593,0.8689084057933393,3.902933450076373e-06,0.9999999999974507,0.9999960970640006,1,1,1,0.2866978830113336,0.22529325163647518,-0.06140463137485841
diabetes,none,1,130200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / age,0.6,0.9051871119546683,0.9051871119546683,0.9320248448128271,0.911571373151262,3.902933450076373e-06,0.9999874318942891,0.999983528960839,1,0,0,0.2866978830113336,0.13838680030073292,-0.14831108271060067
diabetes,none,1,130200,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,glucose / blood_pressure / age,0.4,1.1877958076068422,1.1877958076068422,0.9564379796023832,0.900923717205255,3.902933450076373e-06,0.9999999934559392,0.9999960905224891,1,0,0,0.2866978830113336,0.2743887862638214,-0.012309096747512183
diabetes,none,1,130200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,glucose,0.8,0.5717565039959189,0.5717565039959189,0.9204847040939753,0.8761350679256297,3.902933450076373e-06,0.9999999999829141,0.999996097049464,1,1,1,0.2866978830113336,0.26013876879169756,-0.026559114219636026
diabetes,none,1,130200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,glucose / age,0.6,0.7001348823742973,0.7001348823742973,0.946160379769651,0.8709590997263135,3.902933450076373e-06,0.9999999960963717,0.9999960931629216,1,0,0,0.2866978830113336,0.16027808718981806,-0.12641979582151552
diabetes,none,1,130200,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,glucose / blood_pressure / age,0.4,0.7979609693308191,0.7979609693308191,0.9657255971609553,0.8905243171176179,3.902933450076373e-06,0.9999999983129548,0.9999960953795047,1,0,0,0.2866978830113336,0.2187598330593431,-0.06793804995199049
diabetes,none,1,130200,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,glucose,0.8,0.5356231933344667,0.5356231933344667,0.9132580419616849,0.8833617300579201,3.902933450076373e-06,0.9999999998256894,0.9999960968922393,1,1,1,0.2866978830113336,0.28166204643013387,-0.005035836581199715
diabetes,none,1,130200,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,glucose / insulin,0.6,0.7686513216855345,0.7686513216855345,0.936506036471011,0.9299673557281337,3.902933450076373e-06,0.0006916579288816229,0.0006877549954315465,0,1,0,0.2866978830113336,0.05454853268558238,-0.2321493503257512
diabetes,none,1,130200,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,glucose / insulin / age,0.4,0.9848675379017507,1.1200026730368857,0.8983605682447721,0.973210598971377,3.902933450076373e-06,0.9971238294899796,0.9971199265565295,1,0,0,0.2866978830113336,0.051661999456891594,-0.235035883554442
diabetes,none,2,130201,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,0,,1.0,0.0,0.0,0.9459746670140338,0.8491065941822938,0.38286006705426545,0.38286006705426545,0.0,0,1,0,0.020600500723143594,0.020600500723143594,0.0
diabetes,none,2,130201,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,0,,1.0,0.0,0.0,0.9459746670140338,0.8491065941822938,0.38286006705426545,0.38286006705426545,0.0,0,1,0,0.020600500723143594,0.020600500723143594,0.0
diabetes,none,2,130201,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,0,,1.0,0.0,0.0,0.9459746670140338,0.8491065941822938,0.38286006705426545,0.38286006705426545,0.0,0,1,0,0.020600500723143594,0.020600500723143594,0.0
diabetes,none,2,130201,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,0,,1.0,0.0,0.0,0.9459746670140338,0.8491065941822938,0.38286006705426545,0.38286006705426545,0.0,0,1,0,0.020600500723143594,0.020600500723143594,0.0
diabetes,none,2,130201,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,0,,1.0,0.0,0.0,0.9459746670140338,0.8491065941822938,0.38286006705426545,0.38286006705426545,0.0,0,1,0,0.020600500723143594,0.020600500723143594,0.0
diabetes,none,2,130201,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,0,,1.0,0.0,0.0,0.9459746670140338,0.8491065941822938,0.38286006705426545,0.38286006705426545,0.0,0,1,0,0.020600500723143594,0.020600500723143594,0.0
diabetes,none,2,130201,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,age,0.8,0.4864864864864865,0.4864864864864865,0.9210343726036259,0.838295783371483,0.38286006705426545,0.9999999999152946,0.6171399328610292,1,0,0,0.020600500723143594,0.3565296372137377,0.3359291364905941
diabetes,none,2,130201,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,bmi / age,0.6,0.6796587258795744,0.6796587258795744,0.9482837162782765,0.8769302312501006,0.38286006705426545,0.9999999845945005,0.617139917540235,1,0,0,0.020600500723143594,0.29931225654091476,0.2787117558177712
diabetes,none,2,130201,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,insulin / bmi / age,0.4,0.8137014545770913,0.8508209794471728,0.9470463987826071,0.8887432949566405,0.38286006705426545,0.9999717343578014,0.617111667303536,1,0,0,0.020600500723143594,0.11201949885260787,0.09141899812946427
diabetes,none,2,130201,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,age,0.8,0.25675675675675674,0.25675675675675674,0.9414461649482054,0.884241729317429,0.38286006705426545,0.9911676883559524,0.6083076213016869,1,0,0,0.020600500723143594,0.20434650061089635,0.18374599988775275
diabetes,none,2,130201,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,bmi / age,0.6,0.42446538277530094,0.42446538277530094,0.9391172267016183,0.9177834545211379,0.38286006705426545,0.9796026409915178,0.5967425739372524,1,0,0,0.020600500723143594,0.08854435915430459,0.06794385843116099
diabetes,none,2,130201,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,insulin / bmi / age,0.4,0.5007666283415797,0.5378861532116613,0.9543774758148741,0.9330437036343936,0.38286006705426545,0.9414063047576607,0.5585462377033953,1,0,0,0.020600500723143594,0.10911135858898116,0.08851085786583757
diabetes,none,2,130201,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,bmi,0.8,0.23180668727170523,0.23180668727170523,0.975400474340405,0.8954679316366349,0.38286006705426545,0.9909028074690188,0.6080427404147534,1,1,1,0.020600500723143594,0.23252443070081663,0.21192392997767304
diabetes,none,2,130201,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,bmi / age,0.6,0.44802290348792145,0.44802290348792145,0.9541333586942412,0.9387111748798781,0.38286006705426545,0.9361440924675848,0.5532840254133193,1,0,0,0.020600500723143594,0.08908385759151424,0.06848335686837065
diabetes,none,2,130201,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,blood_pressure / bmi / age,0.4,0.5784576860966171,0.5784576860966171,0.9358360092738529,0.9647981314016173,0.38286006705426545,0.7435879772984285,0.36072791024416306,1,0,0,0.020600500723143594,0.08776756395615565,0.06716706323301205
diabetes,none,3,130202,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.19223994027844515,0.19223994027844515,0.9269171926660219,0.8410016350873635,0.00110748692763476,0.10084412814483253,0.09973664121719776,0,1,0,0.2414884488546533,0.04971752542205882,-0.19177092343259447
diabetes,none,3,130202,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.19223994027844515,0.19223994027844515,0.9269171926660219,0.8410016350873635,0.00110748692763476,0.10084412814483253,0.09973664121719776,0,1,0,0.2414884488546533,0.04971752542205882,-0.19177092343259447
diabetes,none,3,130202,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.19223994027844515,0.19223994027844515,0.9269171926660219,0.8410016350873635,0.00110748692763476,0.10084412814483253,0.09973664121719776,0,1,0,0.2414884488546533,0.04971752542205882,-0.19177092343259447
diabetes,none,3,130202,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.19223994027844515,0.19223994027844515,0.9269171926660219,0.8410016350873635,0.00110748692763476,0.10084412814483253,0.09973664121719776,0,1,0,0.2414884488546533,0.04971752542205882,-0.19177092343259447
diabetes,none,3,130202,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.19223994027844515,0.19223994027844515,0.9269171926660219,0.8410016350873635,0.00110748692763476,0.10084412814483253,0.09973664121719776,0,1,0,0.2414884488546533,0.04971752542205882,-0.19177092343259447
diabetes,none,3,130202,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.19223994027844515,0.19223994027844515,0.9269171926660219,0.8410016350873635,0.00110748692763476,0.10084412814483253,0.09973664121719776,0,1,0,0.2414884488546533,0.04971752542205882,-0.19177092343259447
diabetes,none,3,130202,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,glucose,0.8,0.5143683047100831,0.5143683047100831,0.9080237021447658,0.9037269168837404,0.00110748692763476,0.9717911516138353,0.9706836646862006,1,1,1,0.2414884488546533,0.02573395962863584,-0.21575448922601745
diabetes,none,3,130202,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / bmi,0.6,0.7777849947915666,0.7777849947915666,0.9410385939683117,0.860692929021599,0.00110748692763476,0.004418794005468191,0.003311307077833431,0,1,0,0.2414884488546533,0.11171989063727072,-0.12976855821738256
diabetes,none,3,130202,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,glucose / blood_pressure / bmi,0.4,1.190828473052436,1.190828473052436,0.9383357940271018,0.9173761461196439,0.00110748692763476,0.9998151440611269,0.9987076571334922,1,1,1,0.2414884488546533,0.12736060133745145,-0.11412784751720184
diabetes,none,3,130202,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,glucose,0.8,0.47823499404863096,0.47823499404863096,0.9152503642770562,0.8982006458414007,0.00110748692763476,0.9082529647661689,0.9071454778385342,1,1,1,0.2414884488546533,0.016855506456030567,-0.22463294239862272
diabetes,none,3,130202,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,glucose / bmi,0.6,0.7161880707555708,0.7161880707555708,0.9533579787755109,0.8506100305000127,0.00110748692763476,0.0013437233377166357,0.0002362364100818757,0,1,0,0.2414884488546533,0.07635274478522322,-0.16513570406943007
diabetes,none,3,130202,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,glucose / blood_pressure / bmi,0.4,0.9444489403207881,0.9444489403207881,0.9310861870148487,0.8896778920404868,0.00110748692763476,0.5016480977135037,0.500540610785869,1,1,1,0.2414884488546533,4.782287014726272e-05,-0.24144062598450602
diabetes,none,3,130202,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,glucose,0.8,0.5101173269852064,0.5101173269852064,0.9088738976897411,0.9045771124287157,0.00110748692763476,0.9676994993893863,0.9665920124617515,1,1,1,0.2414884488546533,0.024744914095019416,-0.21674353475963387
