sample,metric,n,pearson r,pearson p,spearman rho,spearman p,observed mean,simulated mean,MAE
full sample,success,25,0.70976732569225,7.076441323027869e-05,0.6606759258706266,0.0003246979098345961,0.578,0.562,0.10800000000000001
full sample,target confidence gain,25,0.7870910053952843,3.0487628065874156e-06,0.7676923076923077,7.493148839559231e-06,0.5510656188582593,0.5447577993879027,0.09188156209098701
full sample,boundary improvement,25,0.22581297995104288,0.2777637796030021,0.4107692307692308,0.04137725673275663,-0.018621405336670043,-0.0007521230841419354,0.04481397921828356
full sample,plausibility,25,0.47908593800225674,0.015391808287887842,0.4646153846153846,0.019287095935427063,0.934994925717318,0.9383265530128218,0.008244639576472097
full sample,actionability,25,0.7099949442075352,7.021678852159938e-05,0.6352399131155404,0.0006453899625312924,0.8740000000000001,0.934,0.064
full sample,edit L1,25,0.39582716611897284,0.05015321999452549,0.6092307692307692,0.0012272604760963429,0.5980384457279189,0.5258935379132389,0.1501128925678901
excluding flagged participant,success,24,0.6110617312272197,0.001513778574569803,0.6156229404989939,0.0013631357676728096,0.5979166666666667,0.5770833333333333,0.10833333333333334
excluding flagged participant,target confidence gain,24,0.7115816972534315,9.659504339488613e-05,0.737391304347826,3.9377228858186924e-05,0.5694998442153836,0.558763247575123,0.09154400915280557
excluding flagged participant,boundary improvement,24,0.46011698372552584,0.023674953609224766,0.48956521739130426,0.015176284460359705,-0.010548865740675673,-0.002213921960119962,0.036402336453217644
excluding flagged participant,plausibility,24,0.7616258932855988,1.5369310285185456e-05,0.6556521739130434,0.0005049286602973923,0.9363491406983292,0.937493031036078,0.006261611463757449
excluding flagged participant,actionability,24,0.9077932640858113,9.167572373836878e-10,0.7219468150545033,6.816232366989544e-05,0.9,0.93125,0.03541666666666666
excluding flagged participant,edit L1,24,0.7854006753811973,5.458417001180595e-06,0.7739130434782608,9.140337472969992e-06,0.558027567130097,0.5375217649152385,0.10172245299945241
