participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_12myev0XH9WOz3H,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.0,,,0,4,0.4289443873269447,0.5141981855865059,0.3720869602403954,0.5,2.0383257832505546,0.4458073198409649,0.4819051056433151,0.3735197453252449,0.5,2.1943645655322594,0
R_12myev0XH9WOz3H,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,,0.0,2.0,1.0,1,4,0.3633093804942701,0.5174032845633773,0.2440220455519173,0.5,1.819843529177898,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.0,,,1,4,0.3493758374780419,0.5684805205762868,0.2672321955323705,0.4833333333333333,1.7149162616729845,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,weighted examples,observed per instance,1.0,,0.0,6.0,0.0,1,4,0.3897904468510269,0.4676029218936325,0.2471838155956864,0.5333333333333333,2.675859409377555,0.3897904468510269,0.4676029218936325,0.2471838155956863,0.5333333333333333,2.675859409377555,0
R_1Fh1UMJw1me9wFr,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.15,,,0,4,0.197419344079911,0.7511788822495602,0.1460175704093823,1.0,0.8249363620367701,0.2011862307825269,0.7511788822495602,0.1535513438146141,1.0,0.8249363620367701,1
R_1Fh1UMJw1me9wFr,diabetes,none,20,weighted examples,observed per instance,0.0,,0.05,6.0,0.0,0,4,0.1899366997485672,0.7067457234066615,0.086619122903796,0.9666666666666666,1.213529903047239,0.1927075117899205,0.7067457234066616,0.0921607469865027,0.9666666666666666,1.2135299030472386,0
R_1QfQiW4jahDRgtB,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.0,0.15,,,0,4,0.5983911000148048,0.206727238825307,0.4035094388549163,0.5,2.070117032544643,0.6153360056504777,0.1916556652941455,0.4223276765951007,0.5,2.1425116412693925,0
R_1QfQiW4jahDRgtB,diabetes,attribution,20,weighted examples,observed per instance,1.0,,0.05,6.0,0.0,0,4,0.4711134654622578,0.2578458209696185,0.2000727518941341,0.6,1.900660609614733,0.4750542882792672,0.2578458209696184,0.2079543975281528,0.6,1.900660609614733,1
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.0,0.15,,,0,4,0.2154552675796031,0.7136178849970576,0.1445284201562639,1.0,0.6491003309924287,0.2279701879611941,0.7073014948936244,0.1632418708160127,1.0,0.6942874947954651,1
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,weighted examples,observed per instance,0.5,,0.05,6.0,0.0,0,4,0.2183448998092933,0.6630216527769128,0.0997114523954995,0.9333333333333332,0.9261011402332332,0.2274052961982608,0.6464230534535746,0.1012336458500963,0.9333333333333332,0.9964029399344998,0
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,1.0,0.2,,,1,4,0.204594861324642,0.6944215220455202,0.1036112446948042,0.95,1.0085228510190862,0.2079712811751803,0.6944215220455202,0.110364084395881,0.95,1.0085228510190862,1
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,,0.1,6.0,0.0,1,4,0.4053732732712554,0.4541474561982986,0.2648940027408094,0.6125,3.142781482053285,0.418975220169783,0.4355006349395867,0.2734510752791528,0.6124999999999998,3.3316917381368425,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.5,0.0,,,0,4,0.2501415285148347,0.6551576476013838,0.1554407046310533,0.7083333333333333,1.2194676148778787,0.2501415285148347,0.6551576476013838,0.1554407046310533,0.7083333333333333,1.219467614877879,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,,0.0,0.0,0.0,0,4,0.2271298741348892,0.6737712160191469,0.1280309642889253,0.7291666666666666,1.0605382671386605,0.2252852663547683,0.6748226134309018,0.1253931461404386,0.7291666666666666,1.0713523413509514,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.05,,,0,4,0.2274349632630932,0.6579362529246608,0.1128061794508474,1.0,1.2429489329619814,0.2274349632630932,0.6579362529246608,0.1128061794508474,1.0,1.2429489329619816,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,,0.1,6.0,0.5,0,4,0.2443829688142391,0.6151251067454218,0.1038910443739,0.9,1.605372858613647,0.2479740284793501,0.6151251067454219,0.111073163704122,0.9,1.6053728586136469,0
R_1myAGA2v3gStUIS,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,0.25,,,1,4,0.3147240647900916,0.4882510930532749,0.1176992226334582,0.9,2.024282961100902,0.3170634932923817,0.4900221191516601,0.1241491057364237,0.9,2.084090941229781,1
R_1myAGA2v3gStUIS,diabetes,attribution,20,weighted examples,observed per instance,0.0,,0.2,0.0,0.0,1,4,0.3504598740275493,0.4317375327353443,0.1326572807904431,0.95,2.561656813058367,0.3538326296710917,0.4317375327353443,0.1394027920775278,0.95,2.5616568130583666,0
R_3ENoszlL5q7JglI,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.25,,,0,4,0.2155048916347113,0.7495649825305927,0.1805747658000155,1.0,1.2151672165826868,0.236652567363084,0.7097832298205645,0.1830883645467326,1.0,1.423720810662916,0
R_3ENoszlL5q7JglI,diabetes,none,20,weighted examples,observed per instance,0.0,,0.2,6.0,0.0,0,4,0.2046571431459136,0.7871032976921931,0.1964175839840204,0.8708333333333332,0.9077062976747045,0.2072174178595567,0.7871032976921931,0.2015381334113065,0.8708333333333332,0.9077062976747045,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.5,0.1,,,0,4,0.3616184192125924,0.3822711276310671,0.1055079660562519,1.0,1.2890222933528306,0.3778684192125924,0.3822711276310671,0.1380079660562519,1.0,1.2890222933528306,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,weighted examples,observed per instance,0.0,,0.1,0.0,0.0,0,4,0.3988663226072733,0.2678531659085535,0.0655858111231002,1.0,1.8082506058422023,0.3988663226072733,0.2678531659085535,0.0655858111231002,1.0,1.8082506058422017,0
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.1,,,0,4,0.3487338060764932,0.5572191197557698,0.254686731908756,0.8,1.5269340193722536,0.3518962322875448,0.5572191197557698,0.2610115843308594,0.8,1.5269340193722538,1
R_5ASRudX4WuOaMDD,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,,0.15,6.0,0.5,0,4,0.3101622678193557,0.5412381473655906,0.161562683004302,0.75,1.5320191200621491,0.3580650654560499,0.469879284402045,0.186009415314145,0.75,1.9510268938555653,0
