participant,xai,case,instance id,selected model family,model MAP subset probability,user suggested edits,model suggested edits,edit vector MAE (lower is closer),edit closeness 0-1 (higher is closer),edit closeness definition,selection F1,amount MAE,direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,observed boundary distance original,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1,original value: glucose,user after: glucose,model after: glucose,user normalized change: glucose,model normalized change: glucose,absolute change difference: glucose,original value: blood_pressure,user after: blood_pressure,model after: blood_pressure,user normalized change: blood_pressure,model normalized change: blood_pressure,absolute change difference: blood_pressure,original value: insulin,user after: insulin,model after: insulin,user normalized change: insulin,model normalized change: insulin,absolute change difference: insulin,original value: bmi,user after: bmi,model after: bmi,user normalized change: bmi,model normalized change: bmi,absolute change difference: bmi,original value: age,user after: age,model after: age,user normalized change: age,model normalized change: age,absolute change difference: age,simulated boundary distance new,simulated boundary improvement
R_12myev0XH9WOz3H,counterfactual,1,160200,weighted examples,0.3481870721047019,glucose: 154.00 -> 105.00 (delta -49.00); bmi: 31.30 -> 26.38 (delta -4.92),glucose: 154.00 -> 141.68 (delta -12.32); bmi: 31.30 -> 29.45 (delta -1.85),0.0839218763305914,0.4473346466042855,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),1.0,0.2098046908264785,1.0,1.0,0.0,0.978433201147,0.3769939841105967,-0.00688856187709,0.0980127823706,0.943670203643,0.9308606348990832,1.0,1.0,0.58942807329,0.1698186916370429,154.0,104.99999999999042,141.6750923703122,-0.416595817038,-0.104785815589932,0.311810001448068,72.0,72.0,72.0,0.0,0.0,0.0,126.0,126.0,126.0,0.0,0.0,0.0,31.3,26.37911999999305,29.448383953186656,-0.172832256252,-0.0650328760471108,0.1077993802048891,37.0,37.0,37.0,0.0,0.0,0.0,0.0186301709765384,0.0793826113940615
R_12myev0XH9WOz3H,counterfactual,2,160210,weighted examples,0.2546990997899271,insulin: 215.00 -> 123.00 (delta -92.00); bmi: 39.40 -> 28.09 (delta -11.31),glucose: 100.00 -> 90.36 (delta -9.64); blood_pressure: 74.00 -> 71.22 (delta -2.78),0.1458825536890873,1.1102230246251563e-16,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),0.0,0.1823531921113591,,1.0,0.0,0.992579443499,0.113914247070732,0.00974907649142,0.0664632820126,0.956044904223,0.9054647249408028,1.0,1.0,0.587044297543,0.1423684709024366,100.0,100.0,90.35693712480784,0.0,-0.0819848909640551,0.0819848909640551,74.0,74.0,71.22235532283445,0.0,-0.0603835799383815,0.0603835799383815,215.0,122.99999999982504,215.0,-0.189722016003,0.0,0.189722016003,39.4,28.087439999993105,39.4,-0.39732228154,0.0,0.39732228154,43.0,43.0,43.0,0.0,0.0,0.0,0.0193332519377788,0.0471300300748211
R_12myev0XH9WOz3H,counterfactual,3,160211,weighted examples,0.2585894579977609,glucose: 145.00 -> 93.00 (delta -52.00); bmi: 37.90 -> 26.38 (delta -11.52),glucose: 145.00 -> 134.01 (delta -10.99); bmi: 37.90 -> 36.28 (delta -1.62),0.1392866875245998,0.3015044752022253,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),1.0,0.3482167188114996,1.0,1.0,1.0,0.982544878524,0.7237262579720496,-0.063283941387,0.0747170723186,0.922016055137,0.9627100672054936,1.0,1.0,0.84674062691,0.1503071892870008,145.0,93.00000000002105,134.00702708167756,-0.442101683387,-0.0934617660119233,0.3486399173750766,80.0,80.0,80.0,0.0,0.0,0.0,130.0,130.0,130.0,0.0,0.0,0.0,37.9,26.379120000013128,36.28149710851199,-0.404638943523,-0.0568454232750774,0.3477935202479225,40.0,40.0,40.0,0.0,0.0,0.0,0.0230091709232854,0.0517079013953145
R_12myev0XH9WOz3H,counterfactual,4,160201,weighted examples,0.2862289981725498,glucose: 187.00 -> 103.00 (delta -84.00); insulin: 200.00 -> 114.00 (delta -86.00); bmi: 36.40 -> 29.23 (delta -7.17),glucose: 187.00 -> 172.34 (delta -14.66); blood_pressure: 70.00 -> 68.03 (delta -1.97); bmi: 36.40 -> 34.42 (delta -1.98),0.1984312670519851,0.2812591397419586,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),0.6666666666666666,0.2480390838149814,1.0,1.0,0.0,0.961146859544,0.0003025708279358,0.216530682834,0.281142117469,0.961167382098,0.946437829959446,1.0,1.0,1.143468704332,0.2369402721435036,187.0,103.000000000034,172.34166727636142,-0.714164257779,-0.1246244917840381,0.5895397659949618,70.0,70.0,68.03055822935713,0.0,-0.0428139515357148,0.0428139515357148,200.0,113.99999999997353,200.0,-0.177348841046,0.0,0.177348841046,36.4,29.226320000004684,34.421143929730164,-0.251955605507,-0.0695018288237507,0.1824537766832493,36.0,36.0,36.0,0.0,0.0,0.0,0.2208603253702073,0.0602817920987926
R_12myev0XH9WOz3H,counterfactual,5,160214,weighted examples,0.2938025552614822,glucose: 104.00 -> 97.00 (delta -7.00); insulin: 156.00 -> 104.00 (delta -52.00); bmi: 29.90 -> 27.52 (delta -2.38),glucose: 104.00 -> 94.28 (delta -9.72); blood_pressure: 74.00 -> 71.35 (delta -2.65); insulin: 156.00 -> 128.05 (delta -27.95),0.0427964040072091,0.5226680090015046,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),0.6666666666666666,0.0534955050090114,1.0,1.0,1.0,0.995710408034,0.9952773983744676,-0.0819156298857,0.0501717968156,0.949918197625,0.960424279279655,1.0,1.0,0.2504090118762,0.1978786036017247,104.0,96.99999999999694,94.28482240539547,-0.0595136881483,-0.0825980070957704,0.0230843189474704,74.0,74.0,71.34849160106751,0.0,-0.0576414869333148,0.0576414869333148,156.0,104.00000000000654,128.04964298603562,-0.107234182958,-0.0576391095726394,0.0495950733853605,29.9,27.517999999999404,29.9,-0.0836611407699,0.0,0.0836611407699,41.0,41.0,41.0,0.0,0.0,0.0,0.0813216125625513,-0.0311498157469513
R_12myev0XH9WOz3H,counterfactual,6,160212,weighted examples,0.2941436188161507,glucose: 111.00 -> 98.00 (delta -13.00); insulin: 207.00 -> 128.00 (delta -79.00); bmi: 37.10 -> 30.37 (delta -6.73),glucose: 111.00 -> 100.72 (delta -10.28); blood_pressure: 72.00 -> 69.35 (delta -2.65); insulin: 207.00 -> 179.10 (delta -27.90),0.0845215025202401,0.406804828128418,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),0.6666666666666666,0.1056518781503001,1.0,1.0,1.0,0.985477630771,0.985087444379092,-0.137543890565,0.0372518432215,0.90899851121,0.970505383835222,1.0,1.0,0.509980054358,0.2024456912323381,111.0,97.99999999997586,100.72296252234317,-0.110525420847,-0.0873749147904849,0.023150506056515,72.0,72.0,69.35331756206261,0.0,-0.0575365747377693,0.0575365747377693,207.0,128.00000000006588,179.1005149096556,-0.162913470263,-0.0575342017040838,0.1053792685589161,37.1,30.365200000002936,37.1,-0.236541163248,0.0,0.236541163248,56.0,56.0,56.0,0.0,0.0,0.0,0.0622555504153462,-0.0250037071938462
R_12myev0XH9WOz3H,counterfactual,7,160202,weighted examples,0.283241621636199,glucose: 125.00 -> 102.00 (delta -23.00); bmi: 31.10 -> 26.95 (delta -4.15),glucose: 125.00 -> 113.97 (delta -11.03); bmi: 31.10 -> 29.43 (delta -1.67),0.0377845882814279,0.6173965439467864,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),1.0,0.0944614707035698,1.0,1.0,1.0,0.976996201152,0.4952284705033727,-0.0894967315903,0.0569726484831,0.941565679544,0.969514030976028,1.0,1.0,0.341352786527,0.1524298451198603,125.0,102.00000000003872,113.97101833870292,-0.195544975344,-0.0937679107404954,0.1017770646035045,70.0,70.0,70.0,0.0,0.0,0.0,115.0,115.0,115.0,0.0,0.0,0.0,31.1,26.94855999999762,29.429777404350723,-0.145807811183,-0.0586619343793649,0.0871458768036351,41.0,41.0,41.0,0.0,0.0,0.0,0.0008597048667471,0.0561129436163528
R_12myev0XH9WOz3H,counterfactual,8,160203,weighted examples,0.6014279374236969,glucose: 161.00 -> 98.00 (delta -63.00),glucose: 161.00 -> 147.81 (delta -13.19),0.0846936175992656,0.3462762045831296,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),1.0,0.4234680879963283,1.0,1.0,1.0,0.984592992532,0.638570726313634,-0.11777313682,0.0605519329641,0.9065754727,0.9775689789324656,1.0,1.0,0.535623193334,0.1121551053376717,161.0,98.0000000000549,147.80831651018303,-0.535623193334,-0.1121551053376717,0.4234680879963283,68.0,68.0,68.0,0.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,0.0,25.5,25.5,25.5,0.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0104387444941596,0.0501131884699403
R_12myev0XH9WOz3H,counterfactual,9,160213,weighted examples,0.2422716507988884,glucose: 117.00 -> 98.00 (delta -19.00); bmi: 34.50 -> 26.38 (delta -8.12),glucose: 117.00 -> 106.99 (delta -10.01); blood_pressure: 88.00 -> 85.34 (delta -2.66),0.0838945297979597,0.2886349481841496,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),0.5,0.139824216329933,1.0,1.0,0.0,0.991813492145,-0.006874727150671,-0.000156729202273,0.0929170929375,0.91064789382,0.9714175385707357,1.0,1.0,0.446760530898,0.1429123071463223,117.0,98.00000000003708,106.99052688170347,-0.161537153545,-0.0851000945272617,0.0764370590177383,88.0,88.0,85.34063821952321,0.0,-0.0578122126190606,0.0578122126190606,145.0,145.0,145.0,0.0,0.0,0.0,34.5,26.37912000000537,34.5,-0.285223377353,0.0,0.285223377353,40.0,40.0,40.0,0.0,0.0,0.0,0.0671876534305944,0.0257294395069055
R_12myev0XH9WOz3H,counterfactual,10,160204,weighted examples,0.2792003996255267,glucose: 125.00 -> 99.00 (delta -26.00); blood_pressure: 70.00 -> 69.00 (delta -1.00); insulin: 122.00 -> 99.00 (delta -23.00),glucose: 125.00 -> 113.96 (delta -11.04); blood_pressure: 70.00 -> 67.65 (delta -2.35); bmi: 28.90 -> 27.21 (delta -1.69),0.0526854058376077,0.467378782166102,1 - sum(abs(model delta - user delta)) / (sum(abs(model delta)) + sum(abs(user delta))),0.6666666666666666,0.0658567572970096,1.0,1.0,1.0,0.968511067467,0.9642890050861096,-0.148338972583,0.0395820491408,0.941955904774,0.9591268833809186,1.0,1.0,0.2902204761294999,0.2043655830954073,125.0,98.99999999995173,113.96249396527293,-0.221050841694,-0.0938403845836344,0.1272104571103655,70.0,68.9999999999992,67.64687834241482,-0.0217391304348,-0.0511548186431559,0.0294156882083559,122.0,98.9999999999805,122.0,-0.0474305040007,0.0,0.0474305040007,28.9,28.9,27.209606544380733,0.0,-0.0593703798686169,0.0593703798686169,45.0,45.0,45.0,0.0,0.0,0.0,0.1071341132035706,-0.0675520640627706
