participant,xai,case,instance id,selected model family,possible subsets,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1
R_12myev0XH9WOz3H,counterfactual,1,160200,weighted examples,10,0.6578379013122075,0.19521987263900847,1.0,1.0,0.0,0.978433201147,0.18216426005090638,-0.00688856187709,0.0461970624026709,0.943670203643,0.9359723501079312,1.0,1.0000000000000002,0.58942807329,0.1451687433723212
R_12myev0XH9WOz3H,counterfactual,2,160210,weighted examples,10,0.39305271980588563,0.20198427103582098,1.0,1.0,0.11561578725153428,0.992579443499,0.24095297210592673,0.00974907649142,0.03416745430516397,0.956044904223,0.9255449140354816,1.0,1.0,0.587044297543,0.12834147054811545
R_12myev0XH9WOz3H,counterfactual,3,160211,weighted examples,10,0.5959583053701994,0.29553475756399383,1.0,1.0,0.7675038069371942,0.982544878524,0.5506139870637938,-0.063283941387,0.04108834558971902,0.922016055137,0.9541209231879295,1.0,1.0,0.84674062691,0.13566242477884677
R_12myev0XH9WOz3H,counterfactual,4,160201,weighted examples,10,0.7647853870676693,0.27915711823993145,1.0,1.0,0.0,0.961146859544,0.00035327149585718143,0.216530682834,0.06423491087219979,0.961167382098,0.9443218117713666,1.0,1.0,1.143468704332,0.2137312048300415
R_12myev0XH9WOz3H,counterfactual,5,160214,weighted examples,10,0.7398425033947562,0.049667272277299106,1.0,1.0,0.9886549184369625,0.995710408034,0.9456070039411502,-0.0819156298857,-0.00868175240189297,0.949918197625,0.9633538130275698,1.0,1.0,0.2504090118762,0.18323093486215153
R_12myev0XH9WOz3H,counterfactual,6,160212,weighted examples,10,0.7404247236504516,0.1090523047482813,1.0,1.0,0.9576849704552128,0.985477630771,0.8542406791184136,-0.137543890565,-0.00014228729338921703,0.90899851121,0.96888265098588,1.0,0.9999999999999998,0.509980054358,0.1870307940774272
R_12myev0XH9WOz3H,counterfactual,7,160202,weighted examples,10,0.6128268060473179,0.1026294249651404,1.0,1.0,0.8285003616188485,0.976996201152,0.6716539029890987,-0.0894967315903,0.02727405197645489,0.941565679544,0.9729463489924882,1.0,1.0000000000000002,0.341352786527,0.1352682550375595
R_12myev0XH9WOz3H,counterfactual,8,160203,weighted examples,5,0.6014279374236969,0.37945396508091206,1.0,1.0,0.787965500568465,0.984592992532,0.5061489810727624,-0.11777313682,0.04049632036419778,0.9065754727,0.9823540166960097,1.0,0.9999999999999998,0.535623193334,0.0882299165199504
R_12myev0XH9WOz3H,counterfactual,9,160213,weighted examples,10,0.5534437210829825,0.14692294862532296,1.0,1.0,0.0,0.991813492145,0.04791968630104927,-0.000156729202273,0.026714477693150773,0.91064789382,0.9739853955162773,1.0,1.0,0.44676053089800005,0.13007302241861382
R_12myev0XH9WOz3H,counterfactual,10,160204,weighted examples,10,0.7289096598574122,0.06048129520215223,1.0,1.0,1.0,0.968511067467,0.9593807966565416,-0.148338972583,-0.06482075497078137,0.941955904774,0.9621388285956423,1.0,1.0,0.29022047612949997,0.189305857021789
