participant,xai,selected model family,testing cases,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1,observed target-confidence non-increase trials,observed target-confidence increase rate
R_156Kmlz4ECsrHQR,attribution,feature contribution,20,0.5684805205762868,0.22643890302370143,0.4539878126294913,0.45,0.3489403224832941,0.42163028181408607,0.3495508532495737,-0.014356935670314994,0.008744185256812916,0.9205818370589001,0.9507229528409417,0.75,0.6401167092717585,0.5849339783502601,0.27115683312786154,6,0.7
R_1Fh1UMJw1me9wFr,none,feature contribution,20,0.7690191309596595,0.1690190229693597,1.0,0.75,0.6373426628063621,0.6638408662943901,0.6066454764384817,0.04509555576422501,-0.03628333448716003,0.9404827779917,0.9338143370797708,1.0,1.0,0.55580976624311,0.6371583527418456,1,0.95
R_1KMTwE2iCLDGMxz,none,weighted examples,20,0.38561956391773794,0.2119433512969168,0.95,0.3,0.4711503328046371,0.32913644373619816,0.4725304260463223,0.025196894183423503,0.025235092269478742,0.9484673723815499,0.9486404916735991,1.0,1.0,0.2773972183542,0.31560821118505267,7,0.65
R_1QfQiW4jahDRgtB,attribution,weighted examples,20,0.2578458209696185,0.24158431102677397,0.6,0.45,0.4575401757714085,0.4273004105719848,0.4442610913458086,0.008895190966039503,0.03509184335083226,0.9485299032142,0.9512491572074753,1.0,1.0,0.27719120219054993,0.27971037456540365,6,0.7
R_1ReJOex9cmkqbNa,counterfactual,weighted examples,20,0.4976252082481252,0.17224493867870652,1.0,0.55,0.4738319651340922,0.5729207139595951,0.4915134770402202,-0.032803515412774,0.004490370104005452,0.94758140227775,0.9449647824456007,1.0,1.0,0.39800774942044503,0.3198348255800497,4,0.8
R_1TZbMIIo6RtFnsb,attribution,feature contribution,20,0.7262359641567704,0.1792081746767358,1.0,0.55,0.6433612793668073,0.5479826032418258,0.6105974788252904,0.018005909610329003,-0.005569968290732117,0.93934016107835,0.935755975616132,1.0,1.0,0.60771887236664,0.6104476057113886,2,0.9
R_1WAqgPTkRSdmI9W,counterfactual,feature contribution,20,0.6944215220455202,0.18425560088195966,0.95,0.85,0.6949939182509054,0.8085433565259658,0.6428605851395105,-0.04474299899884,-0.05934159396560838,0.9209095735035999,0.9200419529224011,0.25,0.26672260996561953,0.7406346860096,0.7865212784973821,2,0.9
R_1hF6UnZQsvvwBCX,counterfactual,weighted examples,20,0.6737712160191469,0.13460778471990947,0.770061251207299,0.7,0.5772856514936272,0.5885855016641334,0.5459850657622278,0.059903692547995005,0.04783195362784448,0.9509116395353001,0.9478227112240498,1.0,1.0,0.36217757311135257,0.4049343696142125,2,0.9
R_1ihbKBZG0EAXF8D,counterfactual,feature contribution,20,0.6726819704442698,0.16262366994461677,1.0,0.55,0.5282342053156073,0.5452308441429966,0.5043830167754713,0.030592220334761,0.03998847859554071,0.93880241896785,0.9471069793260689,1.0,1.0,0.47910472836855,0.48079704665919343,1,0.95
R_1myAGA2v3gStUIS,attribution,feature contribution,20,0.5061242824794736,0.27391861637255827,0.9095379251324998,0.55,0.6609365855592853,0.530826221440069,0.6488349401226124,0.0055684327748614995,-0.05134395301832574,0.9199573126471,0.9209259351589534,0.8,0.6976133371421958,0.73163349734655,0.7291547799421605,3,0.85
R_1vbS8BCLvmrwGHr,attribution,feature contribution,20,0.562118774417532,0.1932541874440302,1.0,0.55,0.5849599861970437,0.5682071034760545,0.5715899309783696,0.0395716438588225,0.023751472458159,0.9404781763496499,0.9428849405068688,1.0,1.0,0.43762151310025005,0.43408280997902293,1,0.95
R_1yltjaSsgo0dVO7,none,weighted examples,20,0.6854157935666919,0.2903785822699304,0.8552273501155065,1.0,0.8437493234565572,0.9702649007820503,0.8045837586333671,-0.18754540994244,-0.04245660261155031,0.901602405313,0.9188806068832959,0.8,0.228887115723579,1.435046434653385,1.5400937852404895,0,1.0
R_3ENoszlL5q7JglI,none,weighted examples,20,0.7871032976921931,0.25106524558637594,0.8468831549252652,0.95,0.7063689698037141,0.9102752599962001,0.677175956995088,-0.048258100708534986,-0.0256760095482723,0.9171115408537001,0.9184793447233373,1.0,1.0,0.897849999470365,1.0715954652932984,0,1.0
R_3Qv0QTQ49yAIRot,attribution,feature contribution,20,0.38227112763106713,0.21120996314670606,1.0,0.55,0.5733748423952465,0.5267191584124719,0.5384239719798097,0.005451649314247848,0.006045863591464697,0.94313979033475,0.9425207887342786,1.0,1.0,0.2908554693741,0.32294766032228417,4,0.8
R_3pZ1OVs4kWTC7GB,none,weighted examples,20,0.40037855190433946,0.24076300976314643,0.8970507927357451,0.35,0.4502562022941192,0.3762370540525765,0.4577066362498205,-0.0006705370011405021,0.03058620928119744,0.9386717127170998,0.9448349801647755,1.0,1.0,0.3858115177160751,0.40516605987368015,3,0.85
R_5ASRudX4WuOaMDD,counterfactual,feature contribution,20,0.5358707592623791,0.23321250274612088,0.8888888888888888,0.5,0.5326966132594988,0.48671510139714336,0.5539766420532735,-0.011473944750275,0.010624940270809452,0.94873539592725,0.9377706384783064,1.0,1.0,0.51973018277537,0.5431045608340067,2,0.9
R_5CNiW73tAkn7Lk5,none,feature contribution,20,0.6006478544667105,0.2241279931796886,1.0,0.65,0.660762992300066,0.6567674042160634,0.6256770819776986,0.025691909348796005,-0.018420311454513952,0.9386579002143499,0.9306321876983924,1.0,1.0,0.5436392693437451,0.5778321005559899,0,1.0
R_5F38MGbZJklp6TP,attribution,feature contribution,20,0.33990347258383535,0.18542593910269253,0.8,0.35,0.41538877700928245,0.37438562646170864,0.4201340758149609,0.012944094446844,0.033917671280909306,0.9639618593383499,0.9510800638801296,1.0,1.0,0.221136545406405,0.3448139346080235,4,0.8
R_5cuU4NG0z68t0DW,counterfactual,feature contribution,20,0.6736246458847457,0.17017318189042846,0.8316667020593902,0.7,0.6612412748496737,0.59233537028851,0.6370414363361676,0.020662060878584996,0.04275790347069456,0.94152980753955,0.9408305130780448,1.0,1.0,0.5100932442371651,0.4907741335630197,4,0.8
R_5gkJQXcSCkjRBmu,none,weighted examples,20,0.6577312831708382,0.16142482615589832,0.958710996972361,0.75,0.5035141270698051,0.700782878107974,0.5393362964576076,0.02043589556543,0.036234802060967755,0.94044390689275,0.9358171928384147,1.0,1.0,0.74119082406725,0.7032536422935559,2,0.9
R_5tEkygPCjFKzz2T,counterfactual,weighted examples,20,0.6204291135160345,0.10831059691769478,1.0,0.6,0.5824977215512275,0.5923318755350242,0.5689352056692155,0.038954172452190294,0.023269379776542743,0.9500654883271501,0.9462913698707549,0.85,1.0,0.385761489708795,0.33569421971087543,2,0.9
R_61hCu6g2tcWoJo7,attribution,feature contribution,20,0.519916526756151,0.24468037345576582,1.0,0.75,0.7136909665054667,0.7101134291291451,0.6503653142663806,0.0022781640121720004,-0.003545676424915601,0.9289080375043,0.9337867037145606,1.0,1.0,0.5911169079584051,0.5186462657589834,2,0.9
