model family,instance id,original label,target label,feature_pair,nearest_training_source,distance_to_nearest_training,none_success,none_boundary_improvement,none_edit_l1,none_plausibility,none_target_confidence_gain,none_map_prob,attribution_success,attribution_boundary_improvement,attribution_edit_l1,attribution_plausibility,attribution_target_confidence_gain,attribution_map_prob,counterfactual_success,counterfactual_boundary_improvement,counterfactual_edit_l1,counterfactual_plausibility,counterfactual_target_confidence_gain,counterfactual_map_prob,cf_minus_none_boundary_improvement,cf_minus_attr_boundary_improvement,attr_minus_none_boundary_improvement,cf_minus_none_success,cf_minus_attr_success,cf_specific_score
feature contribution,160205,No Diabetes,Diabetes,Glucose|BMI,train:158,0.0474,0.0,-0.03471101217083646,0.7490616268288347,0.9088428026435218,0.0004735510113582872,0.5034152354294061,0.0,-0.01779732238842568,0.6614561251418984,0.9163061648803273,0.0005089866823126467,0.46123581593549334,0.1111111111111111,0.07952237755214514,0.7945436029889532,0.9135724573899247,0.1340063289518455,0.5395098317640551,0.11423338972298161,0.09731969994057083,0.01691368978241078,0.1111111111111111,0.1111111111111111,0.23377531188577463
weighted examples,160212,Diabetes,No Diabetes,Blood Pressure|Insulin,train:146,0.1118,0.8095238095238095,-0.2137517674594241,0.49284801597420325,0.9420072351578284,0.7898081534259919,0.5438993593664485,0.8412698412698413,-0.21442986232091116,0.4970611293074701,0.9418632502085796,0.7955245022475415,0.5609192855963291,0.4021164021164021,-0.05558345051488855,0.2665776046181679,0.9582579373213126,0.3990118626063857,0.524580480960269,0.15816831694453554,0.1588464118060226,-0.0006780948614870663,-0.40740740740740744,-0.4391534391534392,0.2323586440944735
feature contribution,160206,No Diabetes,Diabetes,Glucose|Age,train:158,0.0582,0.0,0.11367595718412343,0.8165768151781365,0.8926014096261761,4.6558426500914724e-07,0.5056680933139105,0.0,0.11774189502789696,0.6126593183595255,0.9158336332795476,3.4659603588406264e-07,0.4537357112379498,0.07936507936507936,0.20578653010403355,0.7255208046843394,0.9113177352803752,0.09310584262556154,0.5293074446079781,0.09211057291991012,0.0880446350761366,0.004065937843773529,0.07936507936507936,0.07936507936507936,0.1960282238690626
weighted examples,160210,Diabetes,No Diabetes,Blood Pressure|Insulin,train:146,0.0661,0.6190476190476191,-0.11954919868147257,0.5977986067035954,0.9362129711483207,0.6307746676862147,0.3961132219343649,0.6825396825396826,-0.13933264912757917,0.5935753901452785,0.9397205707125909,0.6851254729414784,0.42401827701231126,0.3915343915343915,-0.020202407700024367,0.30957523251921015,0.9322245376657522,0.3735691437413449,0.48255202138585235,0.0993467909814482,0.11913024142755481,-0.019783450446106604,-0.22751322751322756,-0.29100529100529104,0.16662518055715117
weighted examples,160214,Diabetes,No Diabetes,Insulin|BMI,train:220,0.1066,0.0,-0.06522594033590524,0.3721092671143101,0.949602835230399,0.008030190722649943,0.4395292861385924,0.0,-0.056434124860034844,0.3620244137041317,0.9509956175044765,0.017395278572618342,0.4688266812662935,0.2751322751322751,-0.047867483562349517,0.2678094119211884,0.9631601170488979,0.28414150122435494,0.5228526087432271,0.017358456773555728,0.008566641297685328,0.0087918154758704,0.2751322751322751,0.2751322751322751,0.08095155309769608
feature contribution,160210,Diabetes,No Diabetes,Blood Pressure|Insulin,train:146,0.0661,0.7619047619047619,-0.14592173232760022,0.48046518615892725,0.9372959261841485,0.7742619239740959,0.4769741864016707,0.6349206349206349,-0.10717008282989665,0.37212129024651686,0.9363867601947906,0.6413086641182184,0.4583418101167464,0.5555555555555556,-0.07286730375900416,0.34065241316252404,0.9358094487539855,0.5581333644931042,0.49576305642934604,0.07305442856859606,0.03430277907089249,0.03875164949770357,-0.20634920634920628,-0.0793650793650793,0.07878577906805999
feature contribution,160217,No Diabetes,Diabetes,Glucose|Age,train:18,0.1436,0.0,-0.140522245084407,0.5083965941344407,0.940663497242935,-0.03762825038148989,0.4258350510421468,0.1746031746031746,-0.0803205320563004,0.4174055949663904,0.9538374675263396,0.09540901008552848,0.4244141567453812,0.25396825396825395,-0.09124861701619336,0.4620392770548511,0.9486623703858744,0.16322772730645665,0.48529462997667205,0.04927362806821364,-0.010928084959892961,0.060201713028106604,0.25396825396825395,0.07936507936507936,0.07167887644165402
feature contribution,160215,No Diabetes,Diabetes,Glucose|Insulin,train:18,0.1462,0.3333333333333333,-0.0962033286634984,0.5675096000740215,0.9297699106454163,0.25299993869348364,0.518318495641534,0.30158730158730157,-0.07157099672839899,0.47511631191953024,0.9386785503110213,0.22292451669881294,0.5060695143296691,0.4603174603174603,-0.06366176297829286,0.5509687841224804,0.9387134846492223,0.3863215463302595,0.5126971830270172,0.03254156568520554,0.007909233750106132,0.024632331935099408,0.12698412698412698,0.15873015873015872,0.06902222800674024
weighted examples,160211,Diabetes,No Diabetes,Glucose|Blood Pressure,test:339,0.0838,0.42857142857142855,-0.034490590113581465,0.573034705031455,0.9322128530218786,0.44990077822784597,0.6231726756348803,0.42857142857142855,-0.036638815671679585,0.5727092766474978,0.9317545390304249,0.45070496538420823,0.6204656834312336,0.3439153439153439,0.004424780126445255,0.31045396278075416,0.9393846787265981,0.35679145228802067,0.48155797612655443,0.03891537024002672,0.04106359579812484,-0.00214822555809812,-0.08465608465608465,-0.08465608465608465,0.06304774910693461
weighted examples,160215,No Diabetes,Diabetes,Glucose|Insulin,train:18,0.1462,0.3333333333333333,-0.022757143879119486,0.5875137707003242,0.9469038991765469,0.2972774798512733,0.3931763271750344,0.2222222222222222,-0.022302546782065658,0.5779991084134875,0.9480019018906097,0.16393733133764674,0.4054198267877123,0.6666666666666666,-0.03130888753724608,0.47216834162669336,0.9495039738579799,0.564054852668337,0.4820224357694682,-0.008551743658126595,-0.009006340755180423,0.0004545970970538278,0.3333333333333333,0.4444444444444444,0.060219693364470764
