source_split,source_instance_id,prediction_label,target_label,main_pair,strategy,edit_L1,target_probability,success,boundary_proxy_abs_p_minus_0.5,copy_delta_error_vs_true_cf_L1,exact_boundary_distance_after_edit
train,195,No Diabetes,Diabetes,glucose | bmi,copy moderate λ=2,0.21783568200216397,0.5180181052919359,1.0,0.018018105291935926,0.2715704233272951,0.0012957013898883957
train,195,No Diabetes,Diabetes,glucose | bmi,linear mental model,0.06747841829209145,0.0783953236315833,0.0,0.4216046763684167,0.20867866344502473,0.03916824191189677
train,195,No Diabetes,Diabetes,glucose | bmi,target prototype,0.4767732103343959,0.9757213625341737,1.0,0.47572136253417374,0.20061612859727973,0.15434344995528648
train,195,No Diabetes,Diabetes,glucose | bmi,oracle shown CF,0.2761570817371162,0.561413941037971,1.0,0.06141394103797104,0.0,0.011280526300751936
train,58,No Diabetes,Diabetes,glucose | bmi,copy moderate λ=2,0.21860527907738,0.6242088258605394,1.0,0.12420882586053938,0.2043873770408331,0.0159900989730708
train,58,No Diabetes,Diabetes,glucose | bmi,linear mental model,0.01787579407494644,0.017135723067595365,0.0,0.48286427693240463,0.17195323468258925,0.10003136684746472
train,58,No Diabetes,Diabetes,glucose | bmi,target prototype,0.5590881763065872,0.9590314818755745,1.0,0.4590314818755745,0.3692591475490516,0.09593075309495269
train,58,No Diabetes,Diabetes,glucose | bmi,oracle shown CF,0.18982902875753568,0.5986818085717516,1.0,0.09868180857175157,0.0,0.015492506821281282
train,210,Diabetes,No Diabetes,glucose | bmi,copy moderate λ=2,0.134995904813741,0.5058195331154675,1.0,0.005819533115467457,0.0730843976762311,0.00036981977384348275
train,210,Diabetes,No Diabetes,glucose | bmi,linear mental model,0.18089512419339815,0.7754156801056045,1.0,0.27541568010560447,0.1260080621247279,0.02268478428898117
train,210,Diabetes,No Diabetes,glucose | bmi,target prototype,0.4856538997506935,0.9999884487339139,1.0,0.4999884487339139,0.3534979419247881,0.24895472870995494
train,210,Diabetes,No Diabetes,glucose | bmi,oracle shown CF,0.13215595782590542,0.5751555319384849,1.0,0.0751555319384849,0.0,0.005604683522360043
test,10,Diabetes,No Diabetes,glucose | bmi,copy moderate λ=2,0.13408831181359734,0.9347470458604231,1.0,0.4347470458604231,0.06108293530023621,0.05567284976282738
test,10,Diabetes,No Diabetes,glucose | bmi,linear mental model,0.19922252467621815,0.974194830251251,1.0,0.474194830251251,0.126217148162857,0.053872411034067785
test,10,Diabetes,No Diabetes,glucose | bmi,target prototype,0.66107093153482,0.5323197532874139,1.0,0.03231975328741388,0.588065555021459,0.0013056243204576656
test,10,Diabetes,No Diabetes,glucose | bmi,oracle shown CF,0.08002982158220079,0.5256177905927123,1.0,0.025617790592712297,0.0,0.0019867016753786215
train,47,No Diabetes,Diabetes,blood_pressure | insulin,copy moderate λ=2,0.07210580437152848,0.5002880186298879,1.0,0.0002880186298879206,0.04191789994756669,1.9599681631898846e-05
train,47,No Diabetes,Diabetes,blood_pressure | insulin,linear mental model,0.0,0.011404673801165832,0.0,0.48859532619883417,0.11041355095775529,0.0695151720684862
train,47,No Diabetes,Diabetes,blood_pressure | insulin,target prototype,0.32943727756677604,0.040749149996300194,0.0,0.4592508500036998,0.262501987478586,0.1062376729315781
train,47,No Diabetes,Diabetes,blood_pressure | insulin,oracle shown CF,0.11041355095775529,0.8554923911009574,1.0,0.35549239110095743,0.0,0.026433882003869924
train,143,No Diabetes,Diabetes,blood_pressure | insulin,copy moderate λ=2,0.07243084627966206,0.9035355047371026,1.0,0.40353550473710265,0.06017696386355528,0.03676560614646726
train,143,No Diabetes,Diabetes,blood_pressure | insulin,linear mental model,0.0,0.05758604548333446,0.0,0.44241395451666554,0.05267206782651726,0.034821278767003555
train,143,No Diabetes,Diabetes,blood_pressure | insulin,target prototype,0.28372467234995846,0.9696469021337057,1.0,0.46964690213370575,0.2310526045234412,0.1551341570824019
train,143,No Diabetes,Diabetes,blood_pressure | insulin,oracle shown CF,0.05267206782651726,0.5830684175843971,1.0,0.08306841758439709,0.0,0.004844264395044567
train,94,Diabetes,No Diabetes,blood_pressure | insulin,copy moderate λ=2,0.04854767617428597,0.09912189724165554,0.0,0.40087810275834446,0.10534413565303453,0.03261679838117179
train,94,Diabetes,No Diabetes,blood_pressure | insulin,linear mental model,0.0,0.08105409963595026,0.0,0.4189459003640498,0.056796459478748555,0.034580098871806186
train,94,Diabetes,No Diabetes,blood_pressure | insulin,target prototype,0.08931908087035415,0.876028786278279,1.0,0.37602878627827896,0.03252262139160559,0.03217296411133378
train,94,Diabetes,No Diabetes,blood_pressure | insulin,oracle shown CF,0.056796459478748555,0.574734065134945,1.0,0.07473406513494496,0.0,0.0050231489622680064
test,30,Diabetes,No Diabetes,blood_pressure | insulin,copy moderate λ=2,0.04854767617428597,2.7623939634057058e-05,0.0,0.49997237606036593,0.32496978434811297,0.21400000285309168
test,30,Diabetes,No Diabetes,blood_pressure | insulin,linear mental model,0.4212624949595659,0.973160529252363,1.0,0.47316052925236296,0.7411628640029582,0.05824353986272934
test,30,Diabetes,No Diabetes,blood_pressure | insulin,target prototype,0.8068789473117921,0.9927124557465088,1.0,0.4927124557465088,0.5833010554856192,0.11889028620474473
test,30,Diabetes,No Diabetes,blood_pressure | insulin,oracle shown CF,0.3322735440000861,0.8707063284595185,1.0,0.37070632845951845,0.0,0.046923751804752833
