source_split,source_instance_id,prediction_label,target_label,main_pair,strategy,edit_L1,target_probability,success,boundary_proxy_abs_p_minus_0.5,copy_delta_error_vs_true_cf_L1,exact_boundary_distance_after_edit
train,97,No Diabetes,Diabetes,glucose | bmi,copy moderate λ=2,0.21896616457538146,0.5071508767321307,1.0,0.007150876732130662,0.11651051037314672,0.000756475779392772
train,97,No Diabetes,Diabetes,glucose | bmi,linear mental model,0.4042433218886703,0.9722942938839947,1.0,0.4722942938839947,0.31462222434952647,0.16125330554231238
train,97,No Diabetes,Diabetes,glucose | bmi,target prototype,0.8348007308703567,0.19470558734839194,0.0,0.30529441265160806,0.49932405592182855,0.031886875436250836
train,97,No Diabetes,Diabetes,glucose | bmi,oracle shown CF,0.3354766749485282,0.9069275516873551,1.0,0.40692755168735506,0.0,0.0740093568758799
train,195,No Diabetes,Diabetes,glucose | bmi,copy moderate λ=2,0.21783568200216397,0.5180181052919359,1.0,0.018018105291935926,0.2715704233272951,0.0012957013898883957
train,195,No Diabetes,Diabetes,glucose | bmi,linear mental model,0.06747841829209145,0.0783953236315833,0.0,0.4216046763684167,0.20867866344502473,0.03916824191189677
train,195,No Diabetes,Diabetes,glucose | bmi,target prototype,0.4767732103343959,0.9757213625341737,1.0,0.47572136253417374,0.20061612859727973,0.15434344995528648
train,195,No Diabetes,Diabetes,glucose | bmi,oracle shown CF,0.2761570817371162,0.561413941037971,1.0,0.06141394103797104,0.0,0.011280526300751936
train,47,No Diabetes,Diabetes,blood_pressure | insulin,copy moderate λ=2,0.07210580437152848,0.5002880186298879,1.0,0.0002880186298879206,0.04191789994756669,1.9599681631898846e-05
train,47,No Diabetes,Diabetes,blood_pressure | insulin,linear mental model,0.0,0.011404673801165832,0.0,0.48859532619883417,0.11041355095775529,0.0695151720684862
train,47,No Diabetes,Diabetes,blood_pressure | insulin,target prototype,0.32943727756677604,0.040749149996300194,0.0,0.4592508500036998,0.262501987478586,0.1062376729315781
train,47,No Diabetes,Diabetes,blood_pressure | insulin,oracle shown CF,0.11041355095775529,0.8554923911009574,1.0,0.35549239110095743,0.0,0.026433882003869924
dev,36,Diabetes,No Diabetes,glucose | bmi,copy moderate λ=2,0.1358124442729439,0.654540193441122,1.0,0.15454019344112202,0.0493899584049882,0.013656236048388282
dev,36,Diabetes,No Diabetes,glucose | bmi,linear mental model,0.7934903237272719,0.999810715373442,1.0,0.499810715373442,0.6996057069442543,0.17062145912082355
dev,36,Diabetes,No Diabetes,glucose | bmi,target prototype,1.0408980009487592,0.9999998252569086,1.0,0.49999982525690856,0.9470133841657417,0.33399682725280166
dev,36,Diabetes,No Diabetes,glucose | bmi,oracle shown CF,0.17817795760909244,0.926908425591608,1.0,0.426908425591608,0.0,0.05284903021907328
train,210,Diabetes,No Diabetes,glucose | bmi,copy moderate λ=2,0.134995904813741,0.5058195331154675,1.0,0.005819533115467457,0.0730843976762311,0.00036981977384348275
train,210,Diabetes,No Diabetes,glucose | bmi,linear mental model,0.18089512419339815,0.7754156801056045,1.0,0.27541568010560447,0.1260080621247279,0.02268478428898117
train,210,Diabetes,No Diabetes,glucose | bmi,target prototype,0.4856538997506935,0.9999884487339139,1.0,0.4999884487339139,0.3534979419247881,0.24895472870995494
train,210,Diabetes,No Diabetes,glucose | bmi,oracle shown CF,0.13215595782590542,0.5751555319384849,1.0,0.0751555319384849,0.0,0.005604683522360043
train,226,No Diabetes,Diabetes,glucose | bmi,copy moderate λ=2,0.21887036007182908,0.5639300533123155,1.0,0.0639300533123155,0.12812488081801193,0.007385379519046054
train,226,No Diabetes,Diabetes,glucose | bmi,linear mental model,0.33725501794869867,0.9571137617484479,1.0,0.45711376174844787,0.0261948888422411,0.09172946329335312
train,226,No Diabetes,Diabetes,glucose | bmi,target prototype,0.6541998712340342,0.7988914966076285,1.0,0.2988914966076285,0.3361152970587372,0.03179900101682849
train,226,No Diabetes,Diabetes,glucose | bmi,oracle shown CF,0.31808457417529695,0.9154366555282071,1.0,0.4154366555282071,0.0,0.0901578615417473
train,58,No Diabetes,Diabetes,glucose | bmi,copy moderate λ=2,0.21860527907738,0.6242088258605394,1.0,0.12420882586053938,0.2043873770408331,0.0159900989730708
train,58,No Diabetes,Diabetes,glucose | bmi,linear mental model,0.01787579407494644,0.017135723067595365,0.0,0.48286427693240463,0.17195323468258925,0.10003136684746472
train,58,No Diabetes,Diabetes,glucose | bmi,target prototype,0.5590881763065872,0.9590314818755745,1.0,0.4590314818755745,0.3692591475490516,0.09593075309495269
train,58,No Diabetes,Diabetes,glucose | bmi,oracle shown CF,0.18982902875753568,0.5986818085717516,1.0,0.09868180857175157,0.0,0.015492506821281282
train,211,Diabetes,No Diabetes,glucose | bmi,copy moderate λ=2,0.1358124442729439,0.9951447200554301,1.0,0.4951447200554301,0.04580315686007564,0.06066272600693112
train,211,Diabetes,No Diabetes,glucose | bmi,linear mental model,1.37515273778493,1.0,1.0,0.5,1.2851434503720616,0.7295914076799254
train,211,Diabetes,No Diabetes,glucose | bmi,target prototype,0.8218567883706814,0.9999999909909011,1.0,0.4999999909909011,0.7318475009578131,0.491151915752182
train,211,Diabetes,No Diabetes,glucose | bmi,oracle shown CF,0.09703373248170741,0.8958569967759704,1.0,0.3958569967759704,0.0,0.023481054958521375
