xai,participant,n_rows,n_participants,mean_boundary,median_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_sparsity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,Glucose_change_prevalence,Glucose_mean_abs_change,Glucose_mean_signed_change,Blood Pressure_change_prevalence,Blood Pressure_mean_abs_change,Blood Pressure_mean_signed_change,Insulin_change_prevalence,Insulin_mean_abs_change,Insulin_mean_signed_change,BMI_change_prevalence,BMI_mean_abs_change,BMI_mean_signed_change,Age_change_prevalence,Age_mean_abs_change,Age_mean_signed_change,reasoning_strategy,within_condition_boundary_rank
attribution,R_1jEfVgE4WoI6fVO,20,1,0.08084215697982303,0.05748553528825,0.12287754559834,0.042035388618517,0.45,0.2716359899235,0.8000000000000002,1.0,0.75,0.45347114592717697,0.65,0.17726577112734998,0.017429008672050002,0.05,0.0195652173913,-0.0195652173913,0.0,0.0,0.0,0.1,0.024805001404900003,0.002072773250900001,0.2,0.04999999999995,-0.04999999999995,,1.0
attribution,R_1vbS8BCLvmrwGHr,20,1,0.0833059017394895,0.06529451980074999,0.12287754559834001,0.03957164385885051,0.55,0.43762151310025,0.66,1.7,0.95,0.5639204219864078,0.25,0.09692229212715,0.03485801734395,0.6,0.13260869565209998,-0.045652173913000006,0.15,0.0425843438093,0.0425843438093,0.7,0.1655061815117,-0.028145967968499996,0.0,0.0,0.0,,2.0
attribution,R_771uyV9h8uinmh3,20,1,0.09431221152441001,0.08392395306115,0.12287754559834001,0.028565334073930006,0.7,0.3281760161405,0.8000000000000002,1.0,0.9,0.6483176643353901,0.3,0.09522190103725,0.027206257439250002,0.5,0.16521739130440002,-0.06739130434780001,0.0,0.0,0.0,0.2,0.06773672379885,0.03600449564485,0.0,0.0,0.0,,3.0
attribution,R_5FwCR03V97gle4L,20,1,0.1043004130152285,0.0750799962295,0.12287754559834,0.0185771325831115,0.55,0.50071722419605,0.5999999999999999,2.0,0.95,0.5574279812038314,0.85,0.24570651249790004,0.046760754973599994,0.45,0.10434782608695499,-0.09565217391304501,0.1,0.004124391652233,0.0032995133217870003,0.6,0.14653849395907498,0.09148847991017499,0.0,0.0,0.0,,4.0
attribution,R_1TZbMIIo6RtFnsb,20,1,0.10487163598795901,0.10732978402730001,0.12287754559834001,0.018005909610381,0.55,0.60771887236655,0.5900000000000001,2.05,0.9,0.5597342614866634,0.45,0.16238734909025002,-0.06291447032814998,0.35,0.09456521739135,-0.02065217391305,0.65,0.16373834859363998,0.11238967252326,0.6,0.1870279572914,0.015595813430799998,0.0,0.0,0.0,,5.0
attribution,R_5F38MGbZJklp6TP,20,1,0.10993345115144151,0.07374200469100001,0.12287754559834003,0.012944094446898502,0.35,0.221136545406425,0.7000000000000001,1.5,0.8,0.41912151672276565,0.3,0.05398741710599,-0.05398741710599,0.7,0.10217391304345999,-0.10217391304345999,0.1,0.015054029530650001,0.015054029530650001,0.4,0.049921185726304995,-0.049921185726304995,0.0,0.0,0.0,,6.0
attribution,R_1QfQiW4jahDRgtB,20,1,0.11398235463229349,0.08460290767305,0.12287754559834001,0.008895190966046502,0.45,0.27719120219054993,0.8000000000000002,1.0,0.7,0.4307051265818499,0.2,0.03953409284135,-0.03953409284135,0.15,0.04239130434785,-0.04239130434785,0.0,0.0,0.0,0.65,0.19526580500135,-0.19526580500135,0.0,0.0,0.0,,7.0
attribution,R_7Xi0pALCUOc3Fh1,20,1,0.1140676607002935,0.0626393414727,0.12287754559834001,0.008809884898046499,0.05,0.0876713345719825,0.8000000000000002,1.0,0.75,0.07156845866664584,0.4,0.0289066485291675,-0.0263560618942425,0.45,0.03695652173918,-0.03695652173918,0.0,0.0,0.0,0.1,0.013700056195534998,-0.0037638381567649997,0.05,0.0081081081081,-0.0081081081081,,8.0
attribution,R_1myAGA2v3gStUIS,20,1,0.11730911282339,0.107388975558,0.12287754559834,0.00556843277495,0.55,0.7316334973467,0.61,1.95,0.85,0.5571407171310587,0.65,0.24740690358775003,-0.014453324264549991,0.55,0.19130434782614997,-0.15000000000005,0.5,0.20178586158540002,0.20178586158540002,0.05,0.020866114077,-0.020866114077,0.2,0.07027027027024998,-0.03243243243245,,9.0
attribution,R_3Qv0QTQ49yAIRot,20,1,0.1174258962841865,0.0775407908473,0.12287754559834001,0.005451649314153502,0.55,0.2908554693741,0.8000000000000002,1.0,0.8,0.4258352257586857,0.05,0.0106274443122,-0.0106274443122,0.75,0.20217391304344998,-0.026086956521750006,0.2,0.07805411201845,0.07805411201845,0.0,0.0,0.0,0.0,0.0,0.0,,10.0
counterfactual,R_1hF6UnZQsvvwBCX,20,1,0.0629738530502995,0.038973306367,0.12287754559834001,0.05990369254804051,0.7,0.36217757311132004,0.54,2.3,0.9,0.5721902199872068,0.7,0.14198265601100252,-0.03910899506889749,0.65,0.09130434782607,-0.07173913043479,0.6,0.07341417140971498,0.05320465231381501,0.35,0.055476397864565,-0.013793621803875,0.0,0.0,0.0,,1.0
counterfactual,R_7QQowZQ43kZcCj7,20,1,0.07734927809822975,0.04462774524595,0.12287754559834001,0.04552826750011025,0.5,0.511297034303885,0.6600000000000001,1.7,0.95,0.5051536208815859,0.5,0.1874681176670775,0.1721645978575225,0.5,0.09239130434779,0.007608695652180003,0.2,0.1194011383321,0.1194011383321,0.4,0.08906350098344999,0.06756026973871,0.1,0.022972972972955,-0.022972972972955,,2.0
