xai,parameter,outcome,n,spearman_rho,p,q_global,q_within_xai
attribution,rho,edit_l1,16,0.83351751242682,6.046523511773143e-05,0.0030735770203921165,0.002418609404709257
counterfactual,rho,confidence_gain,27,0.6863879053486659,7.715358271149323e-05,0.0030735770203921165,0.0026344945889075285
none,rho,target_helpful_shap,19,0.7796459990306284,8.299146794069253e-05,0.0030735770203921165,0.0018879388910730934
none,rho,confidence_gain,19,0.7759200922252252,9.439694455365467e-05,0.0030735770203921165,0.0018879388910730934
counterfactual,rho,success,27,0.6739603260364647,0.00011615453868396523,0.0030735770203921165,0.0026344945889075285
counterfactual,alpha,cf_demo_cosine,19,-0.765947139746306,0.00013172472944537642,0.0030735770203921165,0.0026344945889075285
attribution,rho,target_helpful_shap,16,0.7974735118894439,0.00021525222858818764,0.0036022885830050487,0.003344982255647545
none,rho,success,19,0.7459542112803407,0.0002454094421046913,0.0036022885830050487,0.0020605816161290112
none,rho,edit_l1,19,0.7433184076779467,0.0002652813332277147,0.0036022885830050487,0.0020605816161290112
none,rho,cf_demo_feature_jaccard,19,0.7380533260886646,0.00030908724241935167,0.0036022885830050487,0.0020605816161290112
none,rho,attribution_feature_overlap,19,0.7380533260886646,0.00030908724241935167,0.0036022885830050487,0.0020605816161290112
attribution,rho,cf_demo_feature_jaccard,16,0.7830311483611234,0.0003344982255647545,0.0036022885830050487,0.003344982255647545
attribution,rho,attribution_feature_overlap,16,0.7830311483611234,0.0003344982255647545,0.0036022885830050487,0.003344982255647545
attribution,rho,confidence_gain,16,0.7524185112177241,0.000771249488640379,0.00771249488640379,0.006169995909123032
counterfactual,rho,target_helpful_shap,27,0.6038149242540896,0.00085340870706892,0.007965147932643253,0.012801130606033799
attribution,rho,success,16,0.7384219437588105,0.001088002267657414,0.009520019842002373,0.007253348451049427
counterfactual,alpha,target_centroid_progress,19,-0.681163053837281,0.001323089209339312,0.010896028782794333,0.015877070512071743
none,lambda,boundary_new,9,0.8819620983110005,0.0016545919914574732,0.012191730463370855,0.008272959957287366
none,lambda,boundary_improvement,9,-0.8819620983110005,0.0016545919914574732,0.012191730463370855,0.008272959957287366
attribution,rho,cf_demo_cosine,16,0.7133708439689,0.0019170319229604245,0.013313779382819165,0.010954468131202424
counterfactual,rho,cf_demo_cosine,27,0.5680117957326132,0.0019970669074228747,0.013313779382819165,0.019970669074228748
counterfactual,rho,edit_l1,27,0.5154360304263008,0.0059308200591851245,0.03774158219481443,0.05083560050730107
counterfactual,alpha,cf_demo_feature_jaccard,19,-0.5655483912340649,0.011614750501921777,0.06775271126121037,0.07743167001281184
counterfactual,alpha,attribution_feature_overlap,19,-0.5655483912340649,0.011614750501921777,0.06775271126121037,0.07743167001281184
counterfactual,alpha,success,19,-0.5401896741682681,0.01695874552715729,0.0929302293281902,0.1013784319943893
none,lambda,confidence_gain,9,0.7572401854185358,0.01813218645066975,0.0929302293281902,0.072528745802679
none,lambda,edit_l1,9,0.7572401854185358,0.01813218645066975,0.0929302293281902,0.072528745802679
counterfactual,alpha,confidence_gain,19,-0.5337543590181805,0.01858604586563804,0.0929302293281902,0.1013784319943893
counterfactual,alpha,target_helpful_shap,19,-0.5154487041060046,0.023900594174236147,0.10969817316465967,0.11059869374310437
counterfactual,alpha,boundary_new,19,0.5096679709758438,0.02580636187339102,0.10969817316465967,0.11059869374310437
counterfactual,alpha,boundary_improvement,19,-0.5096679709758438,0.02580636187339102,0.10969817316465967,0.11059869374310437
none,rho,boundary_new,19,0.5095177556388932,0.02585742653166978,0.10969817316465967,0.083933381370325
none,rho,boundary_improvement,19,-0.5095177556388932,0.02585742653166978,0.10969817316465967,0.083933381370325
none,alpha,confidence_gain,10,-0.683349073208448,0.02937668347961375,0.117506733918455,0.083933381370325
none,alpha,cf_demo_cosine,10,-0.683349073208448,0.02937668347961375,0.117506733918455,0.083933381370325
attribution,age_actionable,confidence_gain,16,-0.5411415938540767,0.03041300825504403,0.11827280988072679,0.15206504127522014
none,lambda,success,9,0.6917594043063873,0.03897666737874037,0.14747928197361224,0.10393777967664099
none,rho,cf_demo_cosine,19,0.4685327807794576,0.043036948568179786,0.15855717893539922,0.10640769550957624
none,lambda,cf_demo_feature_jaccard,9,0.6709545975912317,0.04788346297930931,0.16609459393291853,0.10640769550957624
none,lambda,attribution_feature_overlap,9,0.6709545975912317,0.04788346297930931,0.16609459393291853,0.10640769550957624
attribution,age_actionable,cf_demo_feature_jaccard,16,-0.4976312883885929,0.049828378179875565,0.16609459393291853,0.19783253163171388
attribution,age_actionable,attribution_feature_overlap,16,-0.4976312883885929,0.049828378179875565,0.16609459393291853,0.19783253163171388
attribution,alpha,target_helpful_shap,14,-0.5240617748620034,0.05440394619872132,0.17712912715862755,0.19783253163171388
none,alpha,success,10,-0.6148873228105182,0.05850469027316713,0.18532749692397946,0.12316776899614135
attribution,alpha,cf_demo_cosine,14,-0.5148677086363541,0.05956955258270768,0.18532749692397946,0.19856517527569226
attribution,alpha,cf_demo_feature_jaccard,14,-0.4964795761850558,0.07094314484729437,0.2113200059281109,0.2026946995636982
attribution,alpha,attribution_feature_overlap,14,-0.4964795761850558,0.07094314484729437,0.2113200059281109,0.2026946995636982
none,alpha,target_helpful_shap,10,-0.5881992022553729,0.07368145588384303,0.21490424632787553,0.14736291176768607
attribution,age_actionable,cf_demo_cosine,16,-0.45338890295882095,0.0777681469882647,0.22219470568075628,0.20738172530203922
attribution,alpha,target_centroid_progress,14,-0.4780914437337574,0.0837812280717756,0.2345874386009717,0.20945307017943898
attribution,age_actionable,success,16,-0.4371914496377573,0.09038445312401355,0.2481141850463117,0.21266930146826718
none,lambda,target_centroid_progress,9,-0.5879747322073337,0.09587748090369885,0.2581316793561123,0.17967985626801702
none,alpha,cf_demo_feature_jaccard,10,-0.5449492609130662,0.10331591735410979,0.26785608202917355,0.17967985626801702
none,alpha,attribution_feature_overlap,10,-0.5449492609130662,0.10331591735410979,0.26785608202917355,0.17967985626801702
counterfactual,beta,boundary_new,8,0.5773502691896258,0.13397459621556113,0.3349364905389028,0.5024047358083542
counterfactual,beta,boundary_improvement,8,-0.5773502691896258,0.13397459621556113,0.3349364905389028,0.5024047358083542
none,lambda,target_helpful_shap,9,0.5167050676973538,0.1543541306570348,0.37485758255080825,0.25725688442839134
counterfactual,lambda,cf_demo_feature_jaccard,8,0.549857399228215,0.1579756955035549,0.37485758255080825,0.5265856516785163
counterfactual,lambda,attribution_feature_overlap,8,0.549857399228215,0.1579756955035549,0.37485758255080825,0.5265856516785163
attribution,age_actionable,target_centroid_progress,16,-0.36563621206356534,0.16371240438737306,0.37573338711856114,0.3345122381893896
attribution,age_actionable,target_helpful_shap,16,-0.36563621206356534,0.16371240438737306,0.37573338711856114,0.3345122381893896
attribution,rho,boundary_new,16,0.355934505306588,0.17603588068709036,0.39119084597131193,0.3345122381893896
attribution,rho,boundary_improvement,16,-0.355934505306588,0.17603588068709036,0.39119084597131193,0.3345122381893896
attribution,alpha,confidence_gain,14,-0.37695671525161645,0.18398173100416426,0.40246003657160934,0.3345122381893896
counterfactual,rho,target_centroid_progress,27,0.24546108833192423,0.21717035395107967,0.4677515315869408,0.6251852075481596
counterfactual,eta,target_centroid_progress,27,-0.24108230051307297,0.22574555264596075,0.4719535390314538,0.6251852075481596
counterfactual,rho,boundary_new,27,0.23933262489131116,0.22923457610099185,0.4719535390314538,0.6251852075481596
counterfactual,rho,boundary_improvement,27,-0.23933262489131116,0.22923457610099185,0.4719535390314538,0.6251852075481596
counterfactual,lambda,target_helpful_shap,8,0.4536323543632775,0.25892259976927706,0.5253502024304173,0.6598543075282984
counterfactual,eta,boundary_new,27,0.21788191176076885,0.2749392948034577,0.5347214589822009,0.6598543075282984
counterfactual,eta,boundary_improvement,27,-0.21788191176076885,0.2749392948034577,0.5347214589822009,0.6598543075282984
none,age_actionable,boundary_new,19,-0.2618614682831909,0.2788190464692905,0.5347214589822009,0.42895237918352386
none,age_actionable,boundary_improvement,19,0.2618614682831909,0.2788190464692905,0.5347214589822009,0.42895237918352386
attribution,alpha,boundary_new,14,0.29421011922077384,0.3072413596341601,0.5635613372840745,0.5120689327236002
attribution,alpha,boundary_improvement,14,-0.29421011922077384,0.3072413596341601,0.5635613372840745,0.5120689327236002
counterfactual,beta,edit_l1,8,0.4123930494211612,0.30995873550624103,0.5635613372840745,0.688797190013869
