xai,parameter,comparison,outcome,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_condition_parameter
attribution,cognitive_family,weighted examples - feature contribution,modal_subset_share,2,14,0.65,0.3857142857142857,0.26428571428571435,0.1821428571428571,0.33214285714285713,0.0452,1.5791096133817563e-05,1.7447345115191693,1.0,0.3458
attribution,cognitive_family,weighted examples - feature contribution,feature_selection_entropy,2,14,0.5804529836687069,0.7626435485837261,-0.18219056491501917,-0.24976505975347424,-0.10833731323713038,0.0532,0.012498333199036997,-1.494981493968318,1.0,0.3458
counterfactual,age_actionable,1.0 - 0.0,feature_selection_entropy,16,11,0.839468711134649,0.7775885372518849,0.06188017388276412,-0.0004513775269861435,0.12916506127983607,0.105,0.08501450450411875,0.6555098091213535,1.0,0.9871333333333334
counterfactual,cognitive_family,weighted examples - feature contribution,target_helpful_shap,8,19,0.342672840990625,0.24166834277973687,0.10100449821088814,-0.02602318562552228,0.213736567568176,0.1156,0.13711735610314704,0.6760829845722955,1.0,0.6886285714285715
attribution,cognitive_family,weighted examples - feature contribution,attribution_feature_overlap,2,14,0.2,0.3576785714285714,-0.1576785714285714,-0.22500595238095236,-0.08915922619047616,0.1222,0.009416183216174356,-1.3729959555020934,1.0,0.37017500000000003
counterfactual,eta,1.0 - 0.5,attribution_feature_overlap,12,12,0.3349305555555555,0.4137499999999999,-0.07881944444444439,-0.16194791666666655,0.008680555555555526,0.1232,0.09471618888709978,-0.6908937986622359,1.0,0.8034
counterfactual,eta,1.0 - 0.5,cf_demo_feature_jaccard,12,12,0.3349305555555555,0.4137499999999999,-0.07881944444444439,-0.16549479166666667,0.01007291666666672,0.1236,0.09471618888709978,-0.6908937986622359,1.0,0.8034
attribution,cognitive_family,weighted examples - feature contribution,cf_demo_feature_jaccard,2,14,0.2,0.3576785714285714,-0.1576785714285714,-0.22410714285714278,-0.09249107142857148,0.1244,0.009416183216174356,-1.3729959555020934,1.0,0.37017500000000003
counterfactual,cognitive_family,weighted examples - feature contribution,confidence_gain,8,19,0.540289425881016,0.4238147770478961,0.11647464883311992,-0.031245808171420347,0.25645806700512164,0.1372,0.1591331987685066,0.6365951531678813,1.0,0.6886285714285715
none,cognitive_family,weighted examples - feature contribution,training_direction_agreement,9,10,0.911111111111111,0.7775000000000001,0.1336111111111109,-0.04195833333333323,0.3019930555555554,0.153,0.17639702953615943,0.610863022432285,1.0,0.9537666666666667
counterfactual,cognitive_family,weighted examples - feature contribution,success,8,19,0.55625,0.4394736842105263,0.11677631578947373,-0.045731907894736884,0.2746792763157894,0.1724,0.20050925662953784,0.5824062299794172,1.0,0.6886285714285715
attribution,cognitive_family,weighted examples - feature contribution,boundary_improvement,2,14,0.025465289785,0.0033023604321428582,0.022162929352857144,-0.0014119584584017881,0.04533628278114286,0.1828,0.39394598829404764,1.0327297821438035,1.0,0.37017500000000003
attribution,cognitive_family,weighted examples - feature contribution,boundary_new,2,14,0.09741225580999999,0.11957518516285713,-0.022162929352857144,-0.04508341756479464,0.0010998421328214192,0.1858,0.39394598829404764,-1.0327297821438035,1.0,0.37017500000000003
attribution,cognitive_family,weighted examples - feature contribution,edit_l1,2,14,0.2744135960571775,0.4873348880737685,-0.212921292016591,-0.30232224556072435,-0.10728139353765162,0.206,0.001170416825959751,-1.0846136939755902,1.0,0.37017500000000003
counterfactual,age_actionable,1.0 - 0.0,boundary_new,16,11,0.138366651920625,0.11190649848909091,0.026460153431534086,-0.006008937153275571,0.0666674144160341,0.223,0.16636249117127977,0.4757769807413317,1.0,0.9871333333333334
counterfactual,age_actionable,1.0 - 0.0,boundary_improvement,16,11,-0.015489106325625003,0.010971047105909092,-0.026460153431534093,-0.06348427103255681,0.005602466598661208,0.2278,0.16636249117127969,-0.4757769807413318,1.0,0.9871333333333334
attribution,cognitive_family,weighted examples - feature contribution,cf_demo_cosine,2,14,0.19364720033230665,0.42074742709519686,-0.2271002267628902,-0.3790263914852965,-0.07227117461648587,0.2278,0.15399249504990917,-1.052626846196718,1.0,0.37017500000000003
counterfactual,cognitive_family,weighted examples - feature contribution,training_direction_agreement,8,19,0.8027083333333334,0.6662280701754386,0.13648026315789474,-0.05424533991228066,0.3177338267543859,0.2604,0.18974565394050832,0.4671808203366241,1.0,0.6886285714285715
none,cognitive_family,weighted examples - feature contribution,target_helpful_shap,9,10,0.3862641505422222,0.2770592110435,0.10920493949872218,-0.08908320617183602,0.30113820084521237,0.2896,0.3154311207626586,0.457893362418886,1.0,0.9537666666666667
counterfactual,eta,1.0 - 0.5,boundary_new,12,12,0.14309877386541667,0.11636003568124999,0.02673873818416668,-0.012111795444260375,0.07267926504213543,0.3336,0.25223172596204946,0.47001375831267594,1.0,0.90155
counterfactual,eta,1.0 - 0.5,boundary_improvement,12,12,-0.02022122827041667,0.006517509913750001,-0.02673873818416667,-0.0709925947650521,0.01220872595945831,0.334,0.25223172596204957,-0.4700137583126758,1.0,0.90155
counterfactual,cognitive_family,weighted examples - feature contribution,cf_demo_feature_jaccard,8,19,0.39822916666666663,0.35605263157894734,0.04217653508771929,-0.03725137061403505,0.12001123903508776,0.3674,0.339047668542824,0.36647020785516904,1.0,0.6886285714285715
counterfactual,cognitive_family,weighted examples - feature contribution,attribution_feature_overlap,8,19,0.39822916666666663,0.35605263157894734,0.04217653508771929,-0.04248478618421052,0.1205270010964913,0.3688,0.339047668542824,0.36647020785516904,1.0,0.6886285714285715
counterfactual,cognitive_family,weighted examples - feature contribution,cf_demo_cosine,8,19,0.36797382826666003,0.2704070885225524,0.09756673974410762,-0.06921567551998502,0.27579417706091724,0.3708,0.2990098218072158,0.3673813419249051,1.0,0.6886285714285715
none,cognitive_family,weighted examples - feature contribution,cf_demo_cosine,9,10,0.43287116656734415,0.3599654529886919,0.07290571357865222,-0.08793822779431038,0.23003114932834468,0.381,0.4016860762114638,0.3734171580019184,1.0,0.9537666666666667
attribution,cognitive_family,weighted examples - feature contribution,target_centroid_progress,2,14,-2.4209638304163728e-05,0.09220322397727522,-0.09222743361557939,-0.23306657287269725,0.052333642272105754,0.4008,0.5263975216030181,-0.6757888881438358,1.0,0.5278
attribution,cognitive_family,weighted examples - feature contribution,confidence_gain,2,14,0.42050213889175003,0.5431638164815468,-0.12266167758979674,-0.21321926850332112,-0.027354763264579956,0.406,0.024301092907167803,-0.6717029043280138,1.0,0.5278
counterfactual,eta,1.0 - 0.5,target_centroid_progress,12,12,-0.06477147858001846,0.06961550115425803,-0.1343869797342765,-0.44297625346254493,0.09780942992582738,0.4088,0.34450515693179207,-0.383604589211726,1.0,0.90155
attribution,eta,1.0 - 0.0,training_direction_agreement,12,2,0.8000000000000002,0.95,-0.1499999999999998,-0.31255208333333334,-0.001979166666667228,0.4898,0.12669819296262458,-0.6086550701212435,1.0,0.9406
none,cognitive_family,weighted examples - feature contribution,target_centroid_progress,9,10,0.08286353773647129,0.019805585331602628,0.06305795240486867,-0.10919486510263514,0.22813251581712266,0.5186,0.5095483545633823,0.2941461532235199,1.0,0.9537666666666667
