outcome,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,original_wave_difference,new_wave_difference,same_direction_both_waves,interpretation_warning,q
cf_demo_cosine,10,17,0.052773800468786145,0.44434042961023024,-0.3915666291414441,-0.5182529908845626,-0.26532736598614276,0.0001,1.973933200352271e-05,-2.197775962511178,-0.39746155726585186,-0.3824551649231201,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.0007
training_direction_agreement,10,17,0.44708333333333333,0.8593627450980392,-0.4122794117647059,-0.5888523284313726,-0.2583762254901963,0.0001,0.00041976154346189457,-1.9592757719582088,-0.4047619047619048,-0.4223148148148148,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.0007
target_centroid_progress,10,17,-0.18678237560937105,0.14140832883207216,-0.3281907044414432,-0.6312697258996292,-0.10398824349195897,0.0026,0.0461702323386779,-1.1131832594965934,-0.36862189275729174,-0.25125649272750594,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.012133333333333335
cf_demo_feature_jaccard,10,17,0.28941666666666666,0.4150980392156862,-0.12568137254901957,-0.19635906862745098,-0.052249387254901976,0.0038,0.004697959232321406,-1.2935102021766456,-0.12940476190476197,-0.09518518518518515,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.0133
target_helpful_shap,10,17,0.181239061118,0.32474650762117646,-0.14350744650317646,-0.2405983736345051,-0.031026857792458045,0.0124,0.022167486995627452,-1.0344234477439587,-0.16682439758874998,-0.1251294389783333,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.03472
confidence_gain,10,17,0.3564563778885136,0.5182489642395894,-0.16179258635107585,-0.29101212021009115,-0.01549237632898798,0.0221,0.046537081371141445,-0.9385963427251924,-0.19023851454434665,-0.14532614073073025,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.05156666666666667
success,10,17,0.365,0.538235294117647,-0.17323529411764704,-0.31530147058823527,-0.010588235294117784,0.0268,0.047348643396873384,-0.9203367332187401,-0.21607142857142847,-0.14444444444444454,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.0536
modal_subset_share,10,17,0.445,0.31176470588235294,0.13323529411764706,0.02233823529411764,0.23941911764705887,0.0336,0.030012473411841253,0.8916373616227943,0.2142857142857143,0.03333333333333344,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.0588
boundary_improvement,10,17,-0.029969294121999984,0.01014992695147057,-0.04011922107347055,-0.09159712438860367,-0.00012863063513528615,0.0666,0.12309189745094198,-0.7507083458621002,-0.05143210832473211,-0.006088648457222175,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.09534
boundary_new,10,17,0.15284683971699997,0.1127276186435294,0.04011922107347057,0.0006563880238705514,0.08901891393238023,0.0681,0.12309189745094196,0.7507083458621004,0.05143210832473212,0.006088648457222165,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.09534
feature_selection_entropy,10,17,0.7822567905454185,0.8330826695571136,-0.05082587901169511,-0.12408011199745778,0.031168731654050295,0.1919,0.22974899610321528,-0.5275714095402237,-0.0739069727108379,-0.00987710669994113,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.2442363636363636
edit_l1,10,17,0.5804073059667955,0.4880361461775165,0.09237115978927896,-0.14089898438351353,0.37290971317945043,0.4881,0.5241454498359799,0.3177669135118388,0.1247966474315717,0.06351556282645443,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.5694499999999999
three_plus_feature_rate,10,17,0.355,0.31470588235294117,0.040294117647058814,-0.18883823529411764,0.28060294117647067,0.7319,0.7602579261155552,0.13258989501906396,0.026785714285714357,0.1111111111111111,True,Post-hoc: strategy parameter was fitted from these same test responses.,0.7882
n_changed,10,17,2.13,2.1441176470588235,-0.014117647058823568,-0.5905955882352939,0.632360294117647,0.9662,0.96650026022066,-0.019116895937887318,-0.12053571428571441,0.21666666666666634,False,Post-hoc: strategy parameter was fitted from these same test responses.,0.9662
