xai,wave,high_global_relevance_strategy,participants,success,confidence_gain,boundary_improvement,target_centroid_progress,cf_demo_cosine,training_direction_agreement,n_changed
attribution,new_26,0,5,0.49000000000000005,0.5005479288830531,0.006436449229000041,0.07190990821466699,0.3701602952611628,0.78,1.72
attribution,new_26,1,1,0.55,0.50480417800675,-0.0104341026249999,-0.0621224351909866,0.2355561187504529,0.5,1.85
attribution,original_36,0,9,0.5722222222222223,0.5573470671457241,0.009974713086111078,0.11425217383772125,0.4643566500106428,0.8999999999999999,1.5611111111111111
attribution,original_36,1,1,0.45,0.4216302817916211,-0.0143569356749999,-0.034899954016595,0.0121909348453167,0.4833333333333333,2.15
counterfactual,new_26,0,9,0.49444444444444446,0.48753672618997723,0.014847671995555542,0.13069741948455865,0.4414829723351776,0.8639814814814816,2.1333333333333333
counterfactual,new_26,1,3,0.35000000000000003,0.342210585459247,0.008759023538333367,-0.12055907324294729,0.059027807412057494,0.44166666666666665,2.35
counterfactual,original_36,0,8,0.5875,0.5528002320454031,0.004864963776874974,0.1534581018480248,0.4475550690446646,0.8541666666666666,2.15625
counterfactual,original_36,1,7,0.37142857142857144,0.3625617175010564,-0.04656714454785714,-0.21516379090926696,0.050093511778812716,0.44940476190476186,2.0357142857142856
none,new_26,0,8,0.4375,0.409917238939043,0.0004279862831249861,0.021058455929527684,0.30575809087801503,0.715625,1.55
none,original_36,0,10,0.6599999999999999,0.6458549253883495,-0.0268746684395,0.07130675013712498,0.4864022436812653,0.93,2.29
none,original_36,1,1,0.3,0.2776305040521379,-0.0091603667099999,0.0622925441367966,0.1854078651562431,0.95,1.05
