outcome,comparison,full_difference,leave_one_instance_min,leave_one_instance_max,same_sign_fraction
boundary_new,counterfactual - none,-0.009737438332992204,-0.01203196786255259,-0.007469759055350328,1.0
boundary_new,attribution - none,-0.02051920875072369,-0.023992999764248624,-0.018006907054380197,1.0
boundary_new,counterfactual - attribution,0.010781770417731484,0.007973810543128651,0.014863314219968338,1.0
boundary_improvement,counterfactual - none,0.0097374383329922,0.007469759055350362,0.012031967862552582,1.0
boundary_improvement,attribution - none,0.02051920875072368,0.018006907054380194,0.023992999764248603,1.0
boundary_improvement,counterfactual - attribution,-0.010781770417731484,-0.014863314219968326,-0.007973810543128656,1.0
success,counterfactual - none,-0.07329434697855752,-0.08207653637016521,-0.06566122909613215,1.0
success,attribution - none,-0.009868421052631637,-0.02042936288088637,-0.00017313019390585715,1.0
success,counterfactual - attribution,-0.06342592592592589,-0.07565789473684215,-0.053240740740740755,1.0
confidence_gain,counterfactual - none,-0.06880672480875338,-0.07517829912653384,-0.06079577002050979,1.0
confidence_gain,attribution - none,0.0006985978645075441,-0.008286901118645162,0.00759740124728292,0.55
confidence_gain,counterfactual - attribution,-0.06950532267326093,-0.07858980260741644,-0.06276322940489437,1.0
edit_l1,counterfactual - none,-0.02666565110329311,-0.03304649631067291,-0.020152367861509424,1.0
edit_l1,attribution - none,-0.08819361137181092,-0.09438998031609636,-0.0785082348049374,1.0
edit_l1,counterfactual - attribution,0.06152796026851781,0.05643159041366447,0.06710713145600189,1.0
target_centroid_progress,counterfactual - none,-0.029818925657926737,-0.03744710924819939,-0.022310148728825373,1.0
target_centroid_progress,attribution - none,0.030999653041418974,0.020184993087365107,0.03714001517508055,1.0
target_centroid_progress,counterfactual - attribution,-0.06081857869934571,-0.06573714009829795,-0.05656465711528699,1.0
target_helpful_shap,counterfactual - none,-0.05719226508663744,-0.06096483999704533,-0.05244547919526016,1.0
target_helpful_shap,attribution - none,-0.05969443475343261,-0.06702211602634517,-0.053091815379570584,1.0
target_helpful_shap,counterfactual - attribution,0.002502169666795173,-0.002239985537912992,0.00897067809303237,0.75
cf_demo_cosine,counterfactual - none,-0.09518398621761737,-0.10432998366456403,-0.08675830211699853,1.0
cf_demo_cosine,attribution - none,-0.0021398396182179535,-0.01048768168445724,0.006623881334479109,0.7
cf_demo_cosine,counterfactual - attribution,-0.09304414659939941,-0.10245700494088023,-0.0809318859168699,1.0
cf_demo_feature_jaccard,counterfactual - none,0.0065756985055229755,0.00010601552614486476,0.019724017646455372,1.0
cf_demo_feature_jaccard,attribution - none,-0.024004934210526407,-0.033434325946445076,-0.015414358264081274,1.0
cf_demo_feature_jaccard,counterfactual - attribution,0.030580632716049383,0.021724740090968198,0.03884624756335292,1.0
attribution_feature_overlap,counterfactual - none,0.0065756985055229755,0.00010601552614486476,0.019724017646455372,1.0
attribution_feature_overlap,attribution - none,-0.024004934210526407,-0.033434325946445076,-0.015414358264081274,1.0
attribution_feature_overlap,counterfactual - attribution,0.030580632716049383,0.021724740090968198,0.03884624756335292,1.0
