moderator,level_contrast,instances_level_a,instances_level_b,outcome,condition_comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_moderator
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,edit_l1,attribution - none,16,19,-0.018568588113942283,0.10377878392744659,-0.12234737204138887,-0.23066806642832965,-0.004811293333991932,0.0394,0.048630806986651266,-0.6538413003846143,0.9349732620320855,0.8280000000000001
pair_seen_in_training_group,novel_pair - seen_pair,12,8,cf_demo_cosine,counterfactual - attribution,27,16,0.04675672225491564,-0.05592254057536281,0.10267926283027845,0.011668325370687904,0.19664087170933714,0.04,0.037425931617118484,0.6650749385674742,0.9349732620320855,0.6925714285714285
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,target_centroid_progress,attribution - none,16,19,-0.08928541813625733,-0.17540925216833847,0.08612383403208114,0.0032346295859725822,0.16513245719961395,0.0432,0.05531342673549509,0.6854869694109592,0.9349732620320855,0.5628
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,target_centroid_progress,counterfactual - none,27,19,-0.09818241361828053,-0.17540925216833847,0.07722683855005794,0.01017539631858126,0.14971591893801175,0.0472,0.03658224427286039,0.5987802275182252,0.9349732620320855,0.5628
pair_seen_in_training_group,novel_pair - seen_pair,12,8,edit_l1,attribution - none,16,19,-0.09470973509998279,-0.029226356376912937,-0.06548337872306985,-0.1283017357412217,-0.006208763952522917,0.0512,0.05477412426494758,-0.6550357814094192,0.9349732620320855,0.6925714285714285
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,attribution_feature_overlap,attribution - none,16,19,-0.024131944444444445,0.04947786131996659,-0.07360980576441103,-0.15871455983709273,0.00612520885547193,0.0586,0.09336776098582814,-0.5631481593035358,0.9349732620320855,0.7128571428571429
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,cf_demo_feature_jaccard,attribution - none,16,19,-0.024131944444444445,0.04947786131996659,-0.07360980576441103,-0.15344572368421053,0.0077743838763575145,0.0678,0.09336776098582814,-0.5631481593035358,0.9349732620320855,0.7128571428571429
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,edit_l1,counterfactual - none,27,19,-0.08951464258854555,-0.16795801238933739,0.07844336980079183,-0.010999520378069772,0.17277525970412078,0.0934,0.11169232621730822,0.5087775025043095,0.9349732620320855,0.5628
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,boundary_new,attribution - none,16,19,-0.042873526344999996,-0.010017734567894739,-0.03285579177710526,-0.06963821130089966,0.0034536827402672473,0.0938,0.0913717744246053,-0.5622465307863331,0.9349732620320855,0.5628
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,boundary_improvement,attribution - none,16,19,-0.10765838892499999,-0.14051418070210525,0.032855791777105264,-0.005213438910422704,0.06923080203085608,0.0938,0.0913717744246053,0.5622465307863332,0.9349732620320855,0.5628
nearest_same_training_distance_bucket,far_training - near_training,10,10,boundary_improvement,counterfactual - attribution,27,16,-0.05604384535148147,-0.030175999064999993,-0.025867846286481477,-0.05231917700343055,-1.8091935178850506e-05,0.099,0.06622293926633327,-0.523542378311372,0.9349732620320855,0.8743448275862068
nearest_same_training_distance_bucket,far_training - near_training,10,10,boundary_new,counterfactual - attribution,27,16,-0.03308235115851852,-0.058950197445000005,0.025867846286481484,-0.0011024221683894578,0.05235254603520137,0.101,0.06622293926633317,0.5235423783113721,0.9349732620320855,0.8743448275862068
design_cluster_group,cluster_1 - cluster_2,10,10,target_centroid_progress,attribution - none,16,19,-0.03538921033384394,0.023302045220161605,-0.05869125555400555,-0.12399726084152812,0.00886006661339356,0.1076,0.10733578878203,-0.5489135362722591,0.9349732620320855,0.5838
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,target_centroid_progress,attribution - none,16,19,0.13743751654144937,0.20488161087642576,-0.06744409433497639,-0.14921135874010805,0.0138600212788902,0.1096,0.11953969496833056,-0.54665982331918,0.9349732620320855,0.7484347826086956
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,cf_demo_cosine,counterfactual - attribution,27,16,0.0657464760736504,-0.02927248285138806,0.09501895892503846,-0.0020832866114724063,0.20113650433411445,0.1114,0.08090414888295984,0.5093234457428877,0.9349732620320855,0.7128571428571429
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,edit_l1,counterfactual - none,27,19,0.06536715820298554,0.1317000174689679,-0.06633285926598236,-0.14967022479618577,0.013793144861064786,0.1162,0.11865345765796406,-0.4817605351692132,0.9349732620320855,0.7484347826086956
nearest_same_training_distance_bucket,far_training - near_training,10,10,target_centroid_progress,counterfactual - attribution,27,16,-0.010596819687752345,0.03545924238669812,-0.04605606207445047,-0.10380800229853478,0.013289294729207469,0.119,0.1338451130769786,-0.4885928788588991,0.9349732620320855,0.8743448275862068
prediction_confidence_bucket,higher_confidence - lower_confidence,10,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.017098765432098765,0.09281249999999999,-0.07571373456790123,-0.1770769675925926,0.023399305555555392,0.1314,0.173687194983838,-0.46326685333124784,0.9349732620320855,0.7484347826086956
design_cluster_group,cluster_1 - cluster_2,10,10,target_centroid_progress,counterfactual - attribution,27,16,0.010356336603666956,-0.03538921033384394,0.0457455469375109,-0.01677498341362832,0.10447597858062115,0.1356,0.1612601108692764,0.4553752717990411,0.9349732620320855,0.5838
nearest_same_training_distance_bucket,far_training - near_training,10,10,edit_l1,attribution - none,16,19,0.026523157679790632,-0.03211980462996369,0.05864296230975432,-0.01585228289131099,0.13068906261828928,0.1374,0.1302276514132366,0.49397500238260367,0.9349732620320855,0.8743448275862068
