moderator,level,n_instances,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_global,q_within_moderator
pair_seen_in_training_group,seen_pair,8,cf_demo_cosine,counterfactual - attribution,27,16,0.27126171879748673,0.42591342309505326,-0.15465170429756653,-0.29249477368505106,-0.01504371177367037,0.05433333333333333,0.03804451049559738,-0.6137040771968822,-0.15465170429756653,1.0,0.9562962962962963
pair_seen_in_training_group,seen_pair,8,cf_demo_cosine,counterfactual - none,27,19,0.27126171879748673,0.40010245840505454,-0.1288407396075678,-0.248065623470639,-0.012423637403594538,0.07233333333333333,0.05121984307415802,-0.5426400652228708,-0.1288407396075678,1.0,0.9562962962962963
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,cf_demo_cosine,counterfactual - attribution,27,16,0.25329321889888085,0.41285063674580713,-0.15955741784692629,-0.30732746834601615,-0.012202009741001524,0.074,0.04698483295818359,-0.5765809354786153,-0.15955741784692629,1.0,0.8785185185185185
original_boundary_distance_bucket,closer_original_boundary,10,boundary_new,attribution - none,16,19,0.09536805582124999,0.1323151604605263,-0.03694710463927631,-0.07625711651728947,-0.0023367769611340556,0.07633333333333334,0.07047751515575304,-0.5884204844104275,0.03694710463927631,1.0,0.8367741935483871
original_boundary_distance_bucket,closer_original_boundary,10,boundary_improvement,attribution - none,16,19,-0.04775646786125,-0.0847035725005263,0.03694710463927631,0.0010166143440986748,0.07810394446756576,0.07733333333333334,0.07047751515575305,0.5884204844104275,0.03694710463927631,1.0,0.8367741935483871
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,cf_demo_cosine,counterfactual - none,27,19,0.25329321889888085,0.3918546389185663,-0.13856142001968547,-0.2810822155717633,-0.005603494840280344,0.09033333333333333,0.06254615098725255,-0.5197396838225813,-0.13856142001968547,1.0,0.8785185185185185
design_cluster_group,cluster_1,10,confidence_gain,counterfactual - attribution,27,16,0.4555446813939374,0.5484289448631443,-0.09288426346920692,-0.20572208073464462,0.02233917788591544,0.109,0.11247776322303665,-0.5116921950557338,-0.09288426346920692,1.0,0.886923076923077
design_cluster_group,cluster_1,10,success,counterfactual - attribution,27,16,0.4555555555555556,0.5562499999999999,-0.10069444444444431,-0.21112268518518518,0.018067129629629558,0.10966666666666666,0.10140123469975093,-0.5157168520635401,-0.10069444444444431,1.0,0.886923076923077
prediction_confidence_bucket,lower_confidence,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.35999999999999993,0.29156249999999995,0.06843749999999998,-0.010864679783950655,0.1521645447530864,0.113,0.12516235857079522,0.49818126145465735,0.06843749999999998,1.0,0.9017647058823529
target_label_group,No Diabetes,10,cf_demo_cosine,counterfactual - none,27,19,0.31581704997837146,0.45714098864399505,-0.1413239386656236,-0.2947368079144257,-0.00103697019561868,0.11433333333333333,0.07837840641492605,-0.48065431955251914,-0.1413239386656236,1.0,0.9114893617021276
control_empirical_difficulty_group,control_hard,10,cf_demo_cosine,counterfactual - none,27,19,0.303961778426194,0.4207614590061085,-0.11679968057991452,-0.25779341818215995,0.012578388308211605,0.11566666666666667,0.11192076235369916,-0.4613809132247492,-0.11679968057991452,1.0,0.9422222222222222
design_cluster_group,cluster_2,10,boundary_new,attribution - none,16,19,0.08517911478000001,0.11705257725263159,-0.03187346247263158,-0.07023035818999342,0.0012801923277976765,0.11766666666666667,0.10597201283705136,-0.5227586128353765,0.03187346247263158,1.0,0.886923076923077
design_cluster_group,cluster_2,10,boundary_improvement,attribution - none,16,19,-0.028332550989999997,-0.06020601346263157,0.03187346247263157,-0.0020119983336636493,0.07000337906479275,0.119,0.10597201283705146,0.5227586128353764,0.03187346247263157,1.0,0.886923076923077
prediction_confidence_bucket,lower_confidence,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.35999999999999993,0.29156249999999995,0.06843749999999998,-0.008339699074074041,0.15401494984567893,0.12033333333333333,0.12516235857079522,0.49818126145465735,0.06843749999999998,1.0,0.9017647058823529
oracle_pair_uses_age_group,age_pair,3,edit_l1,attribution - none,16,19,0.44493642667484373,0.6371253042818351,-0.19218887760699138,-0.4321868986070536,0.015385304181993046,0.121,0.12457834686959667,-0.5003472743985133,0.19218887760699138,1.0,0.9370731707317074
oracle_pair_uses_age_group,no_age_pair,17,cf_demo_cosine,counterfactual - none,27,19,0.30035738593668504,0.4123555618424226,-0.11199817590573757,-0.23543892734731958,0.004673492801554754,0.12366666666666666,0.08924675913151967,-0.4755144747809218,-0.11199817590573757,1.0,0.9370731707317074
target_label_group,No Diabetes,10,confidence_gain,counterfactual - attribution,27,16,0.5986784320308148,0.7291047103268751,-0.13042627829606024,-0.2772907882378003,0.016476507558245698,0.13066666666666665,0.1069365085057691,-0.4638384478393761,-0.13042627829606024,1.0,0.9114893617021276
exogenous_geometry_k2,geometry_1,15,boundary_improvement,attribution - none,16,19,-0.020261452677083333,-0.050162021590877195,0.029900568913793862,-0.0035817923169265413,0.06979317113999452,0.131,0.12579341800753222,0.49265890032746734,0.029900568913793862,1.0,0.946923076923077
nearest_same_training_distance_bucket,near_training,10,cf_demo_cosine,counterfactual - none,27,19,0.3095392948524879,0.42878113058084305,-0.11924183572835517,-0.2568725314248031,0.031175264117438838,0.14266666666666666,0.134156421996627,-0.4450793665967283,-0.11924183572835517,1.0,0.9381249999999999
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,confidence_gain,counterfactual - attribution,27,16,0.45929854437866924,0.5650601286267052,-0.10576158424803594,-0.2400811326638435,0.033363406980341535,0.14733333333333334,0.13705528482554957,-0.4542363726945282,-0.10576158424803594,1.0,0.8785185185185185
nearest_same_training_distance_bucket,far_training,10,boundary_improvement,counterfactual - attribution,27,16,-0.03273096649222223,-0.009015272931249999,-0.02371569356097223,-0.050441368868446766,0.0009105089268981445,0.14866666666666667,0.09266448525011577,-0.45063180302514333,-0.02371569356097223,1.0,0.9381249999999999
design_cluster_group,cluster_1,10,cf_demo_cosine,counterfactual - none,27,19,0.36051435596303516,0.47988770825322635,-0.11937335229019119,-0.2654319159153927,0.024637025633627983,0.15033333333333335,0.13901032525607926,-0.43808722668284183,-0.11937335229019119,1.0,0.886923076923077
