outcome,family,comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,beneficial_hedges_g,q_global,q_within_family
n_changed,cost,counterfactual - attribution,counterfactual,attribution,27,16,2.1388888888888893,1.665625,0.4732638888888894,0.13525752314814793,0.840046296296296,0.0225,0.014448945297854923,0.7290920750131481,-0.4732638888888894,-0.7290920750131481,0.8713894736842105,0.20249999999999999
response_time,process,counterfactual - attribution,counterfactual,attribution,27,16,20.774077777777777,13.532937500000001,7.241140277777776,1.6818673640046287,14.020216304976854,0.0603,0.02986739435315158,0.5616917557772447,-7.241140277777776,-0.5616917557772447,0.8713894736842105,0.1809
attribution_global_relevance,attribution_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.24134850823045267,0.22720138888888888,0.01414711934156379,0.00024408436213992887,0.027722823431069958,0.0882,0.06064479067009988,0.5421959964607691,0.01414711934156379,0.5421959964607691,0.8713894736842105,0.7008
training_direction_agreement,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.7066666666666666,0.8407894736842105,-0.13412280701754398,-0.2782441114359974,0.012355750487329505,0.0955,0.07543705187184005,-0.5101665819577496,-0.13412280701754398,-0.5101665819577496,0.8713894736842105,0.83265
move_target,performance,counterfactual - attribution,counterfactual,attribution,27,16,0.7481481481481481,0.825,-0.07685185185185184,-0.15555555555555556,-0.0027690972222222934,0.1129,0.064260632196667,-0.5186412797407619,-0.07685185185185184,-0.5186412797407619,0.8713894736842105,0.606825
training_direction_magnitude_index,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.42337917872915287,0.6716355395716656,-0.24825636084251268,-0.5270208483270207,0.032548500524553645,0.1172,0.1020470777870029,-0.4700143687700097,-0.24825636084251268,-0.4700143687700097,0.8713894736842105,0.83265
nearest_target_train_progress,geometry,attribution - none,attribution,none,16,19,0.014815881135623415,0.05823393110949103,-0.04341804997386761,-0.10376073954748884,0.018506292960340835,0.1745,0.18467854680765974,-0.43990858936252686,-0.04341804997386761,-0.43990858936252686,0.8713894736842105,0.8613
cf_demo_cosine,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.29931575215043615,0.3944997383680535,-0.09518398621761737,-0.22311903391076018,0.027357217632035108,0.1773,0.1509465760505067,-0.40671080845183855,-0.09518398621761737,-0.40671080845183855,0.8713894736842105,0.83265
relative_boundary_improvement,performance,attribution - none,attribution,none,16,19,-0.4701419355157696,-0.7868433159088446,0.316701380393075,-0.0984475882883083,0.7442912548820064,0.1775,0.16255810723188427,0.45035294543230847,0.316701380393075,0.45035294543230847,0.8713894736842105,0.606825
response_time,process,counterfactual - none,counterfactual,none,27,19,20.774077777777777,15.608647368421053,5.165430409356723,-1.1809316959064304,12.170576971247565,0.1946,0.14567091237043683,0.3925167784838161,-5.165430409356723,-0.3925167784838161,0.8713894736842105,0.2919
move_target,performance,counterfactual - none,counterfactual,none,27,19,0.7481481481481481,0.8131578947368421,-0.06500974658869396,-0.15673001949317736,0.0246613060428851,0.2027,0.17984401485468468,-0.39580916357924467,-0.06500974658869396,-0.39580916357924467,0.8713894736842105,0.606825
training_direction_agreement,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.7066666666666666,0.8114583333333334,-0.10479166666666684,-0.25931819058641975,0.05162114197530875,0.2273,0.1994827531574385,-0.3845857809726746,-0.10479166666666684,-0.3845857809726746,0.8713894736842105,0.83265
confidence_gain,performance,counterfactual - attribution,counterfactual,attribution,27,16,0.45832578410956126,0.5278311067828222,-0.06950532267326093,-0.17641799721098894,0.04007124576984013,0.2289,0.2190723905081461,-0.38212727636437505,-0.06950532267326093,-0.38212727636437505,0.8713894736842105,0.606825
cf_demo_cosine,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.29931575215043615,0.39235989874983557,-0.09304414659939941,-0.2266001202407695,0.048307853681217615,0.2334,0.20681711919571136,-0.3787301533494254,-0.09304414659939941,-0.3787301533494254,0.8713894736842105,0.83265
training_direction_magnitude_index,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.42337917872915287,0.6291290880690574,-0.20574990933990456,-0.5095223377073226,0.10051110341548727,0.2379,0.20773598315828729,-0.3781072344999827,-0.20574990933990456,-0.3781072344999827,0.8713894736842105,0.83265
attribution_global_relevance,attribution_alignment,attribution - none,attribution,none,16,19,0.22720138888888888,0.23608187134502925,-0.00888048245614037,-0.022982081505847966,0.006162807245979519,0.2473,0.253648074911038,-0.37587117313786345,-0.00888048245614037,-0.37587117313786345,0.8713894736842105,0.7008
confidence_gain,performance,counterfactual - none,counterfactual,none,27,19,0.45832578410956126,0.5271325089183146,-0.06880672480875338,-0.188211664296412,0.05148242636451566,0.2548,0.2870260850797069,-0.33204756661406254,-0.06880672480875338,-0.33204756661406254,0.8713894736842105,0.606825
boundary_improvement,performance,attribution - none,attribution,none,16,19,0.006072726601250002,-0.014446482149473682,0.02051920875072368,-0.008311498285268091,0.053347465716669824,0.265,0.22529142309204286,0.38457549654754736,0.02051920875072368,0.38457549654754736,0.8713894736842105,0.606825
success,performance,counterfactual - none,counterfactual,none,27,19,0.4740740740740741,0.5473684210526316,-0.07329434697855752,-0.2082870370370371,0.04932261208576993,0.2674,0.27850722370250486,-0.33462250517986064,-0.07329434697855752,-0.33462250517986064,0.8713894736842105,0.606825
n_changed,cost,attribution - none,attribution,none,16,19,1.665625,1.9131578947368422,-0.24753289473684226,-0.6740378289473682,0.15778782894736884,0.2679,0.25503471979017167,-0.37176157051309316,0.24753289473684226,0.37176157051309316,0.8713894736842105,0.6890142857142857
boundary_new,performance,attribution - none,attribution,none,16,19,0.11680481899375,0.1373240277444737,-0.02051920875072369,-0.0534090757685481,0.009945186076109799,0.2697,0.22529142309204273,-0.3845754965475475,0.02051920875072369,0.3845754965475475,0.8713894736842105,0.606825
actionability,quality,counterfactual - attribution,counterfactual,attribution,27,16,0.8814814814814814,0.9468749999999999,-0.06539351851851849,-0.16122974537037044,0.018637152777777957,0.2752,0.16365199031878605,-0.36717139078666017,-0.06539351851851849,-0.36717139078666017,0.8713894736842105,0.9917
target_helpful_shap,attribution_alignment,counterfactual - none,counterfactual,none,27,19,0.2715956015088889,0.32878786659552633,-0.05719226508663744,-0.17453403224023592,0.059540611700335894,0.296,0.34673890473235625,-0.3023456680549177,-0.05719226508663744,-0.3023456680549177,0.8713894736842105,0.7008
nearest_target_train_progress,geometry,counterfactual - none,counterfactual,none,27,19,-0.009810912603425212,0.05823393110949103,-0.06804484371291625,-0.17611462857394905,0.021881738123386493,0.3,0.20304184100074862,-0.3378608252412589,-0.06804484371291625,-0.3378608252412589,0.8713894736842105,0.8613
n_changed,cost,counterfactual - none,counterfactual,none,27,19,2.1388888888888893,1.9131578947368422,0.22573099415204712,-0.1880068226120857,0.6482504873294342,0.3013,0.30914183851917615,0.30709052130604747,-0.22573099415204712,-0.30709052130604747,0.8713894736842105,0.6890142857142857
helpful_shap_efficiency,attribution_alignment,counterfactual - none,counterfactual,none,27,19,0.5711463432686872,0.6764461955414256,-0.10529985227273841,-0.28868530354684213,0.08045244665659287,0.3077,0.30063173589692704,-0.3021721146913374,-0.10529985227273841,-0.3021721146913374,0.8713894736842105,0.7008
success,performance,counterfactual - attribution,counterfactual,attribution,27,16,0.4740740740740741,0.5375,-0.06342592592592589,-0.17662326388888888,0.04793402777777784,0.314,0.3016358113235278,-0.32026987835612786,-0.06342592592592589,-0.32026987835612786,0.8713894736842105,0.628
edit_l1,cost,attribution - none,attribution,none,16,19,0.4607197265716947,0.5489133379435056,-0.08819361137181092,-0.26384475231851146,0.06789915963138847,0.3398,0.33257725830494556,-0.3128739774106726,0.08819361137181092,0.3128739774106726,0.8713894736842105,0.6890142857142857
target_demo_endpoint_distance,counterfactual_alignment,attribution - none,attribution,none,16,19,0.7956583446165777,0.8577450303206542,-0.062086685704076494,-0.18313705380695308,0.04910559623778626,0.346,0.32180539640705064,-0.31823507909202126,0.062086685704076494,0.31823507909202126,0.8713894736842105,0.9075500000000001
relative_boundary_improvement,performance,counterfactual - attribution,counterfactual,attribution,27,16,-0.6585372950571214,-0.4701419355157696,-0.18839535954135184,-0.5137707108012431,0.12416974205104034,0.3511,0.2715071362060073,-0.3026028816190822,-0.18839535954135184,-0.3026028816190822,0.8713894736842105,0.6319800000000001
target_helpful_shap,attribution_alignment,attribution - none,attribution,none,16,19,0.2690934318420937,0.32878786659552633,-0.05969443475343261,-0.1809901955878724,0.059740570031574056,0.3616,0.35760260771430485,-0.29841887613003343,-0.05969443475343261,-0.29841887613003343,0.8713894736842105,0.7008
response_time,process,attribution - none,attribution,none,16,19,13.532937500000001,15.608647368421053,-2.075709868421052,-6.26067405838816,1.8435032648026315,0.3621,0.3318703808381306,-0.31275740189213164,2.075709868421052,0.31275740189213164,0.8713894736842105,0.36210000000000003
