participant,xai,wave,slope_type,outcome,slope
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,boundary_new,0.053106438294817086
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,boundary_improvement,-0.052678533900239556
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,success,-0.4335549847620602
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,confidence_gain,-0.4423474858805135
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,edit_l1,-0.07520893756754063
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,target_helpful_shap,-0.3417027896918596
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,cf_demo_cosine,-0.33713184837809096
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,attribution_feature_overlap,-0.07948508053971105
R_12myev0XH9WOz3H,counterfactual,original_36,test_trial,response_time,-6.791500098702552
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,boundary_new,0.014414092048961916
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,boundary_improvement,-0.004638481338026251
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,success,-0.030348848933344223
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,confidence_gain,-0.025310053513478
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,edit_l1,0.04078520266061093
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,target_helpful_shap,0.09033060997465477
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,cf_demo_cosine,0.2060911071820496
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,attribution_feature_overlap,0.05166530235081215
R_156Kmlz4ECsrHQR,attribution,original_36,test_trial,response_time,2.390903996718094
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,boundary_new,-0.0012537161386560651
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,boundary_improvement,0.038375448892383264
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,success,0.19943529299054763
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,confidence_gain,0.21102150345251774
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,edit_l1,0.20071899745332816
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,target_helpful_shap,0.2639123319028369
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,cf_demo_cosine,0.1169445414922811
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,attribution_feature_overlap,-0.05744603548097296
R_1CKtpMfx1ihpfn1,counterfactual,new_26,test_trial,response_time,-2.268771557510623
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,boundary_new,0.0032680595210830337
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,boundary_improvement,0.020765952855583546
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,success,-0.09971764649527382
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,confidence_gain,-0.09923366824593144
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,edit_l1,0.023677822232386483
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,target_helpful_shap,-0.03900928982842794
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,cf_demo_cosine,-0.011488792634742777
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,attribution_feature_overlap,-0.028903665650804003
R_1Fh1UMJw1me9wFr,none,original_36,test_trial,response_time,-2.5649286320517377
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,boundary_new,0.020324672028081105
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,boundary_improvement,0.008407946328408203
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,success,0.06936879756192961
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,confidence_gain,-0.00015971874832495744
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,edit_l1,0.041055250425971405
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,target_helpful_shap,-0.061933405040008715
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,cf_demo_cosine,0.04020282589691485
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,attribution_feature_overlap,0.0303488489333442
R_1KMTwE2iCLDGMxz,none,original_36,test_trial,response_time,-7.380306787958057
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,boundary_new,0.040108649212426316
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,boundary_improvement,-0.015230696426149682
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,success,-0.40320613582871595
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,confidence_gain,-0.37760713941087526
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,edit_l1,-0.011041916965050315
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,target_helpful_shap,-0.187311596180993
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,cf_demo_cosine,-0.2205631537491851
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,attribution_feature_overlap,-0.09321432172384297
R_1QfQiW4jahDRgtB,attribution,original_36,test_trial,response_time,-3.2371079448769895
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,boundary_new,-0.02035595126129912
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,boundary_improvement,0.03137071614397143
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,success,-0.41187723552395716
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,confidence_gain,-0.3676111532627313
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,edit_l1,-0.14351326635317563
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,target_helpful_shap,-0.22740120551280316
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,cf_demo_cosine,-0.19864457473101396
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,attribution_feature_overlap,-0.08634970113177698
R_1ReJOex9cmkqbNa,counterfactual,original_36,test_trial,response_time,2.062819933099101
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,boundary_new,0.005058500737464695
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,boundary_improvement,0.02585146489582183
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,success,-0.20377084283816832
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,confidence_gain,-0.1894141826101536
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,edit_l1,0.04564201793730137
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,target_helpful_shap,-0.13538810143822774
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,cf_demo_cosine,0.036805338392124555
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,attribution_feature_overlap,0.003251662385715397
R_1TZbMIIo6RtFnsb,attribution,original_36,test_trial,response_time,-3.4474081257856732
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,boundary_new,-0.036782351145097696
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,boundary_improvement,0.06341596582557954
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,success,-0.06503324771430907
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,confidence_gain,-0.09342781993515013
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,edit_l1,-0.08539192902974976
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,target_helpful_shap,-0.01811867978211179
R_1WAqgPTkRSdmI9W,counterfactual,original_36,test_trial,cf_demo_cosine,-0.037845679027494555
