participant,xai,boundary_new,boundary_improvement,relative_boundary_improvement,success,confidence_gain,move_target,edit_l1,n_changed,distance_to_minimal_cf,plausibility,subset_plausibility,actionability,target_centroid_progress,target_centroid_efficiency,nearest_target_train_progress,target_helpful_shap,helpful_shap_efficiency,attribution_feature_overlap,attribution_global_relevance,training_direction_agreement,training_direction_magnitude_index,cf_demo_cosine,cf_demo_feature_jaccard,cf_demo_sign_agreement,cf_demo_delta_l1_error,target_demo_endpoint_distance,response_time,training_accuracy,crt,cognitive_family,eta,alpha,rho,lambda,beta,age_actionable,fast_participant,wave,select_Glucose,abs_change_Glucose,signed_change_Glucose,select_Blood Pressure,abs_change_Blood Pressure,signed_change_Blood Pressure,select_Insulin,abs_change_Insulin,signed_change_Insulin,select_BMI,abs_change_BMI,signed_change_BMI,select_Age,abs_change_Age,signed_change_Age,feature_selection_entropy,modal_subset_share,global_sign_consistency
R_12myev0XH9WOz3H,counterfactual,0.192296298345,-0.06941875275,-1.5813197457862695,0.5,0.47275545949042497,0.55,0.47003834928214994,2.05,0.599301009105,0.949303186095,0.91604110095,1.0,-0.12122025068201166,-0.4287203058777028,0.06678938254744993,0.300030270105,0.5523095576705412,0.35,0.2589444444444445,0.5,0.0,0.16062990172768635,0.35,0.4,0.599232152045115,0.9031256704871801,21.2769,0.6666666667,4,weighted examples,1.0,,0.0,2.0,1.0,1,0,original_36,0.8,0.24400612140815,-0.24400612140815,0.1,0.011956521739150003,-0.011956521739150003,0.4,0.05134867607029999,-0.05134867607029999,0.75,0.16272703006454997,-0.16272703006454997,0.0,0.0,0.0,0.7463968584165345,0.3,1.0
R_156Kmlz4ECsrHQR,attribution,0.13723448126999999,-0.014356935674999998,-0.6837060254302918,0.45,0.4216302817916211,0.7,0.58493397835033,2.15,0.7192043692800001,0.92058183706,0.873899541555,0.75,-0.03489995401659503,-0.11273606786869869,-0.13422403828729498,0.14063583309849997,0.22408095718436027,0.2875,0.23993055555555554,0.4833333333333333,-0.009206760473563136,0.012190934845316758,0.2875,0.35,0.713989874546185,0.8175518368507433,14.69595,0.3333333333,4,feature contribution,0.5,1.0,0.0,,,1,0,original_36,0.1,0.0267811596667,0.0267811596667,0.3,0.06413043478264999,0.06413043478264999,0.9,0.26952899447323,0.25406252577737,0.6,0.15692582186015,0.13219359370615,0.25,0.0675675675676,0.0405405405406,0.8626728787753463,0.4,0.8604651162790697
R_1CKtpMfx1ihpfn1,counterfactual,0.133175823615,-0.010298278019999997,-0.7891922990214222,0.3,0.27882441097189997,0.5,1.003207106964855,3.5,1.0946449062899999,0.8934388559600001,0.799629212705,1.0,-0.47670264429357845,-0.45974991277234156,-0.5659624658372799,0.19996426409499998,0.0968639171112698,0.4458333333333333,0.2484444444444444,0.325,-0.3026349160642816,-0.06799095136734498,0.4458333333333333,0.4,1.12484052932977,1.327667947685725,16.14805,0.6666666667,0,feature contribution,0.5,1.0,0.0,,,0,0,new_26,0.75,0.180241455534705,0.062064274783104986,0.95,0.25108695652168,-0.09239130434777999,0.95,0.33160108883941997,0.15713932194998,0.85,0.24027760606905,0.039621803877550016,0.0,0.0,0.0,0.8585127331225678,0.55,0.08571428571428572
R_1Fh1UMJw1me9wFr,none,0.07778198983,0.045095555765,-0.22292221004597707,0.75,0.6638408663149999,0.95,0.5558097662431549,2.5,0.5068000674250001,0.940482777995,0.87638455165,1.0,0.3510848694129633,0.5470036500777714,0.12409562606947995,0.3897004226,0.8327853164331402,0.5333333333333333,0.24894444444444447,1.0,1.0,0.6864531701003483,0.5333333333333333,0.95,0.42567772769577994,0.6758200126638584,14.0261,0.4166666667,3,feature contribution,0.0,0.0,0.1,,,0,0,original_36,0.55,0.172164597857605,0.019979595306804983,0.6,0.11521739130424999,-0.04565217391295,0.75,0.1360018147323,0.095788996123,0.6,0.132425962349,-0.035226187131199994,0.0,0.0,0.0,0.8570170880947721,0.2,0.12
R_1KMTwE2iCLDGMxz,none,0.09768065142,0.025196894175000005,-0.3332847496214854,0.3,0.32913644372929995,0.65,0.27739721835414,1.0,0.44748173305000005,0.94846737238,0.8813319528099999,1.0,0.13307791710761996,0.4695014520961897,0.04526023936886496,0.246777054105,1.191165285889633,0.3,0.25516666666666665,1.0,1.0,0.42242876988953154,0.3,0.6,0.366136405694695,0.72313988398824,20.19215,0.8333333333,4,weighted examples,0.0,,0.05,2.0,0.0,0,0,original_36,0.35,0.08034347900015001,-0.03528311511644999,0.05,0.009782608695649998,-0.009782608695649998,0.15,0.04650251587889,0.04650251587889,0.45,0.14076861477945,0.056279151447050015,0.0,0.0,0.0,0.7214449276437429,0.45,0.0
R_1QfQiW4jahDRgtB,attribution,0.11398235462999999,0.008895190964999999,-0.37633511665378855,0.45,0.4273004105785,0.7,0.2771912021906,1.0,0.49728003748500005,0.9485299032200001,0.8948925244150001,1.0,-0.10229683659214665,-0.48828390255748333,0.060489074602974965,0.162892837045,0.5904335404646629,0.175,0.227,0.5,0.0,0.10861048008323937,0.175,0.25,0.48783760201796494,0.8675272137837051,12.76825,0.6666666667,4,weighted examples,1.0,,0.05,6.0,0.0,0,0,original_36,0.2,0.039534092841400005,-0.039534092841400005,0.15,0.04239130434785,-0.04239130434785,0.0,0.0,0.0,0.65,0.19526580500135,-0.19526580500135,0.0,0.0,0.0,0.5507913469859276,0.65,1.0
R_1ReJOex9cmkqbNa,counterfactual,0.15568106100499998,-0.03280351541,-0.9909189323968846,0.55,0.5729207139879333,0.8,0.39800774942043,1.6,0.47615828320500003,0.9475814022850001,0.89050576371,1.0,-0.010445114271386646,-0.06614033416095647,0.08819565615833995,0.28765315589,0.6685087827636462,0.24583333333333335,0.2683055555555556,1.025,1.0,0.3372249480144893,0.24583333333333335,0.65,0.514728603523195,0.8488619120459517,29.5785,0.6666666667,3,weighted examples,1.0,,0.1,2.0,1.0,0,0,original_36,0.85,0.18491753103225,-0.11010032307444999,0.2,0.058695652173900006,0.015217391304399999,0.3,0.059906788748679995,-0.059906788748679995,0.25,0.0944877774656,0.018101432986800007,0.0,0.0,0.0,0.7455242200161087,0.4,0.125
R_1TZbMIIo6RtFnsb,attribution,0.10487163599,0.018005909605000002,-0.4854580317418848,0.55,0.54798260324,0.9,0.6077188723666549,2.05,0.64939776086,0.93934016107,0.8760183354600001,1.0,0.3019068265813266,0.4559244560767821,0.168187516809865,0.35227751387999995,0.7691282835085385,0.4708333333333333,0.26230555555555557,1.0,1.0,0.6275028516428516,0.4708333333333333,0.95,0.51917548520729,0.7531547763475334,13.232249999999999,0.8333333333,3,feature contribution,0.5,0.0,0.15,,,0,0,original_36,0.45,0.162387349090455,-0.062914470328245,0.35,0.09456521739115001,-0.02065217391295,0.65,0.16373834859365,0.11238967252325001,0.6,0.18702795729139998,0.015595813430800003,0.0,0.0,0.0,0.8440583680391422,0.25,0.12195121951219512
R_1WAqgPTkRSdmI9W,counterfactual,0.1676205446,-0.044742999005,-1.4868597069430916,0.85,0.8085433565547501,0.9,0.740634686009905,2.5,0.748632491495,0.9209095735049999,0.86760925717,0.25,0.2628870390699549,0.2760359868083352,0.10797666068889497,0.52769530341,0.7541557484157414,0.2625,0.199375,0.95,0.9,0.2521560253121759,0.2625,0.55,0.8259319912438201,1.092239137775,18.20375,0.8333333333,4,feature contribution,0.0,1.0,0.2,,,1,0,original_36,0.05,0.006801564359804999,0.006801564359804999,0.5,0.16847826086945,-0.16847826086945,1.0,0.2719005196734,0.0706302070445,0.2,0.04345434110705,-0.015454341107049996,0.75,0.2500000000002,-0.07702702702719999,0.8263098923624617,0.35,0.36
R_1bN1m4OYZIanJ5K,none,0.08665006946500001,0.036227476130000005,-0.44355683698044623,0.6,0.615700488065,0.9,0.3274691878822,1.55,0.40718798717500004,0.9530937231750001,0.8866569255550001,1.0,0.23913576903378328,0.6280174954449206,0.07277471694740498,0.23206177198,0.7625278169155167,0.4291666666666667,0.22180555555555553,1.0,1.0,0.5635411213183967,0.4291666666666667,0.75,0.332929268325865,0.6866646869836968,9.70075,0.75,4,feature contribution,0.0,0.0,0.0,,,0,0,new_26,0.05,0.013178030947150001,0.013178030947150001,0.7,0.15326086956515,-0.06413043478255001,0.4,0.04701806483545,0.005774148313050001,0.4,0.11401222253445001,0.06635276763145001,0.0,0.0,0.0,0.7262751190979447,0.3,0.0967741935483871
