participant,domain,xai,phase,original label,target label,trial number,instance id,training response,training correct (0/1),participant training accuracy,response time (seconds),log(time),participant median time,attribute values before and after,explanation,sparsity,dist user CF from orig,user CF label,successful CF,distance to closest minimal counterfactual,confidence for target label original,confidence for target label user CF,delta confidence of target label,user CF increase target label confidence?,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,delta confidence/change amount,confidence of counterfactual - 50%,close to boundary old,distance to boundary,CRT-2 score (0-4),successful counterfactual (continuous),actionability (0/1),plausibility,abs dist original to boundary,abs dist user CF to boundary,sign dist user CF to boundary,boundary dist change (user - original),plausibility (subset),participant level correct direction change,% x4_changed > 50,cognitive model v0.1 family,explanation reliance (η),global relevance reliance (α),additive change margin (ρ),exemplar locality (λ),remembered-change reliance (β),age treated as actionable (0/1),mean participant CF dist to orig,Norm(proximity),x_1_changed_in_training_cf_direction,x_2_changed_in_training_cf_direction,x_3_changed_in_training_cf_direction,x_4_changed_in_training_cf_direction,x_5_changed_in_training_cf_direction,dist to nearest training instance (L1 normalized),nearest training instance id,opposite-class centroid distance original (L1 normalized),opposite-class centroid distance new (L1 normalized),opposite-class centroid distance change (new - original),same-class centroid distance original (L1 normalized),participant mean boundary distance new,participant median boundary distance new,participant SD boundary distance new,participant IQR boundary distance new,instance mean boundary distance new,instance median boundary distance new,instance SD boundary distance new,instance testing row count,x_1_absolute_change,x_1_signed_change_toward_training_cf_direction,x_2_absolute_change,x_2_signed_change_toward_training_cf_direction,x_3_absolute_change,x_3_signed_change_toward_training_cf_direction,x_4_absolute_change,x_4_signed_change_toward_training_cf_direction,x_5_absolute_change,x_5_signed_change_toward_training_cf_direction,median response time < 10,x_1 Glucose SHAP change Δφ,x_2 Blood Pressure SHAP change Δφ,x_3 Insulin SHAP change Δφ,x_4 BMI SHAP change Δφ,x_5 Age SHAP change Δφ,x_1 Glucose target-helpful SHAP change,x_2 Blood Pressure target-helpful SHAP change,x_3 Insulin target-helpful SHAP change,x_4 BMI target-helpful SHAP change,x_5 Age target-helpful SHAP change,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change,mean(proximity),sign dist user CF + original dist
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,1,160101,Diabetes,1,0.9166666667,17.189,2.8442696443,6.6945,"""Glucose"" - 149(0.633735759225)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563)
""Age"" - 42(0.567567567568)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.099982996,,,-0.119415566,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,2,160105,No Diabetes,1,0.9166666667,12.547,2.5294815932,6.6945,"""Glucose"" - 116(0.353171229383)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 87(0.105171987132)
""BMI"" - 22.1(0.0597077830851)
""Age"" - 37(0.432432432432)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.1360312872,,,0.1756111267,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,3,160100,Diabetes,1,0.9166666667,5.834,1.7637028714,6.6945,"""Glucose"" - 186(0.948308110865)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353)
""Age"" - 37(0.432432432432)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.212548886,,,-0.151025569,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,4,160102,Diabetes,1,0.9166666667,6.094,1.8073046806,6.6945,"""Glucose"" - 187(0.956810066315)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 304(0.552668481399)
""BMI"" - 37.7(0.607614498455)
""Age"" - 41(0.540540540541)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.314572352,,,-0.100098342,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,5,160104,No Diabetes,1,0.9166666667,5.934,1.7806985219,6.6945,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 73(0.0763012455663)
""BMI"" - 25.9(0.193172239393)
""Age"" - 36(0.405405405405)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.2805645298,,,0.1000983422,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,6,160103,No Diabetes,1,0.9166666667,5.715,1.7430942972,6.6945,"""Glucose"" - 99(0.208637986737)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 64(0.0577414831312)
""BMI"" - 19.3(0)
""Age"" - 30(0.243243243243)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.1020234654,,,0.2950266929,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,7,160110,Diabetes,0,0.9166666667,12.963,2.5620991456,6.6945,"""Glucose"" - 180(0.897296378167)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 70(0.0701146580879)
""BMI"" - 34(0.477662264681)
""Age"" - 26(0.135135135135)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.152173913,0.0999958756,,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,8,160109,No Diabetes,1,0.9166666667,5.007,1.6108369333,6.6945,"""Glucose"" - 191(0.990817888114)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 130(0.193846407655)
""BMI"" - 30.9(0.368783366114)
""Age"" - 34(0.351351351351)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.1,0.0999958756,,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,9,160106,Diabetes,1,0.9166666667,6.912,1.9332590315,6.6945,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 200(0.338200115483)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,-0.1,-0.099995876,,,0.406395875,
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,10,160108,Diabetes,1,0.9166666667,8.127,2.0951918518,6.6945,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 180(0.296956198961)
""BMI"" - 35(0.512784490025)
""Age"" - 43(0.594594594595)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,-0.1,-0.099995876,,,0.406395875,
