metric,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_comparison
three_plus_feature_rate,counterfactual - attribution,27,16,0.32962962962962966,0.121875,0.20775462962962965,0.0829832175925926,0.33622974537037037,0.0108,0.003170762733815566,0.828156133088057,0.33984000000000003,0.11466666666666665
select_Insulin,counterfactual - attribution,27,16,0.5092592592592592,0.275,0.23425925925925917,0.06272858796296298,0.4054484953703703,0.0161,0.014734865335246186,0.8092727686170634,0.33984000000000003,0.11466666666666665
n_changed,counterfactual - attribution,27,16,2.1388888888888893,1.665625,0.4732638888888894,0.12395254629629614,0.8376967592592596,0.0215,0.014448945297854923,0.7290920750131481,0.33984000000000003,0.11466666666666665
abs_change_per_changed_feature,counterfactual - none,27,19,0.23905501195013504,0.283306629030839,-0.04425161708070394,-0.08395833907727854,-0.0032689891825425426,0.0318,0.040250460170165626,-0.6509629941343241,0.33984000000000003,0.5088
feature_selection_entropy,counterfactual - attribution,27,16,0.8142582699231524,0.7398697279693487,0.07438854195380373,0.007169243646284466,0.14711554976257343,0.0354,0.05378418745134133,0.6759833875563255,0.33984000000000003,0.1416
three_plus_feature_rate,attribution - none,16,19,0.121875,0.27368421052631575,-0.15180921052631574,-0.30312500000000003,-0.004765624999999965,0.0733,0.06322405908966472,-0.6076118967422759,0.5293714285714286,0.60544
abs_change_per_changed_feature,counterfactual - attribution,27,16,0.23905501195013504,0.2759283708023226,-0.03687335885218754,-0.0757682594369352,0.004877650143272642,0.0772,0.09677532766511074,-0.5561441523443734,0.5293714285714286,0.24704
one_feature_rate,counterfactual - attribution,27,16,0.30740740740740735,0.471875,-0.16446759259259264,-0.3857667824074074,0.051744791666666685,0.1316,0.16340945104876053,-0.47843436533770894,0.5985777777777778,0.3509333333333333
select_Insulin,attribution - none,16,19,0.275,0.41578947368421054,-0.14078947368421052,-0.32832236842105267,0.05493421052631581,0.1467,0.17829500046514532,-0.453221225700849,0.5985777777777778,0.60544
one_feature_rate,counterfactual - none,27,19,0.30740740740740735,0.4447368421052632,-0.13732943469785586,-0.3265180311890837,0.05653021442495121,0.1711,0.17884241562873715,-0.4170849326031409,0.5985777777777778,0.7507555555555556
feature_selection_entropy,counterfactual - none,27,19,0.8142582699231524,0.7694720241615375,0.04478624576161494,-0.020028256520544394,0.11146169713625362,0.1794,0.21801988903122838,0.3923462105896671,0.5985777777777778,0.7507555555555556
two_feature_rate,attribution - none,16,19,0.40625,0.2815789473684211,0.1246710526315789,-0.04902138157894734,0.30940789473684216,0.191,0.19649637538313341,0.46137810670332696,0.5985777777777778,0.60544
select_BMI,counterfactual - attribution,27,16,0.5111111111111111,0.39999999999999997,0.1111111111111111,-0.040856481481481355,0.2685243055555555,0.1984,0.1871546732457237,0.41537896360297777,0.5985777777777778,0.4001454545454546
