slope_type,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_slope_type
test_trial,boundary_improvement,attribution - none,16,19,0.011735546396311441,0.030401098392697213,-0.01866555199638577,-0.037520032395992886,7.787212025685229e-06,0.0635,0.05857831829128394,-0.6419466228489922,0.9290357142857142,0.897
nearest_training_distance,target_centroid_progress,attribution - none,16,19,-0.029517493543981872,-0.06296196862923836,0.03344447508525649,0.0008786138184426988,0.06727208456819894,0.0695,0.06314757300536654,0.6407358649808091,0.9290357142857142,0.9069230769230769
original_boundary_distance,attribution_feature_overlap,counterfactual - none,27,19,-0.00814229048414488,0.028815117991621907,-0.036957408475766784,-0.07715424163186467,0.00683437913272177,0.107,0.11306118851714281,-0.49322828365722854,0.9290357142857142,0.7630434782608695
original_boundary_distance,cf_demo_feature_jaccard,counterfactual - none,27,19,-0.00814229048414488,0.028815117991621907,-0.036957408475766784,-0.07895324914708456,0.005137308870136216,0.1085,0.11306118851714281,-0.49322828365722854,0.9290357142857142,0.7630434782608695
original_boundary_distance,edit_l1,attribution - none,16,19,0.05031826964349485,0.09888824522376977,-0.04856997558027491,-0.10777675904964301,0.006443526533459794,0.12675,0.12254747096572816,-0.4985085918075524,0.9290357142857142,0.7630434782608695
test_trial,boundary_improvement,counterfactual - attribution,27,16,0.028965720266372626,0.011735546396311441,0.017230173870061184,-0.0013650878912993447,0.03717081117577569,0.14675,0.09564300313365351,0.4764781107921635,0.9290357142857142,0.897
test_trial,boundary_new,attribution - none,16,19,0.017669240436025295,0.003157441980641497,0.014511798455383798,-0.004253275743067057,0.03360009871644027,0.163,0.1670004461025203,0.46312876142591347,0.9290357142857142,0.897
test_trial,edit_l1,attribution - none,16,19,-0.0036950219320347156,0.04201987753271074,-0.045714899464745454,-0.10827464751273048,0.010826034042676654,0.177,0.15926968411762718,-0.45618758392668923,0.9290357142857142,0.897
original_boundary_distance,confidence_gain,counterfactual - attribution,27,16,-0.08869955995229493,-0.12167826964879058,0.03297870969649565,-0.016326179687328173,0.07636255206732359,0.183,0.19015014696207005,0.40082340325369326,0.9290357142857142,0.7630434782608695
nearest_training_distance,edit_l1,attribution - none,16,19,-0.027376801700366105,-0.052435447987130075,0.02505864628676397,-0.0055157012344308875,0.05782609123916487,0.18575,0.16660877466492252,0.448516805061365,0.9290357142857142,0.9069230769230769
original_boundary_distance,boundary_new,counterfactual - attribution,27,16,0.02651083935684331,0.04121659768382561,-0.014705758326982298,-0.035595489841579606,0.007487967263958706,0.18725,0.21798725268720553,-0.4208570067410133,0.9290357142857142,0.7630434782608695
original_boundary_distance,boundary_improvement,counterfactual - attribution,27,16,0.1002100742730967,0.0855043159461144,0.014705758326982288,-0.007501338670815678,0.037342745511512704,0.1885,0.21798725268720584,0.4208570067410129,0.9290357142857142,0.7630434782608695
nearest_training_distance,cf_demo_cosine,attribution - none,16,19,-0.03467844826792814,-0.08618619466049274,0.0515077463925646,-0.02115233693418851,0.12261363665925917,0.191,0.19571607338885372,0.445754693379412,0.9290357142857142,0.9069230769230769
test_trial,boundary_new,counterfactual - attribution,27,16,0.003769347140630991,0.017669240436025295,-0.013899893295394304,-0.033686363181277344,0.0031533650411306783,0.1925,0.16658559896349706,-0.41234294731402776,0.9290357142857142,0.897
original_boundary_distance,edit_l1,counterfactual - none,27,19,0.056321981150436455,0.09888824522376977,-0.04256626407333331,-0.11278150115098798,0.018306812036128866,0.21125,0.21712053288726701,-0.3802878393671979,0.9290357142857142,0.7630434782608695
nearest_training_distance,edit_l1,counterfactual - none,27,19,-0.028170606680632267,-0.052435447987130075,0.02426484130649781,-0.015389213350718243,0.06081277079636357,0.2295,0.227807912792585,0.3608348019086355,0.9290357142857142,0.9069230769230769
test_trial,confidence_gain,counterfactual - attribution,27,16,-0.10599978274741735,-0.16700229501039093,0.06100251226297358,-0.024132299436237466,0.15204342575445431,0.236,0.19266528206991437,0.3621031640564282,0.9290357142857142,0.897
nearest_training_distance,boundary_new,counterfactual - attribution,27,16,-0.02104577717691089,-0.028891298947908622,0.007845521770997732,-0.004301183084216527,0.01969802844875042,0.241,0.21830488308578608,0.3690174493116337,0.9290357142857142,0.9069230769230769
