participant,xai,mean_boundary_distance,median_boundary_distance,success_rate,mean_proximity,direction_rate,feature_change_prevalence_1,feature_change_prevalence_2,feature_change_prevalence_3,feature_change_prevalence_4,feature_change_prevalence_5,mean_signed_change_x1,mean_signed_change_x2,mean_signed_change_x3,mean_signed_change_x4,mean_signed_change_x5,PC1,PC2,PC3,kmeans_k2,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,agglomerative_k2
R_12myev0XH9WOz3H,counterfactual,0.19229629834389503,0.1733093069405,0.5,0.4700383492818849,0.55,0.8,0.1,0.4,0.75,0.0,-0.24400612140793002,-0.01195652173914,-0.051348676070269994,-0.162727030064585,0.0,-1.696470830333152,-5.431858072379757,-1.1874808452416459,1,3,1,5,5,1,1,1
R_156Kmlz4ECsrHQR,attribution,0.13723448126859847,0.12373661602649999,0.45,0.5849339783501499,0.7,0.1,0.3,0.9,0.6,0.25,0.026781159666749998,0.0641304347826,0.25406252577735,0.13219359370616,0.040540540540500006,-4.635571764148273,8.123751650862816,3.9935861705227658,1,1,2,2,6,2,3,1
R_1CKtpMfx1ihpfn1,counterfactual,0.13317582361709,0.1160902598525,0.3,1.0032071069651498,0.5,0.75,0.95,0.95,0.85,0.0,0.06206427478325003,-0.09239130434777001,0.1571393219499,0.03962180387756,0.0,-6.373076480611488,-0.11696372005309061,10.131252014839847,1,3,2,2,6,5,8,1
R_1Fh1UMJw1me9wFr,none,0.07778198983411069,0.054773843276,0.75,0.5558097662434,0.95,0.55,0.6,0.75,0.6,0.0,0.019979595306900005,-0.045652173913055,0.095788996123025,-0.035226187131179997,0.0,2.7176209788835113,0.5418317133905951,-0.8447515044587484,1,1,3,1,1,4,2,1
R_1KMTwE2iCLDGMxz,none,0.09768065141497499,0.0762299100097,0.3,0.2773972183542,0.65,0.35,0.05,0.15,0.45,0.0,-0.035283115116499994,-0.00978260869565,0.046502515878899996,0.05627915144705,0.0,0.12001458184303423,1.0939761640394277,-0.08911095079865053,1,1,2,2,1,2,2,1
R_1QfQiW4jahDRgtB,attribution,0.11398235463229353,0.08460290767305,0.45,0.27719120219055,0.7,0.2,0.15,0.0,0.65,0.0,-0.039534092841349996,-0.04239130434785,0.0,-0.19526580500135,0.0,-2.2116791489226038,-3.4548685751008485,0.14058042048467037,1,3,1,5,5,1,4,1
R_1ReJOex9cmkqbNa,counterfactual,0.15568106101107398,0.153330769284,0.55,0.398007749420105,0.8,0.85,0.2,0.3,0.3,0.0,-0.11010032307430503,0.01521739130435,-0.0599067887487,0.0181014329868,0.0,2.1559366521834606,-0.8015155151619491,-0.9699512698056424,1,1,3,1,1,2,2,1
R_1TZbMIIo6RtFnsb,attribution,0.10487163598795898,0.10732978402730001,0.55,0.60771887236655,0.9,0.45,0.35,0.65,0.6,0.0,-0.06291447032815,-0.02065217391305,0.11238967252326,0.015595813430799998,0.0,2.975394489983247,0.9727569578147378,-1.2978530691620755,1,1,3,1,1,4,2,1
R_1WAqgPTkRSdmI9W,counterfactual,0.167620544597059,0.16237739849650001,0.85,0.7406346860094,0.9,0.05,0.5,1.0,0.2,0.75,0.0068015643598,-0.16847826086955,0.07063020704445,-0.01545434110705,-0.07702702702695,5.596768969065344,-3.493757647441063,9.688113225585903,1,1,3,4,4,6,5,1
R_1bN1m4OYZIanJ5K,none,0.08665006946398249,0.0895406823073,0.6,0.3274691878822001,0.9,0.05,0.7,0.4,0.4,0.0,0.0131780309471,-0.06413043478258,0.005774148313169999,0.06635276763145001,0.0,0.7028881558144481,0.3823536847790322,0.4083960056801052,1,1,3,2,1,2,5,1
R_1hF6UnZQsvvwBCX,counterfactual,0.0629738530502995,0.038973306367,0.7,0.36217757311132004,0.9,0.7,0.65,0.6,0.35,0.0,-0.03910899506889749,-0.07173913043479001,0.05320465231381501,-0.013793621803875,0.0,-1.7290831423578086,-0.7410150072747977,0.7436343163208172,1,3,2,2,6,2,4,1
R_1ihbKBZG0EAXF8D,counterfactual,0.0922853252636035,0.079905040173,0.55,0.47910472836859996,0.95,0.55,0.3,0.55,0.65,0.0,0.00765175990477,-0.018478260869550005,0.06660892518354998,0.011905310480550005,0.0,2.114228497303224,1.330354834795891,-1.523747628033659,1,1,3,1,1,4,2,1
R_1jEfVgE4WoI6fVO,attribution,0.08084215697982301,0.05748553528825,0.45,0.27163598992349997,0.75,0.65,0.05,0.0,0.1,0.2,0.01742900867204999,-0.0195652173913,0.0,0.002072773250900001,-0.049999999999949994,-0.710951063310537,0.6188252072331679,1.1338872765403825,1,1,2,2,6,2,4,1
R_1myAGA2v3gStUIS,attribution,0.11730911282339,0.107388975558,0.55,0.7316334973467,0.85,0.65,0.55,0.5,0.05,0.2,-0.014453324264549991,-0.15000000000005,0.20178586158540002,-0.020866114077,-0.03243243243245,3.0149357437559416,0.7683047172256663,0.33937411685097235,1,1,3,1,1,4,5,1
R_1vbS8BCLvmrwGHr,attribution,0.0833059017394895,0.06529451980074999,0.55,0.43762151310025,0.95,0.25,0.6,0.15,0.7,0.0,0.03485801734395,-0.045652173913000006,0.0425843438093,-0.028145967968500007,0.0,1.4683559829192983,0.2644279580244005,-1.2088606709248322,1,1,3,1,1,4,5,1
R_1yltjaSsgo0dVO7,none,0.31042295554071,0.30797309919750004,1.0,1.43504643465295,1.0,0.95,0.4,0.75,1.0,0.2,0.07694269682027498,-0.05760869565214999,0.19126866287218997,0.10323124473175001,0.03648648648645,12.88159267638204,5.07418624544693,-6.852755256139008,1,1,3,1,2,7,7,1
