attribute,condition,changed rows,correct direction rate,95% CI low,95% CI high,95% CI half-width
Glucose,none,194,0.8092783505154639,0.7539937514059195,0.8645629496250083,0.05528459910954442
Glucose,attribution,139,0.8201438848920863,0.7562945612719012,0.8839932085122715,0.06384932362018517
Glucose,counterfactual,281,0.7437722419928826,0.6927292665458,0.7948152174399652,0.051042975447082625
Blood Pressure,none,150,0.82,0.7585172024058761,0.8814827975941238,0.061482797594123846
Blood Pressure,attribution,161,0.8322981366459627,0.7745880749537889,0.8900081983381366,0.057710061692173804
Blood Pressure,counterfactual,259,0.7297297297297297,0.6756435449768509,0.7838159144826086,0.0540861847528788
Insulin,none,158,0.6455696202531646,0.570982379679553,0.7201568608267761,0.07458724057361153
Insulin,attribution,88,0.5795454545454546,0.4764076189601266,0.6826832901307825,0.10313783558532798
Insulin,counterfactual,275,0.6363636363636364,0.5795076687626824,0.6932196039645903,0.05685596760095391
BMI,none,199,0.7386934673366834,0.6776503370738451,0.7997365975995216,0.061043130262838224
BMI,attribution,128,0.7734375,0.7009175137411594,0.8459574862588406,0.07251998625884054
BMI,counterfactual,277,0.6931407942238267,0.6388287067703969,0.7474528816772564,0.054312087453429775
Age,none,26,0.7307692307692307,0.5602702175215458,0.9012682440169156,0.1704990132476849
Age,attribution,17,0.9411764705882353,0.8293247470420676,1.0,0.1118517235461677
Age,counterfactual,64,0.71875,0.608595744698911,0.828904255301089,0.11015425530108904
