instance id,case,original label,target label,participants,nearest training distance,rows,mean boundary distance new,median boundary distance new,mean boundary distance change (new - original),success rate,target-directed rate,mean normalized edit distance,mean target confidence gain,counterfactual mean boundary distance new,counterfactual success rate,counterfactual target-directed rate,attribution mean boundary distance new,attribution success rate,attribution target-directed rate,none mean boundary distance new,none success rate,none target-directed rate,CF minus attribution boundary distance,CF minus none boundary distance
160218,11,No Diabetes,Diabetes,62,0.39013056546099995,62,0.08813268265635714,0.0710283615512,0.006310458965191389,0.5161290322580645,0.7258064516129032,0.3850183480357602,0.499024388437167,0.09470843300749704,0.4444444444444444,0.6666666666666666,0.09094864792525251,0.5625,0.6875,0.07641685614145706,0.5789473684210527,0.8421052631578947,0.0037597850822445322,0.01829157686603998
160217,18,No Diabetes,Diabetes,62,0.7180944146840008,62,0.0922639201574384,0.0740965137763,0.06150322909940202,0.2903225806451613,0.4838709677419355,0.49288455062701286,0.19029652008303496,0.095782541947027,0.2222222222222222,0.4074074074074074,0.07239907242794812,0.3125,0.625,0.1039920662286463,0.3684210526315789,0.47368421052631576,0.02338346951907888,-0.008209524281619307
160200,9,Diabetes,No Diabetes,62,0.3369080806389999,62,0.09420452673149951,0.070352003463,-0.0038082556391311273,0.6451612903225806,0.9516129032258065,0.4849710898601,0.6599342855946675,0.08660198525536629,0.5555555555555556,0.9259259259259259,0.0798158874922375,0.8125,1.0,0.11712488713590946,0.631578947368421,0.9473684210526315,0.006786097763128787,-0.03052290188054317
160219,14,No Diabetes,Diabetes,62,0.65580261215,62,0.0946829800059356,0.0858376106076,0.05581941406297596,0.3064516129032258,0.5645161290322581,0.4994852515444823,0.29746073264946216,0.0996435554711246,0.25925925925925924,0.5555555555555556,0.07700614872762751,0.25,0.5,0.10251949384239999,0.42105263157894735,0.631578947368421,0.022637406743497096,-0.00287593837127538
160216,17,No Diabetes,Diabetes,62,0.4998821522890004,62,0.10064197515384259,0.06809790922549999,0.06582069638685306,0.5645161290322581,0.8387096774193549,0.4471231818196082,0.5355677207672468,0.09869900425579628,0.5925925925925926,0.8518518518518519,0.06608081225632437,0.4375,0.8125,0.13250717623845001,0.631578947368421,0.8421052631578947,0.03261819199947191,-0.033808171982653734
160215,16,No Diabetes,Diabetes,62,0.7308702369100003,62,0.10122950155586694,0.08308154025985001,0.040552710359430616,0.41935483870967744,0.5483870967741935,0.48512493959518543,0.3475348681033872,0.09930933782441297,0.48148148148148145,0.5555555555555556,0.10030591234145624,0.3125,0.625,0.10473591461796315,0.42105263157894735,0.47368421052631576,-0.0009965745170432694,-0.005426576793550186
160211,3,Diabetes,No Diabetes,62,0.4190518464439998,62,0.10175278793527903,0.0775711113584,0.027035715616709092,0.532258064516129,0.8548387096774194,0.6174055415382466,0.5367002942731196,0.11770404302705889,0.5185185185185185,0.8518518518518519,0.08342030954630626,0.5625,0.875,0.09452309144820052,0.5263157894736842,0.8421052631578947,0.03428373348075263,0.02318095157885837
160213,7,Diabetes,No Diabetes,62,0.4882968501699994,62,0.10625377273805356,0.0890795951385,0.01333667980063256,0.6290322580645161,0.8225806451612904,0.5867942901271775,0.6213419086319967,0.1043155020370396,0.5185185185185185,0.7037037037037037,0.09461597454444375,0.6875,0.875,0.11880840852884998,0.7368421052631579,0.9473684210526315,0.009699527492595852,-0.014492906491810384
160214,4,Diabetes,No Diabetes,62,0.523303889129,62,0.11246800749118206,0.0909241077131,0.06229621067562079,0.7741935483870968,0.9193548387096774,0.3207396134193226,0.7618106322867748,0.09442593774994851,0.7777777777777778,0.8518518518518519,0.10161123626536502,0.875,1.0,0.14724928236625473,0.6842105263157895,0.9473684210526315,-0.007185298515416508,-0.05282334461630622
160210,5,Diabetes,No Diabetes,62,0.3303079043939999,62,0.1187173820860016,0.0895380310355,0.052254100073418554,0.5,0.7258064516129032,0.5336450958086918,0.5004639143015839,0.11483401495582665,0.5185185185185185,0.7037037037037037,0.08466152589676126,0.4375,0.8125,0.15291446690403154,0.5263157894736842,0.6842105263157895,0.030172489059065388,-0.03808045194820489
