participant,xai,mean boundary distance new,sd boundary distance new,mean boundary distance when correct,mean boundary distance when wrong,success rate,target-directed rate,mean normalized edit distance,mean changed features,rho,model family,within-condition boundary group
R_1jEfVgE4WoI6fVO,attribution,0.08084215697982303,0.06542176841190228,0.06279243283581777,0.09561011309764546,0.45,0.75,0.2716359899235,1.0,0.0,weighted examples,closer-boundary group
R_1vbS8BCLvmrwGHr,attribution,0.0833059017394895,0.06701957716128083,0.09778832621557272,0.06560516071316555,0.55,0.95,0.43762151310025,1.7,0.1,feature contribution,closer-boundary group
R_771uyV9h8uinmh3,attribution,0.09431221152441001,0.06346770693851074,0.08192435481615713,0.12321721051033334,0.7,0.9,0.3281760161405,1.0,0.1,feature contribution,closer-boundary group
R_5F38MGbZJklp6TP,attribution,0.10993345115144151,0.12749879605265993,0.07223662661164286,0.13023174128825613,0.35,0.8,0.221136545406425,1.5,0.05,feature contribution,closer-boundary group
R_1QfQiW4jahDRgtB,attribution,0.11398235463229349,0.0852030453088818,0.07004702234349999,0.14992944468676092,0.45,0.7,0.27719120219054993,1.0,0.05,weighted examples,closer-boundary group
R_7Xi0pALCUOc3Fh1,attribution,0.1140676607002935,0.12960680303259361,0.0275780244697,0.11861974681769316,0.05,0.75,0.0876713345719825,1.0,0.0,feature contribution,closer-boundary group
R_3Qv0QTQ49yAIRot,attribution,0.1174258962841865,0.14879188345321878,0.06720208665886726,0.17881055249291,0.55,0.8,0.2908554693741,1.0,0.1,feature contribution,closer-boundary group
R_5FwCR03V97gle4L,attribution,0.1043004130152285,0.10429946685285096,0.1206330282014091,0.08433832778767446,0.55,0.95,0.50071722419605,2.0,0.1,feature contribution,farther/spread group
R_1TZbMIIo6RtFnsb,attribution,0.10487163598795901,0.06426631368699844,0.11811201449655545,0.08868895114411889,0.55,0.9,0.60771887236655,2.05,0.15,feature contribution,farther/spread group
R_1myAGA2v3gStUIS,attribution,0.11730911282339,0.08537160427133984,0.11946072796732729,0.11467936098080002,0.55,0.85,0.7316334973467,1.95,0.25,feature contribution,farther/spread group
R_61hCu6g2tcWoJo7,attribution,0.12059938158617503,0.07697564391879101,0.13926721794126,0.06459587252092,0.75,0.9,0.591116907958395,1.85,0.15,feature contribution,farther/spread group
R_3P1hvuTtye32D8u,attribution,0.13331164822481498,0.09315897272229329,0.08921563087825454,0.1872067805372778,0.55,0.7,0.4775898316011499,1.85,0.05,feature contribution,farther/spread group
R_156Kmlz4ECsrHQR,attribution,0.1372344812685985,0.08989673918978926,0.10828905883781888,0.16091709962105455,0.45,0.7,0.58493397835015,2.15,0.0,feature contribution,farther/spread group
R_60Vourt3Kluat5u,attribution,0.14014930495598,0.08527761765007573,0.12421905855760003,0.15607955135436002,0.5,0.75,0.5925646133135001,2.2,0.15,feature contribution,farther/spread group
