participant,xai,rows,participants,mean nearest training distance,mean boundary distance new,sd boundary distance new,success rate,target-directed rate,mean normalized edit distance,mean changed features,distance-boundary correlation
R_5cuU4NG0z68t0DW,counterfactual,10,1,0.32222333884219995,0.06679038797033301,0.06856087650368484,0.7,0.9,0.4720630084103,2.3,0.5685064092452591
R_1hF6UnZQsvvwBCX,counterfactual,10,1,0.3222233388422,0.069593614902039,0.09163235319156839,0.7,1.0,0.34140724094514,1.9,-0.06826737720918605
R_6ltB5PoMoQ8gakx,counterfactual,10,1,0.32222333884219995,0.07438267427831,0.056561177525376254,0.4,1.0,0.7376135114690199,2.8,-0.30534192524979853
R_6P1wxXrNHroPf9i,counterfactual,10,1,0.3222233388422,0.07915495117542001,0.09267025520469642,0.4,0.8,0.48448044404240004,2.0,-0.1467827334469845
R_6dM4kpwwdD2TmDK,none,10,1,0.32222333884219995,0.0821779211087182,0.09581017943723247,0.7,1.0,0.5002178849775001,2.4,0.1040633298751942
R_1bN1m4OYZIanJ5K,none,10,1,0.32222333884219995,0.08353207971550299,0.0657931345739913,0.6,1.0,0.3244122405646,1.4,0.08665087085273482
R_7QQowZQ43kZcCj7,counterfactual,10,1,0.32222333884219995,0.08720949216228999,0.07907652273868362,0.6,0.9,0.6036443408597,1.8,-0.8532894744090456
R_6upJU84Jtf3Faf5,none,10,1,0.3222233388422,0.08888639423239,0.0380097843354076,0.5,0.9,0.46136689736219993,2.1,-0.251259956321582
R_5tEkygPCjFKzz2T,counterfactual,10,1,0.3222233388422,0.09286953666257,0.06930507310197256,0.4,0.8,0.37989688653302994,2.6,-0.4173707362478031
R_1ihbKBZG0EAXF8D,counterfactual,10,1,0.3222233388422,0.092993475817348,0.0699279144116387,0.5,1.0,0.5138323752263,2.1,0.0739801222547979
R_3CPW0AmZIfESbrT,counterfactual,10,1,0.32222333884220006,0.098294179298115,0.10086046161502837,0.6,0.9,0.5007889573733999,1.8,-0.5700488211871599
R_5faag2PFpaGyI6V,counterfactual,10,1,0.3222233388422,0.09945750153592,0.09450432340480683,0.7,0.9,0.8593809306729,3.6,-0.1323857163823163
R_5CNiW73tAkn7Lk5,none,10,1,0.3222233388422,0.10011430194760802,0.06363702832422707,0.4,1.0,0.6314001728324999,2.0,0.18142864243967996
R_1jEfVgE4WoI6fVO,attribution,10,1,0.3222233388422,0.100540378171686,0.08487862462697643,0.5,0.8,0.2698460354756,1.0,-0.5600197928877705
R_1Fh1UMJw1me9wFr,none,10,1,0.3222233388422,0.10146027951415,0.06800738563795374,0.7,0.9,0.6045566166873001,2.6,0.6276901997927595
R_5gkJQXcSCkjRBmu,none,10,1,0.3222233388422,0.10472275790958,0.06386568558383411,0.8,1.0,0.7772532637990001,2.4,0.5809500968750548
R_6R9HRjc1dD88yPW,none,10,1,0.32222333884219995,0.1063822249265379,0.12255581132279075,0.3,0.9,0.1623881609103,1.0,-0.5100584032916059
R_1vbS8BCLvmrwGHr,attribution,10,1,0.3222233388422,0.109061498065844,0.07360084505193333,0.6,1.0,0.42454043338999997,1.6,0.2085865364109141
