participant,xai,feature,Diabetes,No Diabetes,Diabetes minus No Diabetes threshold,expected target ordering
R_156Kmlz4ECsrHQR,attribution,BMI,0.57,0.53,0.039999999999999925,1
R_156Kmlz4ECsrHQR,attribution,Blood Pressure,0.6739130435,0.6739130435,0.0,0
R_156Kmlz4ECsrHQR,attribution,Insulin,0.44543429845000004,0.5196733482,-0.07423904974999995,0
R_1Fh1UMJw1me9wFr,none,BMI,0.42,0.26,0.15999999999999998,1
R_1Fh1UMJw1me9wFr,none,Blood Pressure,0.4891304348,0.3913043478,0.097826087,1
R_1Fh1UMJw1me9wFr,none,Glucose,0.5742220711,0.327665363,0.24655670810000002,1
R_1Fh1UMJw1me9wFr,none,Insulin,0.3691330529,0.17528664519999998,0.1938464077,1
R_1KMTwE2iCLDGMxz,none,BMI,0.65,0.31999999999999995,0.33000000000000007,1
R_1KMTwE2iCLDGMxz,none,Glucose,0.46794762795,0.497704472,-0.02975684405000001,0
R_1QfQiW4jahDRgtB,attribution,BMI,0.17,0.165,0.0050000000000000044,1
R_1QfQiW4jahDRgtB,attribution,Glucose,0.2894065635,0.3914300289,-0.10202346540000001,0
R_1ReJOex9cmkqbNa,counterfactual,BMI,0.86,0.245,0.615,1
R_1ReJOex9cmkqbNa,counterfactual,Glucose,0.48070056115,0.1661282095,0.31457235164999997,1
R_1TZbMIIo6RtFnsb,attribution,BMI,0.6,0.28,0.31999999999999995,1
R_1TZbMIIo6RtFnsb,attribution,Blood Pressure,0.67391304345,0.347826087,0.32608695645,1
R_1TZbMIIo6RtFnsb,attribution,Glucose,0.497704472,0.2426458085,0.2550586635,1
R_1TZbMIIo6RtFnsb,attribution,Insulin,0.48977150875,0.2103439743,0.27942753445,1
R_1WAqgPTkRSdmI9W,counterfactual,Age,0.4324324324,0.2297297297,0.20270270270000001,1
R_1WAqgPTkRSdmI9W,counterfactual,Insulin,0.48977150869999997,0.0701146581,0.41965685059999996,1
R_1bN1m4OYZIanJ5K,none,BMI,0.485,0.35,0.135,1
R_1bN1m4OYZIanJ5K,none,Blood Pressure,0.5543478261,0.3586956522,0.1956521739,1
R_1bN1m4OYZIanJ5K,none,Insulin,0.2804586324,0.2000329951,0.08042563730000002,1
R_1hF6UnZQsvvwBCX,counterfactual,BMI,0.29,0.345,-0.05499999999999999,0
R_1hF6UnZQsvvwBCX,counterfactual,Blood Pressure,0.39130434785,0.4130434783,-0.021739130449999977,0
R_1hF6UnZQsvvwBCX,counterfactual,Glucose,0.4126849175,0.3871790512,0.025505866300000013,1
R_1hF6UnZQsvvwBCX,counterfactual,Insulin,0.25468118455,0.18456652645,0.0701146581,1
R_1ihbKBZG0EAXF8D,counterfactual,BMI,0.53,0.34,0.19,1
R_1ihbKBZG0EAXF8D,counterfactual,Blood Pressure,0.6195652173999999,0.3586956522,0.26086956519999993,1
R_1ihbKBZG0EAXF8D,counterfactual,Glucose,0.5827240265,0.39568100660000005,0.18704301989999994,1
R_1ihbKBZG0EAXF8D,counterfactual,Insulin,0.4000659903,0.2051884847,0.1948775056,1
R_1jEfVgE4WoI6fVO,attribution,Glucose,0.7272572692,0.41268491755000003,0.31457235164999997,1
R_1myAGA2v3gStUIS,attribution,Glucose,0.6337357592,0.19588505355,0.43785070565000006,1
R_1vbS8BCLvmrwGHr,attribution,BMI,0.41,0.21,0.19999999999999998,1
R_1vbS8BCLvmrwGHr,attribution,Blood Pressure,0.5869565217,0.347826087,0.2391304347,1
R_1vbS8BCLvmrwGHr,attribution,Glucose,0.6167318483,0.53596327155,0.08076857675000004,1
R_1yltjaSsgo0dVO7,none,BMI,0.9099999999999999,0.07,0.8399999999999999,1
R_1yltjaSsgo0dVO7,none,Blood Pressure,0.5869565217,0.2391304348,0.3478260869,1
R_1yltjaSsgo0dVO7,none,Glucose,0.9483081109,0.1236184322,0.8246896787,1
R_1yltjaSsgo0dVO7,none,Insulin,0.6145343561500001,0.0907366163,0.5237977398500001,1
R_3CPW0AmZIfESbrT,counterfactual,BMI,0.5,0.395,0.10499999999999998,1
R_3CPW0AmZIfESbrT,counterfactual,Blood Pressure,0.6304347826,0.38043478259999997,0.25,1
R_3ENoszlL5q7JglI,none,BMI,0.35,0.14,0.20999999999999996,1
R_3ENoszlL5q7JglI,none,Blood Pressure,0.53260869565,0.6521739129999999,-0.11956521734999992,0
R_3ENoszlL5q7JglI,none,Glucose,0.8377826900500001,0.2001360313,0.63764665875,1
R_3ENoszlL5q7JglI,none,Insulin,0.6702136435,0.1402293162,0.5299843273,1
R_3FXVdEYgbSYjhFQ,counterfactual,BMI,0.56,0.275,0.28500000000000003,1
R_3FXVdEYgbSYjhFQ,counterfactual,Blood Pressure,0.7391304348,0.17391304345,0.5652173913499999,1
R_3FXVdEYgbSYjhFQ,counterfactual,Glucose,0.84203366775,0.1321203877,0.70991328005,1
R_3FXVdEYgbSYjhFQ,counterfactual,Insulin,0.4340922214,0.2000329951,0.23405922629999998,1
R_3P1hvuTtye32D8u,attribution,BMI,0.21000000000000002,0.36,-0.14999999999999997,0
R_3P1hvuTtye32D8u,attribution,Blood Pressure,0.2391304348,0.3260869565,-0.08695652170000001,0
R_3P1hvuTtye32D8u,attribution,Glucose,0.2596497194,0.3021594967,-0.042509777299999996,0
R_3P5ccqI6lMcShWV,attribution,BMI,0.56,0.275,0.28500000000000003,1
R_3P5ccqI6lMcShWV,attribution,Blood Pressure,0.7173913043,0.28260869565,0.43478260864999996,1
R_3P5ccqI6lMcShWV,attribution,Glucose,0.6847474919000001,0.27665363035,0.40809386155000005,1
R_3P5ccqI6lMcShWV,attribution,Insulin,0.21549946385,0.10929637880000001,0.10620308504999998,1
R_3Qv0QTQ49yAIRot,attribution,Blood Pressure,0.7391304347500001,0.2826086957,0.45652173905000004,1
R_3pZ1OVs4kWTC7GB,none,Blood Pressure,0.66304347825,0.3913043478,0.27173913045,1
R_3pZ1OVs4kWTC7GB,none,Glucose,0.6167318483,0.7697670464499999,-0.15303519814999988,0
R_3pZ1OVs4kWTC7GB,none,Insulin,0.2907696115,0.08970551845,0.20106409305000003,1
