participant,xai,feature,target label,n edits,estimated threshold,endpoint MAD,endpoint IQR,endpoint range,original range
R_6upJU84Jtf3Faf5,none,BMI,No Diabetes,4,0.365,0.035,0.08250000000000002,0.12,0.10536667599999994
R_6upJU84Jtf3Faf5,none,Age,No Diabetes,6,0.39189189189999996,0.06756756759999999,0.10810810814999999,0.40540540540000003,0.43243243240000007
R_6upJU84Jtf3Faf5,none,Glucose,No Diabetes,5,0.3786770957,0.06801564360000001,0.263560619,0.3230743071,0.5271212379
R_6upJU84Jtf3Faf5,none,Blood Pressure,No Diabetes,2,0.38043478259999997,0.010869565200000014,0.010869565199999986,0.02173913040000003,0.3913043478
R_6upJU84Jtf3Faf5,none,BMI,Diabetes,3,0.45,0.11000000000000004,0.21999999999999997,0.44000000000000006,0.3125878056
R_6upJU84Jtf3Faf5,none,Glucose,Diabetes,4,0.34041829619999997,0.021254888650000026,0.04888624387500001,0.11902737629999999,0.17003910900000002
R_6upJU84Jtf3Faf5,none,Insulin,Diabetes,7,0.2804586324,0.028870741499999963,0.04021281860000003,0.07836344139999998,0.12373174950000002
R_6upJU84Jtf3Faf5,none,Age,Diabetes,5,0.3783783784,0.10810810809999999,0.13513513509999997,0.3243243243,0.1621621622
R_5ASRudX4WuOaMDD,counterfactual,Glucose,No Diabetes,6,0.21288896445,0.021254888649999998,0.04676075502500002,0.07651759910000003,0.5271212379
R_5ASRudX4WuOaMDD,counterfactual,Insulin,No Diabetes,7,0.0907366163,0.0288707416,0.05980367895000001,0.129918337,0.18972201600000002
R_5ASRudX4WuOaMDD,counterfactual,BMI,No Diabetes,8,0.255,0.020000000000000004,0.04000000000000001,0.07999999999999999,0.33366114069999997
R_5ASRudX4WuOaMDD,counterfactual,Blood Pressure,No Diabetes,2,0.53260869565,0.01086956524999999,0.010869565250000046,0.02173913049999998,0.17391304350000003
R_5ASRudX4WuOaMDD,counterfactual,Blood Pressure,Diabetes,5,0.7391304348,0.043478260899999954,0.043478260899999954,0.4565217391,0.2608695652
R_5ASRudX4WuOaMDD,counterfactual,BMI,Diabetes,6,0.455,0.10499999999999998,0.20500000000000002,0.31999999999999995,0.5303456027
R_5ASRudX4WuOaMDD,counterfactual,Glucose,Diabetes,4,0.3956810066,0.0722666213,0.18066655330000003,0.3145723516,0.5781329706
R_5ASRudX4WuOaMDD,counterfactual,Insulin,Diabetes,3,0.4598696692,0.04949269989999999,0.14435370784999996,0.2887074157,0.0721768539
R_3Qv0QTQ49yAIRot,attribution,Blood Pressure,No Diabetes,9,0.2826086957,0.06521739129999998,0.08695652169999996,0.3043478261,0.3913043478
R_3Qv0QTQ49yAIRot,attribution,Blood Pressure,Diabetes,6,0.7391304347500001,0.07608695655000003,0.12500000005000012,0.21739130439999999,0.30434782610000005
R_3Qv0QTQ49yAIRot,attribution,Insulin,Diabetes,4,0.4495586901,0.005155489550000003,0.022684154075000018,0.09073661630000002,0.0989853996
R_7PsMTUjq8Wa1btt,counterfactual,Blood Pressure,No Diabetes,10,0.34782608695,0.021739130449999977,0.043478260899999954,0.1521739131,0.4347826087
R_7PsMTUjq8Wa1btt,counterfactual,BMI,No Diabetes,5,0.33,0.04999999999999999,0.08000000000000002,0.21,0.36878336609999995
R_7PsMTUjq8Wa1btt,counterfactual,Age,No Diabetes,6,0.47297297299999996,0.01351351349999999,0.02702702699999998,0.02702702699999998,0.40540540540000003
R_7PsMTUjq8Wa1btt,counterfactual,Glucose,No Diabetes,6,0.3701751403,0.08501955449999998,0.14453324265,0.20404693079999997,0.5271212379
R_7PsMTUjq8Wa1btt,counterfactual,Glucose,Diabetes,7,0.5572181602,0.0,0.029756844100000013,0.09352151000000003,0.3655840844
R_7PsMTUjq8Wa1btt,counterfactual,Blood Pressure,Diabetes,4,0.46739130435,0.021739130450000005,0.04347826092500007,0.10869565219999994,0.17391304350000003
R_7PsMTUjq8Wa1btt,counterfactual,Insulin,Diabetes,8,0.40006599025,0.04949269984999999,0.10104759547500003,0.21034397430000001,0.3031427864
R_61hCu6g2tcWoJo7,attribution,BMI,No Diabetes,9,0.2,0.03,0.03999999999999998,0.16000000000000003,0.48819893219999994
R_61hCu6g2tcWoJo7,attribution,Glucose,No Diabetes,4,0.46369665019999995,0.02550586634999999,0.06376466587500002,0.1530351981,0.3570821289
R_61hCu6g2tcWoJo7,attribution,Insulin,No Diabetes,5,0.1092963788,0.030932937400000013,0.030932937400000013,0.08042563719999998,0.17528664530000002
R_61hCu6g2tcWoJo7,attribution,Blood Pressure,No Diabetes,3,0.3260869565,0.0,0.10869565219999994,0.21739130439999993,0.3913043478
R_61hCu6g2tcWoJo7,attribution,Glucose,Diabetes,7,0.83778269,0.025505866399999966,0.051011732700000034,0.16153715350000009,0.5271212379
R_61hCu6g2tcWoJo7,attribution,Insulin,Diabetes,5,0.6599026644,0.03093293730000002,0.05155489560000004,0.2783964366,0.2515878908
R_61hCu6g2tcWoJo7,attribution,BMI,Diabetes,3,0.6,0.06000000000000005,0.12,0.24000000000000005,0.2880022478
R_6KDvslaxG4W04I9,counterfactual,Blood Pressure,No Diabetes,10,0.152173913,0.04347826079999999,0.08152173917500002,0.152173913,0.4347826087
