participant,xai,n edits,n evaluable edits,evaluable coverage,n repeated feature-target cells,threshold CV MAE,fixed-delta CV MAE,target-agnostic CV MAE,within 0.025 of LOO threshold,within 0.05 of LOO threshold,exact endpoint repeat rate,within-cell endpoint-on-original slope,threshold advantage over fixed delta,threshold relative gain over fixed delta,target-specific advantage,cognitive model v0.1 family,global relevance reliance (α),near-exact threshold,strong threshold-like
R_60Vourt3Kluat5u,attribution,44,44,1.0,7,0.039784260020454536,0.11507914838750001,0.04337749052499999,0.4318181818181818,0.7272727272727273,0.45454545454545453,-0.0023766160703567987,0.07529488836704548,0.6542878481643689,0.003593230504545457,feature contribution,0.0,0,1
R_6J90tRZsF1dbkUv,none,26,26,1.0,5,0.05002273917884616,0.14837263320384614,0.05017688616923078,0.46153846153846156,0.6153846153846154,0.4230769230769231,0.06446666434399949,0.09834989402499998,0.6628573740406634,0.00015414699038462237,weighted examples,,0,1
R_1TZbMIIo6RtFnsb,attribution,41,41,1.0,8,0.0504734505804878,0.1421150824487805,0.14582244415365855,0.2926829268292683,0.6585365853658537,0.2682926829268293,0.02287146548713436,0.09164163186829269,0.644840999908093,0.09534899357317075,feature contribution,0.0,0,1
R_6DD4Hjc7DAhjrhU,attribution,40,39,0.975,7,0.05364029482307691,0.11249452116153846,0.12247280103076921,0.3076923076923077,0.6410256410256411,0.3333333333333333,0.07879207879401973,0.05885422633846155,0.5231741575569605,0.0688325062076923,feature contribution,0.0,0,1
R_1bN1m4OYZIanJ5K,none,31,30,0.967741935483871,6,0.05429044323833335,0.08714794737499999,0.07748931304666667,0.26666666666666666,0.5333333333333333,0.3,0.06048849357047028,0.032857504136666646,0.3770313028174939,0.023198869808333328,feature contribution,0.0,0,1
R_7PsMTUjq8Wa1btt,counterfactual,48,46,0.9583333333333334,7,0.05789419141304347,0.10830241141739134,0.06529797366086956,0.21739130434782608,0.5652173913043478,0.43478260869565216,0.19140793638264872,0.05040822000434787,0.46543949801890794,0.007403782247826091,feature contribution,0.0,0,1
R_6KDvslaxG4W04I9,counterfactual,35,32,0.9142857142857143,4,0.058112887034375005,0.13519709058906249,0.07937280057656249,0.4375,0.53125,0.53125,0.10916812003240113,0.07708420355468748,0.5701617040635018,0.02125991354218748,feature contribution,1.0,0,1
R_7ojrp9raD1YDwJj,none,29,29,1.0,6,0.0650899155137931,0.12147733205172412,0.06956428942931035,0.13793103448275862,0.41379310344827586,0.20689655172413793,0.13083144456894127,0.056387416537931015,0.4641805642712147,0.004474373915517249,feature contribution,0.0,0,1
R_61hCu6g2tcWoJo7,attribution,37,36,0.972972972972973,7,0.06592576265555555,0.13692668802361113,0.2144065861777778,0.25,0.5277777777777778,0.2222222222222222,0.23394660453375823,0.07100092536805558,0.5185324087866088,0.14848082352222225,feature contribution,0.0,0,1
R_3ENoszlL5q7JglI,none,55,55,1.0,8,0.06731637634818183,0.16064103292545448,0.27440572912181815,0.43636363636363634,0.5818181818181818,0.45454545454545453,0.05857953999356665,0.09332465657727265,0.58095154692251,0.20708935277363633,weighted examples,,0,1
