participant,xai,target label,n edits,n evaluable edits,evaluable coverage,threshold CV MAE,fixed-delta CV MAE,within 0.05 of LOO threshold,threshold advantage over fixed delta,threshold relative gain over fixed delta,very consistent threshold for target
R_156Kmlz4ECsrHQR,attribution,Diabetes,22,22,1.0,0.15396500948636363,0.16357334463181816,0.18181818181818182,0.009608335145454533,0.05874022547549918,0
R_156Kmlz4ECsrHQR,attribution,No Diabetes,21,20,0.9523809523809523,0.10722851813999998,0.09687582281250001,0.35,-0.010352695327499967,-0.10686562474454818,0
R_1Fh1UMJw1me9wFr,none,Diabetes,22,22,1.0,0.0628413089840909,0.09364006057045456,0.6818181818181818,0.03079875158636365,0.32890572046555594,0
R_1Fh1UMJw1me9wFr,none,No Diabetes,28,28,1.0,0.04944878248392858,0.09980133637857143,0.6785714285714286,0.05035255389464285,0.5045278522488218,0
R_1KMTwE2iCLDGMxz,none,Diabetes,10,10,1.0,0.10307918348,0.11851566824000001,0.4,0.015436484760000008,0.130248472537322,0
R_1KMTwE2iCLDGMxz,none,No Diabetes,10,9,0.9,0.10890627065555553,0.14538237653888886,0.1111111111111111,0.03647610588333333,0.2508977136824848,0
R_1QfQiW4jahDRgtB,attribution,Diabetes,10,10,1.0,0.07993786550000001,0.08261460817,0.5,0.0026767426699999958,0.0324003554491469,0
R_1QfQiW4jahDRgtB,attribution,No Diabetes,10,10,1.0,0.0667121238,0.12148818748000001,0.7,0.054776063680000014,0.45087563504079375,0
R_1ReJOex9cmkqbNa,counterfactual,Diabetes,14,14,1.0,0.1639793956857143,0.022613995771428592,0.07142857142857142,-0.1413653999142857,-6.251234914127484,0
R_1ReJOex9cmkqbNa,counterfactual,No Diabetes,18,17,0.9444444444444444,0.06843844507941176,0.13646439110882352,0.4117647058823529,0.06802594602941177,0.49848862019370666,0
R_1TZbMIIo6RtFnsb,attribution,Diabetes,18,18,1.0,0.060392952783333315,0.13916901324444444,0.6111111111111112,0.07877606046111113,0.5660459798097751,0
R_1TZbMIIo6RtFnsb,attribution,No Diabetes,23,23,1.0,0.04271036189999999,0.14442070182608696,0.6956521739130435,0.10171033992608697,0.7042642684880988,0
R_1WAqgPTkRSdmI9W,counterfactual,Diabetes,17,15,0.8823529411764706,0.07458044531666667,0.12493852424000003,0.4666666666666667,0.050358078923333355,0.4030628601519116,0
R_1WAqgPTkRSdmI9W,counterfactual,No Diabetes,33,33,1.0,0.06459518754242423,0.07414024235757578,0.5454545454545454,0.009545054815151555,0.128743237297716,0
R_1bN1m4OYZIanJ5K,none,Diabetes,14,13,0.9285714285714286,0.05050398410000004,0.10314059200769227,0.5384615384615384,0.05263660790769223,0.5103384310976863,0
R_1bN1m4OYZIanJ5K,none,No Diabetes,17,17,1.0,0.05718597081470587,0.07491827795000001,0.5294117647058824,0.017732307135294147,0.2366886642419701,0
R_1hF6UnZQsvvwBCX,counterfactual,Diabetes,30,30,1.0,0.06833726024333334,0.12431098197833332,0.5,0.05597372173499998,0.4502717366093679,0
R_1hF6UnZQsvvwBCX,counterfactual,No Diabetes,16,16,1.0,0.069045184096875,0.185276104221875,0.5625,0.11623092012499998,0.6273389685796132,0
R_1ihbKBZG0EAXF8D,counterfactual,Diabetes,20,20,1.0,0.0875268207,0.10407056452749996,0.4,0.01654374382749997,0.15896660023525092,0
R_1ihbKBZG0EAXF8D,counterfactual,No Diabetes,21,21,1.0,0.06841879064761906,0.10635600489523808,0.42857142857142855,0.03793721424761902,0.35670025669907046,0
R_1jEfVgE4WoI6fVO,attribution,Diabetes,10,9,0.9,0.27489655953333336,0.15350752895555558,0.0,-0.12138903057777778,-0.7907692306930629,0
R_1jEfVgE4WoI6fVO,attribution,No Diabetes,10,8,0.8,0.1149326507125,0.11975406372500001,0.375,0.0048214130125000115,0.040260955349054155,0
R_1myAGA2v3gStUIS,attribution,Diabetes,19,17,0.8947368421052632,0.11134531163529411,0.07387269886470588,0.4117647058823529,-0.037472612770588234,-0.507259289920048,0
R_1myAGA2v3gStUIS,attribution,No Diabetes,20,19,0.95,0.05047217482631579,0.12529164376842106,0.5263157894736842,0.07481946894210527,0.5971624818044172,0
R_1vbS8BCLvmrwGHr,attribution,Diabetes,14,14,1.0,0.09002830638571428,0.07952049291428573,0.42857142857142855,-0.010507813471428554,-0.13213969237784795,0
