participant,xai,n_aligned_edits,mean_nearest_training_endpoint_distance,median_nearest_training_endpoint_distance,rate_within_0025_training_endpoint
R_156Kmlz4ECsrHQR,attribution,38,0.18253579338421053,0.19691907944999998,0.11627906976744186
R_1Fh1UMJw1me9wFr,none,50,0.09754662334599999,0.0764034629,0.16
R_1KMTwE2iCLDGMxz,none,20,0.163851919165,0.1364673797,0.15
R_1QfQiW4jahDRgtB,attribution,20,0.07617748689500001,0.04332525015000001,0.2
R_1ReJOex9cmkqbNa,counterfactual,32,0.204112814059375,0.17512570425,0.125
R_1TZbMIIo6RtFnsb,attribution,41,0.14691667793902438,0.1173913043,0.14634146341463414
R_1WAqgPTkRSdmI9W,counterfactual,35,0.19273417308,0.166027386,0.04
R_1bN1m4OYZIanJ5K,none,31,0.11662638595806449,0.11739130429999994,0.25806451612903225
R_1hF6UnZQsvvwBCX,counterfactual,46,0.06994242802173913,0.046760755000000015,0.32608695652173914
R_1ihbKBZG0EAXF8D,counterfactual,41,0.11646077902439021,0.09556197919999998,0.14634146341463414
R_1jEfVgE4WoI6fVO,attribution,16,0.17723644820624998,0.17105934359999997,0.05
R_1myAGA2v3gStUIS,attribution,35,0.26005784432857143,0.2913043478,0.05128205128205128
R_1vbS8BCLvmrwGHr,attribution,34,0.11062331057352938,0.09565217389999997,0.20588235294117646
R_1yltjaSsgo0dVO7,none,62,0.33985439494032255,0.3878592076,0.015151515151515152
R_3CPW0AmZIfESbrT,counterfactual,38,0.17346631608947366,0.18260869559999995,0.07894736842105263
R_3ENoszlL5q7JglI,none,55,0.21728099628363634,0.26560108819999995,0.10909090909090909
R_3FXVdEYgbSYjhFQ,counterfactual,51,0.23261180003921567,0.20520910659999997,0.1346153846153846
R_3P1hvuTtye32D8u,attribution,34,0.1562404271970588,0.13662087929999997,0.13513513513513514
R_3P5ccqI6lMcShWV,attribution,48,0.17789696260833332,0.18260869559999993,0.10416666666666667
R_3Qv0QTQ49yAIRot,attribution,20,0.18169787458999997,0.17826086949999997,0.05
R_3pZ1OVs4kWTC7GB,none,28,0.11550164919642855,0.09033586419999998,0.17857142857142858
R_5ASRudX4WuOaMDD,counterfactual,41,0.12723382000243902,0.1165346862,0.21951219512195122
R_5CNiW73tAkn7Lk5,none,38,0.13090126472631577,0.12178754179999998,0.2631578947368421
R_5F38AMuOCY994Y9,none,40,0.11457062204249999,0.0981722394,0.25
R_5F38MGbZJklp6TP,attribution,30,0.08438535694333331,0.07071459979999997,0.13333333333333333
R_5FwCR03V97gle4L,attribution,40,0.20714802965999998,0.23805475254999997,0.15
R_5cuU4NG0z68t0DW,counterfactual,45,0.14298791628444443,0.11030685470000001,0.17777777777777778
R_5faag2PFpaGyI6V,counterfactual,66,0.12495905351060604,0.06301577309999998,0.30434782608695654
R_5gkJQXcSCkjRBmu,none,44,0.16392625913863634,0.15437580245,0.13636363636363635
R_5tEkygPCjFKzz2T,counterfactual,48,0.08590206600833333,0.05159282284999997,0.17647058823529413
R_60Vourt3Kluat5u,attribution,44,0.15755322882272726,0.15733977510000002,0.11363636363636363
R_61hCu6g2tcWoJo7,attribution,37,0.17484588275675675,0.12672941839999996,0.16216216216216217
R_6DD4Hjc7DAhjrhU,attribution,40,0.22514562558,0.21036459619999998,0.175
R_6I5GvkY1dba6Sm6,none,56,0.27101494947678567,0.26032987584999995,0.03508771929824561
R_6J90tRZsF1dbkUv,none,26,0.15238453301923077,0.1631722394,0.07692307692307693
R_6KDvslaxG4W04I9,counterfactual,35,0.29014956915714285,0.31304347819999995,0.05714285714285714
R_6R9HRjc1dD88yPW,none,16,0.09475832166875,0.042509777299999996,0.2
R_6aqu1LmTSlgucVN,counterfactual,45,0.2074785844422222,0.2125488862,0.06521739130434782
R_6dM4kpwwdD2TmDK,none,47,0.11225443595106382,0.06081415489999997,0.4
R_6dXBSsEnSWPHZg1,counterfactual,29,0.10337823591034481,0.04250977719999999,0.4827586206896552
R_6dth5vhxVEBQV2p,counterfactual,20,0.10849978083499998,0.07607333520000001,0.22727272727272727
R_6ltB5PoMoQ8gakx,counterfactual,52,0.14016542483653843,0.14226793119999998,0.09615384615384616
R_6upJU84Jtf3Faf5,none,26,0.07951732700384614,0.053406962150000015,0.2972972972972973
R_771uyV9h8uinmh3,attribution,20,0.16414610639,0.13144651529999996,0.15
R_7MBioYOD8gq6nT3,counterfactual,22,0.038386091163636366,0.035560550699999985,0.391304347826087
R_7PsMTUjq8Wa1btt,counterfactual,41,0.11102006775853657,0.06801564360000001,0.16666666666666666
R_7QQowZQ43kZcCj7,counterfactual,32,0.20012508881875,0.18260869559999998,0.058823529411764705
R_7Xi0pALCUOc3Fh1,attribution,19,0.07696319844736839,0.06751615620000001,0.2
R_7dLdPi0fchuvKbu,counterfactual,40,0.07550572666,0.05673100710000001,0.30952380952380953
R_7gJ0bylGgi6iHe1,counterfactual,26,0.11152090551153843,0.10120542939999996,0.11764705882352941
R_7ojrp9raD1YDwJj,none,29,0.1331297714827586,0.12672941839999996,0.06896551724137931
R_7xWlSJ5Zdqog9gt,none,63,0.21777946581269841,0.1731722394,0.031746031746031744
