threshold CV MAE cutoff,minimum relative gain over fixed delta,omnibus chi-square p,none n,none total,none rate,attribution n,attribution total,attribution rate,counterfactual n,counterfactual total,counterfactual rate
0.025,0.0,1.0,0,16,0.0,0,16,0.0,0,20,0.0
0.025,0.1,1.0,0,16,0.0,0,16,0.0,0,20,0.0
0.025,0.2,1.0,0,16,0.0,0,16,0.0,0,20,0.0
0.05,0.0,0.3175694248747442,0,16,0.0,1,16,0.0625,0,20,0.0
0.05,0.1,0.3175694248747442,0,16,0.0,1,16,0.0625,0,20,0.0
0.05,0.2,0.3175694248747442,0,16,0.0,1,16,0.0625,0,20,0.0
0.075,0.0,0.740818220681718,5,16,0.3125,4,16,0.25,4,20,0.2
0.075,0.1,0.740818220681718,5,16,0.3125,4,16,0.25,4,20,0.2
0.075,0.2,0.740818220681718,5,16,0.3125,4,16,0.25,4,20,0.2
0.1,0.0,0.9323024132279266,6,16,0.375,5,16,0.3125,7,20,0.35
0.1,0.1,0.723712297629014,6,16,0.375,4,16,0.25,7,20,0.35
0.1,0.2,0.7423632007702603,6,16,0.375,4,16,0.25,6,20,0.3
