feature,target label,xai,participants,median estimated threshold,mean estimated threshold,SD across participants,median within-participant MAD
Age,Diabetes,none,2,0.5540540540500001,0.5540540540500001,0.24844292308328694,0.09459459459999994
Age,Diabetes,attribution,1,0.41891891895,0.41891891895,,0.08108108104999998
Age,Diabetes,counterfactual,3,0.4324324324,0.45045045045,0.10922842932682085,0.027027027100000045
Age,No Diabetes,none,3,0.5,0.4954954955,0.10142639863992035,0.06756756755000001
Age,No Diabetes,attribution,3,0.3783783784,0.4009009009333333,0.05116133645471908,0.02702702699999998
Age,No Diabetes,counterfactual,5,0.4864864865,0.47027027027,0.14409486771453417,0.054054054000000074
BMI,Diabetes,none,14,0.4675,0.4496428571428572,0.25516558941592815,0.04
BMI,Diabetes,attribution,11,0.45,0.4318181818181818,0.1683934786040232,0.04000000000000002
BMI,Diabetes,counterfactual,16,0.4575,0.4465625,0.16457742605432457,0.05000000000000002
BMI,No Diabetes,none,14,0.235,0.23892857142857143,0.14530046550071773,0.03
BMI,No Diabetes,attribution,11,0.275,0.29545454545454547,0.11114077886749188,0.03
BMI,No Diabetes,counterfactual,18,0.32,0.3308333333333333,0.07761613689099936,0.03249999999999999
Blood Pressure,Diabetes,none,11,0.53260869565,0.5128458498045455,0.19118191375466106,0.043478260850000006
Blood Pressure,Diabetes,attribution,12,0.5652173913,0.5153985507166666,0.1851866272068514,0.021739130474999986
Blood Pressure,Diabetes,counterfactual,18,0.53260869565,0.554347826088889,0.1631074043576277,0.043478260899999954
Blood Pressure,No Diabetes,none,12,0.3695652174,0.34420289854583336,0.14578141081355192,0.043478260899999996
Blood Pressure,No Diabetes,attribution,14,0.3043478261,0.33229813665,0.12809454991230917,0.03260869565
Blood Pressure,No Diabetes,counterfactual,17,0.39130434785,0.38874680306764703,0.11996778892062193,0.04347826089999998
Glucose,Diabetes,none,15,0.5657201156,0.55835175424,0.22074972032910842,0.04250977720000004
Glucose,Diabetes,attribution,14,0.5402142493,0.536570554075,0.18069141996265264,0.03400782179999995
Glucose,Diabetes,counterfactual,16,0.53596327155,0.550576007475,0.18299274126092288,0.06376466585
Glucose,No Diabetes,none,15,0.327665363,0.3639403729366666,0.16542075950321375,0.04250977724999999
Glucose,No Diabetes,attribution,15,0.3914300289,0.38236127642666673,0.1486876021558538,0.04676075495
Glucose,No Diabetes,counterfactual,17,0.3701751403,0.3331666283264706,0.13543021191685242,0.05101173269999998
Insulin,Diabetes,none,12,0.3949105007,0.40462000606250004,0.17828561343362137,0.05516373832499999
Insulin,Diabetes,attribution,9,0.4495586901,0.44050794175,0.1315112516393274,0.04021281859999998
Insulin,Diabetes,counterfactual,16,0.36758640600000003,0.369326383740625,0.17130059614957452,0.04021281862500001
Insulin,No Diabetes,none,9,0.1402293162,0.1527170575611111,0.05805924666663601,0.029901839450000002
Insulin,No Diabetes,attribution,8,0.203126288875,0.22980594738125,0.1333103907330874,0.02732409469999999
Insulin,No Diabetes,counterfactual,14,0.192299760775,0.2029789891714286,0.10717838631345894,0.03969726965
