participant,direction-qualified cohort (0/1),xai,alpha=0 CV selection NLL,alpha=1 CV selection NLL,delta NLL (alpha=1 - alpha=0; positive favors alpha=0),alpha=0 CV selection F1,alpha=1 CV selection F1,better endpoint
R_156Kmlz4ECsrHQR,1,attribution,2.723737241883939,1.7149162616729838,-1.0088209802109551,0.43894047950415443,0.5684805205762868,alpha=1
R_1CKtpMfx1ihpfn1,0,counterfactual,0.9514535616962831,0.5756687312409857,-0.3757848304552974,0.7653526596167073,0.9039617209035737,alpha=1
R_1Fh1UMJw1me9wFr,1,none,0.8249363620367701,1.599788053304125,0.774851691267355,0.7690191309596595,0.6649762644505188,alpha=0
R_1TZbMIIo6RtFnsb,1,attribution,0.6942874947954651,1.7089526426070503,1.0146651478115851,0.7193919261867376,0.5752328180961229,alpha=0
R_1WAqgPTkRSdmI9W,1,counterfactual,1.7101226157109894,1.0085228510190862,-0.7015997646919032,0.6171113706634774,0.6944215220455202,alpha=1
R_1bN1m4OYZIanJ5K,1,none,1.1508807189357753,1.8191803822762502,0.668299663340475,0.5423825115881826,0.3709100929548804,alpha=0
R_1ihbKBZG0EAXF8D,1,counterfactual,1.2429489329619816,2.7421444453848025,1.499195512422821,0.6726819704442698,0.44422391768317704,alpha=0
R_1myAGA2v3gStUIS,1,attribution,2.024282961100902,2.36493003543398,0.34064707433307806,0.5061242824794736,0.46893283673157937,alpha=0
R_1vbS8BCLvmrwGHr,1,attribution,1.3075056877844713,2.568613039148578,1.261107351364107,0.562118774417532,0.35831388163445543,alpha=0
R_3CPW0AmZIfESbrT,0,counterfactual,1.3941511843914292,1.7386758973014138,0.34452471290998465,0.5879241133105195,0.5405414548271584,alpha=0
R_3Fo0QmOVx6lcU4W,0,counterfactual,2.6941628614515407,1.2602460272056732,-1.4339168342458675,0.06319151099227838,0.38439610324282886,alpha=1
R_3OpQ58fnUhzHRsd,0,none,1.6039276311679695,1.4372028732621447,-0.16672475790582486,0.4747846026095853,0.5868589629798636,alpha=1
R_3P1hvuTtye32D8u,1,attribution,2.6324496552598857,2.573927720223508,-0.058521935036377926,0.31201027215905736,0.32130066385753264,alpha=1
R_3P5ccqI6lMcShWV,1,attribution,0.9444856595682705,2.3908346181642623,1.4463489585959919,0.7655191695333124,0.5394934927371752,alpha=0
R_3Qv0QTQ49yAIRot,1,attribution,1.3734793265131766,1.6239530101157116,0.25047368360253497,0.3626882748986107,0.24592162627153646,alpha=0
R_5ASRudX4WuOaMDD,1,counterfactual,1.5269340193722538,2.036830138782314,0.50989611941006,0.5358707592623791,0.48636510702944574,alpha=0
