participant,direction-qualified cohort (0/1),xai,model family held fixed,parameter,parameter label,null value,full fitted value,full value differs from null (0/1),primary metric,full CV loss,full CV selection_f1,full CV amount_mae,full CV direction_accuracy,full CV selection_nll,ablated CV loss,ablated CV selection_f1,ablated CV amount_mae,ablated CV direction_accuracy,ablated CV selection_nll,delta CV loss (ablated - full),delta CV selection_f1 (ablated - full),delta CV amount_mae (ablated - full),delta CV direction_accuracy (ablated - full),delta CV selection_nll (ablated - full),ablated fitted eta,ablated fitted alpha,ablated fitted rho,ablated fitted lambda,ablated fitted beta,ablated fitted age actionable
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,age actionable,Age-actionability flexibility,1,1.0,0,selection_nll,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,0.3734205107828987,0.4951381930800136,0.241979214645811,0.5,1.936821598828891,-0.004359770208076541,0.0212022938280495,0.012482753411896419,-0.06666666666666665,-0.24180358346144226,1.0,nan,0.0,2.0,1.0,1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.0,1.0,1,selection_nll,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,0.3617174043826118,0.5088084956124542,0.23224330437767798,0.4916666666666667,2.034725783348717,-0.01606287660836342,0.034872596360490116,0.002746843143763389,-0.07499999999999996,-0.1438993989416164,1.0,nan,0.05,6.0,0.0,0
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,1.0,1,selection_nll,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,0.3712516149180886,0.4985787400620447,0.24108196989822192,0.5,2.0160044571965017,-0.006528666072886602,0.024642840810080613,0.011585508664307326,-0.06666666666666665,-0.16262072509383163,0.0,nan,0.0,6.0,1.0,1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,lambda,Exemplar locality (λ),0.0,2.0,1,selection_nll,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,0.34495608532768235,0.552816608249658,0.24272877890502267,0.5,1.889432953232094,-0.032824195663292866,0.07888070899769384,0.01323231767110808,-0.06666666666666665,-0.2891922290582394,0.0,nan,0.0,0.0,1.0,0
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,0.0,0,amount_mae,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,2.0,1.0,1
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,age actionable,Age-actionability flexibility,1,1.0,0,selection_nll,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,nan,nan,1
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,alpha,Global relevance reliance (α),0.0,1.0,1,selection_nll,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,0.406059033412256,0.43894047950415443,0.2510585463286665,0.4666666666666666,2.723737241883939,0.056683195934214115,-0.1295400410721324,-0.01617364920370412,-0.016666666666666663,1.0088209802109551,0.5,0.0,0.0,nan,nan,1
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,eta,Explanation reliance (η),0.0,0.5,1,selection_nll,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,0.36735936705522165,0.5282445833843273,0.2629633174947707,0.4833333333333333,2.074431415843763,0.017983529577179747,-0.0402359371919595,-0.004268878037599899,0.0,0.3595151541707793,0.0,1.0,0.0,nan,nan,1
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.0,0.0,0,amount_mae,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,nan,nan,1
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.19342224989964718,0.9039617209035737,0.29080622070286816,0.32499999999999996,0.5756687312409857,0.2444939457318081,0.8324581597715724,0.3214460512351886,0.32499999999999996,1.0735197323937853,0.051071695832160924,-0.07150356113200129,0.030639830532320445,0.0,0.49785100115279957,1.0,1.0,0.0,nan,nan,1
