cohort,parameter,parameter label,null value,primary metric,n applicable participants,n full fitted values differing from null,mean delta (ablated - full; positive supports parameter),median delta,bootstrap mean delta 95% CI low,bootstrap mean delta 95% CI high,participants improved by full parameter,participants tied,participants worse with full parameter,one-sided Wilcoxon statistic,one-sided Wilcoxon p,Holm-adjusted p,conclusion
direction-qualified 46,eta,Explanation reliance (η),0.0,selection_nll,33,28,0.23579236683548138,0.15954184377704483,0.1363551916900492,0.3560770895009772,22,3,8,420.0,5.749608771785055e-05,0.00028748043858925276,useful
direction-qualified 46,alpha,Global relevance reliance (α),0.0,selection_nll,30,8,0.09069033828968455,0.0,-0.026820010268919184,0.2502595855227866,5,16,9,49.0,0.5869544855705899,0.5869544855705899,inconclusive
direction-qualified 46,rho,Additive change margin (ρ),0.0,amount_mae,46,33,0.019580303699373768,0.007266726802108575,0.011477680188416698,0.028601530161231674,29,10,7,609.0,7.251033205537138e-06,4.350619923322283e-05,useful
direction-qualified 46,lambda,Exemplar locality (λ),0.0,selection_nll,16,11,0.23852203634520824,0.022437132578607133,0.027433083094816627,0.5785045792621651,10,0,6,106.0,0.02532958984375,0.0506591796875,limited evidence
direction-qualified 46,beta,Remembered-change reliance (β),0.0,selection_nll,7,6,0.8251134910896002,0.6110817210944657,0.3189615632669502,1.489497203932531,6,1,0,21.0,0.013853924679039932,0.041561774037119796,useful
direction-qualified 46,age actionable,Age-actionability flexibility,1,selection_nll,46,28,0.30409322642928516,0.23775997230955104,0.11296439206930158,0.4986002688144827,25,15,6,406.0,0.0009799116336549139,0.0039196465346196556,useful
all 62,eta,Explanation reliance (η),0.0,selection_nll,43,38,0.2609723297559787,0.15954184377704483,0.1504820136783505,0.3971331872532195,28,3,12,720.0,1.5445117643410254e-05,9.267070586046152e-05,useful
all 62,alpha,Global relevance reliance (α),0.0,selection_nll,43,19,0.22729146755678942,0.0,0.09299232444332264,0.3785291441806893,14,18,11,244.0,0.014156812841213853,0.04247043852364156,useful
all 62,rho,Additive change margin (ρ),0.0,amount_mae,62,38,0.014391945642049837,0.001841603753869596,0.008018146329176929,0.021597825839329756,32,18,12,848.0,1.8978347925099254e-05,9.489173962549626e-05,useful
all 62,lambda,Exemplar locality (λ),0.0,selection_nll,19,14,0.19862999017908503,0.017453029854908264,0.00934159775525311,0.4928225521461195,12,0,7,138.0,0.04371452331542969,0.04371452331542969,useful
all 62,beta,Remembered-change reliance (β),0.0,selection_nll,8,7,0.7039868798356982,0.5532905039133128,0.20677002190504756,1.3305038914968979,6,1,1,26.0,0.021261238999025815,0.04252247799805163,useful
all 62,age actionable,Age-actionability flexibility,1,selection_nll,62,36,0.28461419356908574,0.14521694049997624,0.13619355935728789,0.43660684540751904,32,21,9,723.0,7.522667933391197e-05,0.0003009067173356479,useful
