cohort,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,applicable participants,mean change (high - low),95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,16,-0.278125,-0.3875,-0.178125
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,16,0.005314802230984064,-0.00283832054971933,0.015312632240635869
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),16,0.009566250165197535,-0.008997193896015812,0.026926870577633037
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,16,0.0007799776673065653,-0.0017150913489063894,0.0032849025903045627
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,16,-0.03601973684210526,-0.062499999999999986,-0.0125
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,16,-0.022437607571245903,-0.036847967735488096,-0.008304934335373345
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,14,0.060714285714285714,0.0,0.13214285714285715
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,14,-0.04805673083882371,-0.05938178582204107,-0.03728493345253869
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),14,-0.10676695070970076,-0.12187197112457797,-0.09116625929360568
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,14,-0.011588213334242203,-0.017067300358890022,-0.006542472123778621
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,14,0.02142857142857143,-0.024999999999999984,0.06785714285714285
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,14,0.024630934349684257,-0.011456926170134642,0.058603530846090046
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,16,0.165625,0.034375,0.31562500000000004
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,16,0.03068568417874811,0.014426640464997875,0.04435878165372565
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),16,-0.08825164852935372,-0.11076242660330594,-0.06544373644039889
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,16,0.008953748084818566,0.0068196361703454405,0.011051732853533877
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,16,-0.009374999999999994,-0.04687499999999999,0.031250000000000014
direction-qualified 46,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,16,-0.0019707532859067622,-0.035681797835585165,0.032535909338790636
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,2,0.0,0.0,0.0
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,2,0.013364281608698955,0.011457596970072974,0.015270966247324935
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),2,-0.032647781820935584,-0.04873285934190835,-0.016562704299962816
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,2,0.0015357071964824387,0.00040934793328994967,0.0026620664596749277
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,2,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
direction-qualified 46,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,2,-0.03700530985694081,-0.0442820071000668,-0.02972861261381482
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,actionability,Actionability rate,16,-0.006249999999999999,-0.018749999999999996,0.0
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,boundary improvement,Boundary-distance improvement,16,-0.10520429732120529,-0.11745677438102896,-0.09330154168888588
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,edit L1,Normalized edit distance (L1),16,0.4661415589426614,0.39338565036191125,0.5363088289154265
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,plausibility,Plausibility,16,-0.03550137129609043,-0.041607558278196115,-0.03045053705319744
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,success,Counterfactual success rate,16,0.29374999999999996,0.253125,0.3375
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,target confidence gain,Target-confidence gain,16,0.2601088114794379,0.21959607236002868,0.29872696197981913
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,17,-0.2823529411764706,-0.4323529411764706,-0.14411764705882354
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,17,0.013618252051495744,0.0033034345887382396,0.02624019727106837
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),17,0.006113588293564431,-0.013561823067374022,0.021434419592603945
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,17,0.0010945794097383715,-0.0008873982119668855,0.003638826199467764
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,17,-0.004024767801857585,-0.05171439628482974,0.038239164086687275
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,17,-0.0018338457419446957,-0.039979863685220135,0.03383026474753544
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,10,0.11000000000000001,-0.0001249999999999572,0.27
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,10,-0.043352150137635194,-0.06016994797083752,-0.028151147880739122
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),10,-0.07386593546161044,-0.09685992397880913,-0.055223552559046554
