participant,direction-qualified cohort (0/1),xai,model family,parameter,parameter label,parameter value,testing trials,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,age actionable,Age actionable,0.0,20,0.5,0.43478435581424,0.005989852623048628,0.9564966014807276,1.0,0.20170641336723977
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,age actionable,Age actionable,1.0,20,0.5,0.43478435581424,0.005989852623048628,0.9564966014807276,1.0,0.20170641336723977
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.0,20,0.5,0.4603637526290984,0.037673518520749336,0.9450414280091561,0.65,0.4063079026910416
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,beta,Remembered-change reliance (β),0.5,20,0.35,0.39145399063994957,0.05189261554551222,0.9591175663042991,0.65,0.2550350931104245
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,beta,Remembered-change reliance (β),1.0,20,0.5,0.43478435581424,0.005989852623048628,0.9564966014807276,1.0,0.20170641336723977
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,20,0.4,0.38697212234857226,0.0030063913887467446,0.9552777161567612,1.0,0.21156803369477858
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,20,0.45,0.4043588132902052,-0.0014510858109462149,0.9555032406860405,1.0,0.2061411692767813
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,20,0.5,0.43478435581424,0.005989852623048628,0.9564966014807276,1.0,0.20170641336723977
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,lambda,Exemplar locality (λ),0.0,20,0.45,0.4071803172849977,0.0019451222008904205,0.9531511023413779,1.0,0.2259101714586392
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,lambda,Exemplar locality (λ),2.0,20,0.5,0.43478435581424,0.005989852623048628,0.9564966014807276,1.0,0.20170641336723977
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,lambda,Exemplar locality (λ),6.0,20,0.55,0.5257564748757669,0.033171944041665055,0.9587219110153665,1.0,0.19776164400706625
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,20,0.5,0.43478435581424,0.005989852623048628,0.9564966014807276,1.0,0.20170641336723977
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,20,0.55,0.5396996050427009,-0.02723479577966445,0.9468428596063687,1.0,0.30420641336723975
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.1,20,0.5,0.5371160819259074,-0.041405109807113025,0.9393840462025833,1.0,0.4067064133672398
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.15,20,0.6,0.6169427662098714,-0.06945604855423704,0.9321786144419473,1.0,0.5084641659283722
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.2,20,0.65,0.6593859216208641,-0.09984500362467372,0.9265829571926242,1.0,0.6048123043695863
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.25,20,0.7,0.6758687705021551,-0.11621131354894136,0.9196929895862643,1.0,0.6920345966499648
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.3,20,0.7,0.7035638691356916,-0.1523630438879155,0.909482160714379,1.0,0.7693927059587786
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,age actionable,Age actionable,0.0,20,0.4,0.4023689445057254,0.00039058468148527037,0.9520278997441773,1.0,0.24129893978480538
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,age actionable,Age actionable,1.0,20,0.35,0.3695293580826137,0.008955928268949389,0.9507685236533844,0.75,0.24095741458231307
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.35,0.33722559544759423,0.046244798194484016,0.9524805122355767,0.35,0.3965433783804671
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.4,0.37231632630789735,0.03768013866110526,0.9544978206090923,0.45,0.29434946124108874
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.35,0.3695293580826137,0.008955928268949389,0.9507685236533844,0.75,0.24095741458231307
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,eta,Explanation reliance (η),0.0,20,0.2,0.21399690452481335,0.017790109637227693,0.9487752129712816,0.1,0.27322075391375045
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,eta,Explanation reliance (η),0.5,20,0.35,0.3695293580826137,0.008955928268949389,0.9507685236533844,0.75,0.24095741458231307
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,eta,Explanation reliance (η),1.0,20,0.4,0.37486757089958744,0.025397689582870298,0.9582425387593452,1.0,0.1928284763060764
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.0,20,0.35,0.3695293580826137,0.008955928268949389,0.9507685236533844,0.75,0.24095741458231307
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.05,20,0.5,0.5187435748679476,-0.0034482016187671423,0.9369240350624523,0.75,0.348457414582313
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.1,20,0.6,0.590883047629259,-0.03246978449067238,0.9247139361729662,0.75,0.4556751625917544
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.15,20,0.6,0.569845820118042,-0.07281351621102403,0.9148792367015071,0.75,0.5572125757481621
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.2,20,0.55,0.5365754651695797,-0.0854496018728267,0.9058608941837359,0.75,0.6503625433233801
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.25,20,0.55,0.5327821808172128,-0.10980582640537329,0.895441577880767,0.75,0.7343934384581927
R_156Kmlz4ECsrHQR,1,attribution,feature contribution,rho,Additive change margin (ρ),0.3,20,0.55,0.5338371244223243,-0.11403512361185533,0.8847059600133538,0.75,0.8143934384581929
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,age actionable,Age actionable,0.0,20,0.4,0.3895920881123567,0.0347172587697688,0.9495832796789474,1.0,0.3514091144537998
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,age actionable,Age actionable,1.0,20,0.35,0.38316705346988567,0.052094461854589234,0.9478240676667079,0.45,0.35446035959262556
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,20,0.35,0.34745998481234197,0.05343601552999401,0.957184398425593,1.0,0.3844992350443764
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.5,20,0.35,0.3392923286488895,0.037146446084685966,0.9549835577743201,1.0,0.37854177351173524
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),1.0,20,0.4,0.3895920881123567,0.0347172587697688,0.9495832796789474,1.0,0.3514091144537998
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,20,0.5,0.41022891101137826,-0.006424379043792695,0.9404719025788191,1.0,0.3422638822665952
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.5,20,0.4,0.3895920881123567,0.0347172587697688,0.9495832796789474,1.0,0.3514091144537998
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,eta,Explanation reliance (η),1.0,20,0.3,0.28267303119661047,0.05497016322258898,0.9598749647823508,1.0,0.26339398814582554
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,20,0.4,0.3895920881123567,0.0347172587697688,0.9495832796789474,1.0,0.3514091144537998
