cohort,xai,xai label,parameter,parameter label,parameter value,metric,metric label,applicable participants,mean,95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,success,Counterfactual success rate,16,0.5485197368421053,0.48930921052631576,0.6016447368421052
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,target confidence gain,Target-confidence gain,16,0.5309773301138736,0.4826538955221873,0.5750842704887542
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,boundary improvement,Boundary-distance improvement,16,0.008388950224432675,-0.006871626533861251,0.023038827070591763
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,plausibility,Plausibility,16,0.9430332452851227,0.9390170070305299,0.9468924574481437
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,actionability,Actionability rate,16,1.0,1.0,1.0
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,0.0,edit L1,Normalized edit distance (L1),16,0.45630335168794706,0.37633105790772736,0.5422074355789904
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,1.0,success,Counterfactual success rate,16,0.5125,0.446875,0.578125
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,1.0,target confidence gain,Target-confidence gain,16,0.5085397225426277,0.4564769106828428,0.5566653811852621
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,1.0,boundary improvement,Boundary-distance improvement,16,0.01370375245541674,0.0020346347740389237,0.02414239055161533
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,1.0,plausibility,Plausibility,16,0.9438132229524292,0.940893548068168,0.9470148349250282
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,1.0,actionability,Actionability rate,16,0.721875,0.615625,0.8218749999999999
direction-qualified 46,attribution,Feature attribution,age actionable,Age actionable,1.0,edit L1,Normalized edit distance (L1),16,0.46586960185314463,0.38687469877049224,0.5437386161321317
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,success,Counterfactual success rate,14,0.5392857142857143,0.4713392857142857,0.6
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,target confidence gain,Target-confidence gain,14,0.5199216738544653,0.4634330894529471,0.5732338941951652
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,boundary improvement,Boundary-distance improvement,14,0.008540059804109799,-0.007993288053566494,0.023510583696547564
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,plausibility,Plausibility,14,0.9425822761383494,0.9382503841118266,0.946918943013976
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,actionability,Actionability rate,14,0.9214285714285715,0.8177678571428572,1.0
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,edit L1,Normalized edit distance (L1),14,0.5036176839280213,0.43101011430159825,0.5818612710989964
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,success,Counterfactual success rate,14,0.567857142857143,0.5000000000000001,0.6321428571428571
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,target confidence gain,Target-confidence gain,14,0.5542187518353919,0.4992644719950663,0.6041737481637914
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,boundary improvement,Boundary-distance improvement,14,-0.004657607528777337,-0.021539536927662587,0.01049024431143865
direction-qualified 46,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,plausibility,Plausibility,14,0.9397637134492325,0.9344895929935021,0.9451501912647516
