participant,direction-qualified cohort (0/1),xai,model family,parameter,parameter label,parameter value,case,instance id,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,1,160200,0.0,0.35901246633309514,0.07705941366976972,0.931282665740253,1.0,0.1646603612985031
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,2,160210,0.0,-0.0015847656763222874,-0.014021510655560385,0.9258978672386071,1.0,0.15383801064133243
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,3,160211,1.0,0.7419178447525125,0.0486640797001808,0.9636589028036745,1.0,0.15505136727790558
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,4,160201,0.0,0.00020118268640801314,0.07339570906714402,0.9502783691954806,1.0,0.2174676055694773
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,5,160214,1.0,0.9593045521834644,-0.0013457802995583343,0.9586164479639468,1.0,0.2069177601802658
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,6,160212,1.0,0.7077058453611671,0.029628874474506857,0.9588647234095101,1.0,0.20567638295244928
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,7,160202,1.0,0.5726995400235568,0.05232413317618818,0.9681670078208892,1.0,0.1591649608955542
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,8,160203,0.0,0.4529453343428482,0.058412556805423343,0.9807548454027861,1.0,0.09622577298606938
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,9,160213,0.0,-0.0071268657256584765,-0.01122283864782106,0.96883215564605,1.0,0.15583922176975024
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,10,160204,1.0,0.9645004592357616,-0.06875084084077096,0.9588871280253032,1.0,0.2055643598734841
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,11,160206,0.0,-1.259645721063407e-10,-0.012508841477667065,0.9661561757060808,1.0,0.16921912146959595
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,12,160205,0.0,-1.8713089412480954e-05,-0.0891456706582534,0.9723908351467856,1.0,0.1688050725008784
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,13,160217,0.0,-0.14537596365012484,-0.09510578435418676,0.9573524191811956,1.0,0.28068504181491527
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,14,160209,0.0,6.560621576079395e-05,0.04751109713008672,0.9648357157377029,1.0,0.1758214213114857
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,15,160218,1.0,0.9736254808985595,-0.03088674299511264,0.9285356922885941,1.0,0.3573215385570292
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,16,160207,0.0,0.0003727800285531213,0.0835283527659278,0.9640179903009529,1.0,0.17991004849523562
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,17,160219,1.0,0.9373960347333367,-0.0997631878719257,0.9339159314926516,1.0,0.3545733195830935
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,18,160215,0.0,0.08744559399606544,0.031657011824619836,0.9603443883325862,1.0,0.28844461522940734
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,19,160216,1.0,0.9306107767158359,-0.07910236783488184,0.9268349679184167,1.0,0.3658251604079167
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.0,20,160208,0.0,0.20574525773200192,0.05980016479682579,0.9659300937837554,1.0,0.1703495310812232
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,1,160200,0.0,0.3675279479395548,0.0780424144073273,0.9310767594451864,1.0,0.16711945303308956
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,2,160210,0.0,0.09451809734769066,0.045427625558548804,0.9046272069129477,1.0,0.14655606104171143
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,3,160211,1.0,0.7330412897107556,0.05016880148463962,0.9631890929567498,1.0,0.15270231804328205
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),0.5,4,160201,0.0,0.0002461473000553133,0.025504315191628102,0.9484212085720763,1.0,0.22697649273734666
