model family,xai,parameter,parameter label,parameter value,draw,instance id,sampled subset,sampled subset probability,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
feature contribution,none,alpha,Global relevance reliance (α),0.0,0,160203,0|2,0.44506175086930927,1.0,0.9720585371968119,-0.016146032360559434,0.9458045981461336,1.0,0.2709770092693319
feature contribution,none,alpha,Global relevance reliance (α),0.0,1,160218,2|3,0.04060933681704107,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,alpha,Global relevance reliance (α),0.0,2,160209,3|4,0.03823221729812162,0.0,-3.9055397527132385e-06,0.028109799921151757,0.968862894486525,0.0,0.15568552756737503
feature contribution,none,alpha,Global relevance reliance (α),0.0,3,160214,1|2,0.601281774663402,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,alpha,Global relevance reliance (α),0.0,4,160206,1|3,0.062445971016402986,0.0,0.005006479110695183,0.4436815141335442,0.9476292158456298,1.0,0.9
feature contribution,none,alpha,Global relevance reliance (α),0.0,5,160211,1|2,0.04990783070376571,1.0,0.9345466067685964,0.03711750777519729,0.8963592308061121,1.0,0.6956521739130435
feature contribution,none,alpha,Global relevance reliance (α),0.0,6,160219,0|4,0.15302637697749852,0.0,0.13923263607441905,-0.04088828282189616,0.9530662942821769,0.0,0.23466852858911524
feature contribution,none,alpha,Global relevance reliance (α),0.0,7,160218,0|3,0.36895169804338407,1.0,0.9730306897234922,-0.044089953155537875,0.9533912830230278,1.0,0.23304358488486132
feature contribution,none,alpha,Global relevance reliance (α),0.0,8,160202,0|3,0.3971205891812267,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,alpha,Global relevance reliance (α),0.0,9,160205,1|2,0.033080271327663786,0.0,-1.8806223371248265e-05,-0.24956967853750672,0.8787381747565496,1.0,0.47969923034911
feature contribution,none,alpha,Global relevance reliance (α),0.0,10,160214,2|4,0.3634560077816575,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,alpha,Global relevance reliance (α),0.0,11,160207,1|2,0.17168364570114744,1.0,0.9999196116819382,0.1297127095687916,0.9306377684311179,1.0,0.34681115784441063
feature contribution,none,alpha,Global relevance reliance (α),0.0,12,160208,2|3,0.5723283608752127,1.0,0.842526519341716,0.05070789426990552,0.9396859146095903,1.0,0.42610511184610256
feature contribution,none,alpha,Global relevance reliance (α),0.0,13,160202,0|3,0.3971205891812267,1.0,0.9773913267234599,-0.35921605040141547,0.909776292330182,1.0,0.6136895487063727
feature contribution,none,alpha,Global relevance reliance (α),0.0,14,160210,0|2,0.1124700744616306,1.0,0.9979351838403604,-0.23620649085641243,0.9418763254574449,1.0,0.3691330528747002
feature contribution,none,alpha,Global relevance reliance (α),0.0,15,160200,0|3,0.2962696908452878,0.0,0.0,0.0,0.9406008375885595,1.0,0.0
feature contribution,none,alpha,Global relevance reliance (α),0.0,16,160207,2|3,0.2878705934316532,0.0,0.09139378778813645,0.20505952981609943,0.9673193908784368,1.0,0.16340304560781602
feature contribution,none,alpha,Global relevance reliance (α),0.0,17,160200,0|4,0.28661486380113843,1.0,0.6484762798223712,0.07494260794648971,0.9514415378457204,0.0,0.4343715806698728
