model family,xai,xai label,parameter,parameter label,parameter value,metric,metric label,Monte Carlo draws,mean,standard deviation,95% bootstrap mean CI low,95% bootstrap mean CI high,10th percentile,90th percentile
feature contribution,attribution,Feature attribution,age actionable,Age actionable,0.0,actionability,Actionability rate,50,1.0,0.0,1.0,1.0,1.0,1.0
feature contribution,attribution,Feature attribution,age actionable,Age actionable,0.0,boundary improvement,Boundary-distance improvement,50,-0.010865903130848167,0.1172682897904542,-0.04275186200817738,0.02094425293261268,-0.15043072984015307,0.13739429705834574
feature contribution,attribution,Feature attribution,age actionable,Age actionable,0.0,edit L1,Normalized edit distance (L1),50,0.3382754344607143,0.3152280599356406,0.2536483478653268,0.4221586332352223,0.0,0.7191168839690285
feature contribution,attribution,Feature attribution,age actionable,Age actionable,0.0,plausibility,Plausibility,50,0.9463445979952021,0.04245248396961229,0.9347487700962147,0.9578985466646215,0.8868879587172351,1.0
feature contribution,attribution,Feature attribution,age actionable,Age actionable,0.0,success,Counterfactual success rate,50,0.4,0.4948716593053935,0.26,0.54,0.0,1.0
feature contribution,attribution,Feature attribution,age actionable,Age actionable,0.0,target confidence gain,Target-confidence gain,50,0.3876955935252892,0.4747578235027159,0.26453556076725415,0.5218242972201367,-1.2614951305778277e-10,0.9962442771271903
feature contribution,attribution,Feature attribution,age actionable,Age actionable,1.0,actionability,Actionability rate,50,0.84,0.3703280399090206,0.74,0.94,0.0,1.0
feature contribution,attribution,Feature attribution,age actionable,Age actionable,1.0,boundary improvement,Boundary-distance improvement,50,-0.0008101342326010091,0.09024673855417985,-0.02536381926700107,0.02433490582361993,-0.12031559625140481,0.08879181560769572
feature contribution,attribution,Feature attribution,age actionable,Age actionable,1.0,edit L1,Normalized edit distance (L1),50,0.3142842487354233,0.3221526475215124,0.2312755513815204,0.40807976647435923,0.0,0.6655229613059784
feature contribution,attribution,Feature attribution,age actionable,Age actionable,1.0,plausibility,Plausibility,50,0.9502262872467979,0.03500093245267283,0.9405976732530431,0.9597107117479451,0.9074570489096895,1.0
feature contribution,attribution,Feature attribution,age actionable,Age actionable,1.0,success,Counterfactual success rate,50,0.48,0.5046720495044483,0.34,0.62,0.0,1.0
feature contribution,attribution,Feature attribution,age actionable,Age actionable,1.0,target confidence gain,Target-confidence gain,50,0.4746680724070481,0.4515312033667035,0.353123484911796,0.5989231184356849,-0.0023338068456195743,0.9965091472377939
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,actionability,Actionability rate,50,0.8,0.40406101782088427,0.68,0.9,0.0,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,boundary improvement,Boundary-distance improvement,50,0.002180283187827536,0.08933441961223801,-0.022686153210570294,0.025452837674893133,-0.11714124021014201,0.10386971562099243
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,edit L1,Normalized edit distance (L1),50,0.39355335348248266,0.3982441034916298,0.2897441443975601,0.5050427149883542,0.0,0.9459334673817786
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,plausibility,Plausibility,50,0.9463931258823152,0.04046791282995353,0.9354428846889556,0.9571476974147766,0.8995499944888139,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,success,Counterfactual success rate,50,0.3,0.4629100498862757,0.18,0.42,0.0,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,target confidence gain,Target-confidence gain,50,0.2982787078290859,0.4294450856652268,0.1875897230041399,0.416767874394425,0.0,0.986723386342932
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,actionability,Actionability rate,50,0.9,0.30304576336566325,0.82,0.98,0.9000000000000004,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,boundary improvement,Boundary-distance improvement,50,0.0037309993311173163,0.1213240345411413,-0.029636211237366317,0.03694832164462246,-0.10006113717673883,0.15462797171877435
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,edit L1,Normalized edit distance (L1),50,0.39002024777203476,0.3682699094224099,0.29217746683772244,0.49222996099302546,0.0,0.8824118794500716
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,plausibility,Plausibility,50,0.9439250995898054,0.04089931290933696,0.932345812813554,0.9545773278298949,0.8971828162546489,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,success,Counterfactual success rate,50,0.38,0.49031435147801467,0.26,0.52,0.0,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,target confidence gain,Target-confidence gain,50,0.3655239739610569,0.4515176997398858,0.24585142927500017,0.4935537370193858,-1.2613774469372175e-10,0.9841880223483581
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,actionability,Actionability rate,50,0.84,0.3703280399090206,0.74,0.94,0.0,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,boundary improvement,Boundary-distance improvement,50,-0.010705965271149576,0.10894842454421004,-0.0415445517812956,0.0182282698890235,-0.09744854981355328,0.07516870117122394
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,edit L1,Normalized edit distance (L1),50,0.2977755045187531,0.26111837174959496,0.22746235977362633,0.3716896312324706,0.0,0.6479992936526973
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,plausibility,Plausibility,50,0.9426079812264732,0.04205784777510188,0.9309384347306405,0.9539371069645048,0.895148844347075,1.0
feature contribution,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,success,Counterfactual success rate,50,0.5,0.5050762722761054,0.36,0.64,0.0,1.0
