model family,model family label,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,mean change (high - low)
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,-0.32460317460317456
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,0.024847061563564636
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),-0.0042981237174933296
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,0.0020239025871121585
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,-0.012698412698412709
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,-0.017519342084756584
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,actionability,Actionability rate,0.08333333333333326
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,boundary improvement,Boundary-distance improvement,-0.037455033528506154
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,edit L1,Normalized edit distance (L1),-0.0807165977759885
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,plausibility,Plausibility,-0.01214703671811923
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,success,Counterfactual success rate,-0.0035714285714285587
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,1.0,target confidence gain,Target-confidence gain,0.00018722820139915886
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,0.29880952380952375
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,-0.0013391368019158665
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),-0.07550912965252665
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,0.007375286925049518
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,-0.04642857142857143
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,-0.03675178570190829
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,actionability,Actionability rate,-0.1777777777777778
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,boundary improvement,Boundary-distance improvement,-0.07538188016156784
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,edit L1,Normalized edit distance (L1),0.8082817368232662
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,plausibility,Plausibility,-0.07238624439048924
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,success,Counterfactual success rate,0.6083333333333334
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,target confidence gain,Target-confidence gain,0.5764288194110738
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,-0.32619047619047614
feature contribution,Feature-contribution family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,0.02432593080368982
