model family,model family label,xai,xai label,parameter,parameter label,parameter value,metric,metric label,factorial case-evaluations,mean,10th percentile,90th percentile
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,actionability,Actionability rate,1260,1.0,1.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,boundary improvement,Boundary-distance improvement,1260,-0.017983066614647464,-0.20170061144288073,0.115176855091702
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,edit L1,Normalized edit distance (L1),1260,0.35391880666630054,0.0,0.854039958374164
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,plausibility,Plausibility,1260,0.9480497816380505,0.901816553038322,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,success,Counterfactual success rate,1260,0.3531746031746032,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,0.0,target confidence gain,Target-confidence gain,1260,0.34093520306106223,-1.8806226577439132e-05,0.9921900541916929
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,1.0,actionability,Actionability rate,1260,0.6753968253968254,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,1.0,boundary improvement,Boundary-distance improvement,1260,0.006863994948917172,-0.10748935820178099,0.11686447110162393
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,1.0,edit L1,Normalized edit distance (L1),1260,0.3496206829488072,0.0,0.8440949380011336
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,1.0,plausibility,Plausibility,1260,0.9500736842251627,0.904351204856759,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,1.0,success,Counterfactual success rate,1260,0.3404761904761905,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,age actionable,Age actionable,1.0,target confidence gain,Target-confidence gain,1260,0.32341586097630565,-1.8626770940355365e-05,0.9844647828250997
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,actionability,Actionability rate,840,0.8,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,boundary improvement,Boundary-distance improvement,840,0.011440262402209496,-0.11789327856660027,0.14871530864778218
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,edit L1,Normalized edit distance (L1),840,0.39439211071158303,0.0,0.9174081810257143
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,plausibility,Plausibility,840,0.9537728532651297,0.9164768019239742,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,success,Counterfactual success rate,840,0.3464285714285714,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.0,target confidence gain,Target-confidence gain,840,0.33328890450613485,0.0,0.984594588910996
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,actionability,Actionability rate,840,0.8297619047619048,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,boundary improvement,Boundary-distance improvement,840,-0.0021040987745082704,-0.1549001450095619,0.12456704939240396
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,edit L1,Normalized edit distance (L1),840,0.347241610775484,0.0,0.8435340340119817
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,plausibility,Plausibility,840,0.9517865289826795,0.9070333180066523,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,success,Counterfactual success rate,840,0.35119047619047616,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),0.5,target confidence gain,Target-confidence gain,840,0.32976155884238284,-1.2513343694564583e-10,0.985477631613788
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,actionability,Actionability rate,840,0.8833333333333333,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,boundary improvement,Boundary-distance improvement,840,-0.02601477112629666,-0.18897826433040957,0.07773826449571009
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,edit L1,Normalized edit distance (L1),840,0.31367551293559454,0.0,0.7604958788116486
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,plausibility,Plausibility,840,0.9416258165470105,0.8750980649819659,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,success,Counterfactual success rate,840,0.34285714285714286,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,alpha,Global relevance reliance (α),1.0,target confidence gain,Target-confidence gain,840,0.333476132707534,-0.0045850779295592,0.9923966489124988
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,actionability,Actionability rate,840,0.6726190476190477,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,boundary improvement,Boundary-distance improvement,840,-0.0043301113503200215,-0.15552572482426089,0.10936581321796603
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,edit L1,Normalized edit distance (L1),840,0.38406638950300287,0.0,0.8833164835828212
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,plausibility,Plausibility,840,0.9455185021253052,0.8934635734178595,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,success,Counterfactual success rate,840,0.37023809523809526,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.0,target confidence gain,Target-confidence gain,840,0.35015849315903746,-1.880527463209436e-05,0.9854774533498315
feature contribution,Feature-contribution family,attribution,Feature attribution,eta,Explanation reliance (η),0.5,actionability,Actionability rate,840,0.8690476190476191,0.0,1.0
