model family,xai,configuration,case,instance id,K,eta,alpha,rho,lambda,beta,age actionable,MAP subset,MAP subset probability,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
feature contribution,none,0,1,160200,2,0.0,0.0,-0.3,nan,nan,0,0|1,0.4670981431904598,0.0,0.0,0.0,0.9406008375885595,1.0,0.0
feature contribution,none,0,2,160201,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.4469176232682718,0.0,0.0,0.0,0.9284948791649524,1.0,0.0
feature contribution,none,0,3,160202,2,0.0,0.0,-0.3,nan,nan,0,0|3,0.3971205891812267,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,4,160203,2,0.0,0.0,-0.3,nan,nan,0,0|2,0.44506175086930927,0.0,0.21684530333737748,0.0402567959129833,0.9858045981461336,1.0,0.07097700926933193
feature contribution,none,0,5,160204,2,0.0,0.0,-0.3,nan,nan,0,0|1,0.5916213172393423,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,6,160205,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.6083274543107796,0.0,-1.8710562980084333e-05,-0.027189172237410852,0.9436240348477869,1.0,0.20550193667566496
feature contribution,none,0,7,160206,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.5871561259470297,0.0,1.0162748420583512e-09,0.18868308677968992,0.9496878808858628,1.0,0.3382836307567342
feature contribution,none,0,8,160207,2,0.0,0.0,-0.3,nan,nan,0,0|2,0.38068302890505873,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,9,160208,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.5723283608752127,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,10,160209,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.39338564544941346,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,11,160210,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.574167022963277,0.0,0.0,0.0,0.9339384191212899,1.0,0.0
feature contribution,none,0,12,160211,2,0.0,0.0,-0.3,nan,nan,0,1|3,0.5891449265201609,0.0,0.0,0.0,0.9326486293480933,1.0,0.0
feature contribution,none,0,13,160212,2,0.0,0.0,-0.3,nan,nan,0,2|3,0.5444152241547862,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,14,160213,2,0.0,0.0,-0.3,nan,nan,0,1|3,0.42747175366365114,0.0,0.020250682782330734,0.044948656257525255,0.961086188494992,1.0,0.19456905752503995
feature contribution,none,0,15,160214,2,0.0,0.0,-0.3,nan,nan,0,1|2,0.601281774663402,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,16,160215,2,0.0,0.0,-0.3,nan,nan,0,1|2,0.6095388087243616,0.0,0.06830049745531785,0.019519613587602236,0.9601687980995077,1.0,0.018825670089887836
feature contribution,none,0,17,160216,2,0.0,0.0,-0.3,nan,nan,0,1|2,0.5915423202069723,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,18,160217,2,0.0,0.0,-0.3,nan,nan,0,1|2,0.4660926627827086,0.0,-0.02948720532108573,-0.0016628151383996648,0.9872812272515694,1.0,0.06359386374215309
feature contribution,none,0,19,160218,2,0.0,0.0,-0.3,nan,nan,0,1|3,0.3796634123684304,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,0,20,160219,2,0.0,0.0,-0.3,nan,nan,0,1|3,0.5994801469140912,1.0,0.8527150986779162,0.007352044471082897,0.9680501961822142,1.0,0.5042311633255251
feature contribution,none,1,1,160200,2,0.0,0.0,-0.3,nan,nan,1,0|4,0.28661486380113843,0.0,0.0,0.0,0.9406008375885595,1.0,0.0
feature contribution,none,1,2,160201,2,0.0,0.0,-0.3,nan,nan,1,2|3,0.37303580531232605,0.0,0.0,0.0,0.9284948791649524,1.0,0.0
feature contribution,none,1,3,160202,2,0.0,0.0,-0.3,nan,nan,1,0|4,0.2963168030395646,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,4,160203,2,0.0,0.0,-0.3,nan,nan,1,0|4,0.320985394493337,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,5,160204,2,0.0,0.0,-0.3,nan,nan,1,0|4,0.28078154443190456,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,6,160205,2,0.0,0.0,-0.3,nan,nan,1,2|4,0.38838964973437917,0.0,-1.0508111763285477e-05,-0.01919859351242509,0.9704435004205054,1.0,0.02117260202933086
feature contribution,none,1,7,160206,2,0.0,0.0,-0.3,nan,nan,1,3|4,0.330974545355025,0.0,1.2418334238706308e-07,0.28847022295669333,0.975645985603733,0.0,0.2668589415284562
feature contribution,none,1,8,160207,2,0.0,0.0,-0.3,nan,nan,1,0|2,0.31531657067848445,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,9,160208,2,0.0,0.0,-0.3,nan,nan,1,2|3,0.4686388352227808,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,10,160209,2,0.0,0.0,-0.3,nan,nan,1,2|3,0.27806613076466347,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,11,160210,2,0.0,0.0,-0.3,nan,nan,1,2|4,0.41495658350941855,0.0,0.0,0.0,0.9339384191212899,1.0,0.0
feature contribution,none,1,12,160211,2,0.0,0.0,-0.3,nan,nan,1,3|4,0.3014720516792996,0.0,0.0,0.0,0.9326486293480933,1.0,0.0
feature contribution,none,1,13,160212,2,0.0,0.0,-0.3,nan,nan,1,2|4,0.3445213450493585,0.0,0.036271765821413754,-0.02546890166196847,0.9366574081341478,0.0,0.31671295932926136
feature contribution,none,1,14,160213,2,0.0,0.0,-0.3,nan,nan,1,1|4,0.45256183557277696,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,15,160214,2,0.0,0.0,-0.3,nan,nan,1,2|4,0.3634560077816575,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,16,160215,2,0.0,0.0,-0.3,nan,nan,1,1|4,0.34475362707278817,0.0,-0.06925103809066802,-0.04372403691079263,0.971410077069246,0.0,0.1032887951402976
feature contribution,none,1,17,160216,2,0.0,0.0,-0.3,nan,nan,1,1|4,0.36778451420418384,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,18,160217,2,0.0,0.0,-0.3,nan,nan,1,2|4,0.386240184640864,0.0,0.010998160670709911,0.0028975268460000037,0.9994204946308405,0.0,0.0028975268457976933
feature contribution,none,1,19,160218,2,0.0,0.0,-0.3,nan,nan,1,1|3,0.2964730714347688,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,1,20,160219,2,0.0,0.0,-0.3,nan,nan,1,1|4,0.3084299637390259,0.0,0.3575304601691003,0.03125229847761349,0.9792702308766804,0.0,0.10364884561659804
feature contribution,none,2,1,160200,2,0.0,0.0,-0.2,nan,nan,0,0|1,0.4670981431904598,0.0,0.0,0.0,0.9406008375885595,1.0,0.0
feature contribution,none,2,2,160201,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.4469176232682718,0.0,0.0,0.0,0.9284948791649524,1.0,0.0
feature contribution,none,2,3,160202,2,0.0,0.0,-0.2,nan,nan,0,0|3,0.3971205891812267,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,4,160203,2,0.0,0.0,-0.2,nan,nan,0,0|2,0.44506175086930927,1.0,0.9315130431342072,0.004508295144637978,0.9658045981461336,1.0,0.1709770092693319
feature contribution,none,2,5,160204,2,0.0,0.0,-0.2,nan,nan,0,0|1,0.5916213172393423,0.0,0.19353594800904683,0.027009920592283354,0.9938229088025464,1.0,0.030885455987267774
feature contribution,none,2,6,160205,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.6083274543107796,0.0,-1.726840417959341e-05,0.03581071937081584,0.9436240348477869,1.0,0.4055019366756649
feature contribution,none,2,7,160206,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.5871561259470297,0.0,7.63484137022985e-08,0.33452911141507735,0.9280371177087205,1.0,0.5382836307567341
feature contribution,none,2,8,160207,2,0.0,0.0,-0.2,nan,nan,0,0|2,0.38068302890505873,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,9,160208,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.5723283608752127,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,10,160209,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.39338564544941346,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,11,160210,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.574167022963277,0.0,0.0068117699823924726,0.01783993990825461,0.9649400505498086,1.0,0.15500815714259297
feature contribution,none,2,12,160211,2,0.0,0.0,-0.2,nan,nan,0,1|3,0.5891449265201609,0.0,0.0006553894761038952,0.00870753715018091,0.9492947477145581,1.0,0.08323059183232362
feature contribution,none,2,13,160212,2,0.0,0.0,-0.2,nan,nan,0,2|3,0.5444152241547862,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,14,160213,2,0.0,0.0,-0.2,nan,nan,0,1|3,0.42747175366365114,0.0,0.249656137901571,0.08137090585461615,0.9481296791571493,1.0,0.2945690575250398
feature contribution,none,2,15,160214,2,0.0,0.0,-0.2,nan,nan,0,1|2,0.601281774663402,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,16,160215,2,0.0,0.0,-0.2,nan,nan,0,1|2,0.6095388087243616,1.0,0.8791970765277421,-0.022136550632195384,0.9603344336105002,1.0,0.2188256700898878
feature contribution,none,2,17,160216,2,0.0,0.0,-0.2,nan,nan,0,1|2,0.5915423202069723,0.0,0.4189080165439869,0.03327380686844306,0.9866509104807981,1.0,0.06674544759600959
feature contribution,none,2,18,160217,2,0.0,0.0,-0.2,nan,nan,0,1|2,0.4660926627827086,0.0,0.07934501830373875,0.008651001469874187,0.9739947179262507,1.0,0.16359386374215307
feature contribution,none,2,19,160218,2,0.0,0.0,-0.2,nan,nan,0,1|3,0.3796634123684304,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,2,20,160219,2,0.0,0.0,-0.2,nan,nan,0,1|3,0.5994801469140912,0.0,0.08443959088346276,-0.0025286203411910013,0.93613813122285,1.0,0.7042311633255252
feature contribution,none,3,1,160200,2,0.0,0.0,-0.2,nan,nan,1,0|4,0.28661486380113843,0.0,0.0,0.0,0.9406008375885595,1.0,0.0
feature contribution,none,3,2,160201,2,0.0,0.0,-0.2,nan,nan,1,2|3,0.37303580531232605,0.0,0.0,0.0,0.9284948791649524,1.0,0.0
feature contribution,none,3,3,160202,2,0.0,0.0,-0.2,nan,nan,1,0|4,0.2963168030395646,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,4,160203,2,0.0,0.0,-0.2,nan,nan,1,0|4,0.320985394493337,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,5,160204,2,0.0,0.0,-0.2,nan,nan,1,0|4,0.28078154443190456,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,6,160205,2,0.0,0.0,-0.2,nan,nan,1,2|4,0.38838964973437917,0.0,-1.862793933593565e-05,-0.025414528559014438,0.9482519263720085,0.0,0.21097720900564398
feature contribution,none,3,7,160206,2,0.0,0.0,-0.2,nan,nan,1,3|4,0.330974545355025,0.0,7.360137339706974e-06,0.35130276063270416,0.939920168877,0.0,0.4454880251621205
feature contribution,none,3,8,160207,2,0.0,0.0,-0.2,nan,nan,1,0|2,0.31531657067848445,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,9,160208,2,0.0,0.0,-0.2,nan,nan,1,2|3,0.4686388352227808,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,10,160209,2,0.0,0.0,-0.2,nan,nan,1,2|3,0.27806613076466347,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,11,160210,2,0.0,0.0,-0.2,nan,nan,1,2|4,0.41495658350941855,0.0,0.00091787806275346,0.0019300412821846025,0.9269426746397251,0.0,0.03497872240782429
feature contribution,none,3,12,160211,2,0.0,0.0,-0.2,nan,nan,1,3|4,0.3014720516792996,0.0,0.0,0.0,0.9326486293480933,1.0,0.0
feature contribution,none,3,13,160212,2,0.0,0.0,-0.2,nan,nan,1,2|4,0.3445213450493585,0.0,0.11597327492462729,-0.004414010547879543,0.9166574081341478,0.0,0.4167129593292612
feature contribution,none,3,14,160213,2,0.0,0.0,-0.2,nan,nan,1,1|4,0.45256183557277696,0.0,0.013239892146052559,0.029598635375084392,0.9800054911821466,1.0,0.09997254408926703
feature contribution,none,3,15,160214,2,0.0,0.0,-0.2,nan,nan,1,2|4,0.3634560077816575,0.0,0.0,0.0,1.0,1.0,0.0
feature contribution,none,3,16,160215,2,0.0,0.0,-0.2,nan,nan,1,1|4,0.34475362707278817,0.0,-0.0770847553818289,-0.09871815695709735,0.9533378022563702,0.0,0.20328879514029757
feature contribution,none,3,17,160216,2,0.0,0.0,-0.2,nan,nan,1,1|4,0.36778451420418384,0.0,-0.028741218580011885,-0.005101739943988937,0.9809729824832583,0.0,0.09513508758370853
feature contribution,none,3,18,160217,2,0.0,0.0,-0.2,nan,nan,1,2|4,0.386240184640864,1.0,0.7751284620128254,-0.045837417603042,0.9794204946308405,0.0,0.10289752684579767
feature contribution,none,3,19,160218,2,0.0,0.0,-0.2,nan,nan,1,1|3,0.2964730714347688,0.0,0.0,0.0,1.0,1.0,0.0
