participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_19vxEDR7cSM6KtE,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.05,nan,nan,1,4,0.3823418886389195,0.40960604348858454,0.17428982076642355,0.8,1.0641294918626705,0.3935918886389195,0.4096060434885846,0.19678982076642354,0.8,1.0641294918626703,1
R_19vxEDR7cSM6KtE,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.05,0.0,0.0,1,4,0.44414347979474716,0.24564847490716185,0.13393543449665615,0.8,1.8342321019682537,0.44414347979474716,0.24564847490716185,0.13393543449665615,0.8,1.8342321019682537,0
R_1EuK2V9UeTSvnUv,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.25,nan,nan,1,4,0.2807484641502669,0.576569785773434,0.13806671407396756,1.0,0.8938622238930248,0.2819984641502668,0.5765697857734339,0.14056671407396756,1.0,0.893862223893025,1
R_1EuK2V9UeTSvnUv,diabetes,attribution,20,weighted examples,observed per instance,0.5,nan,0.05,2.0,0.0,1,4,0.46236595971764444,0.31667951064939687,0.24141143008468577,0.8,1.479678582217821,0.4774012211022902,0.29703203023609454,0.25183447244067525,0.8,1.5440400889689507,0
R_1PS5HhdXTd7lZpJ,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,1.0,0.1,nan,nan,1,4,0.38631514384458887,0.33457285927372327,0.10720314696290101,1.0,1.1601235730404742,0.4094128317658819,0.30165590354071625,0.12048156707247999,1.0,2.53430391309423,1
R_1PS5HhdXTd7lZpJ,diabetes,counterfactual,20,weighted examples,observed per instance,0.5,nan,0.15,6.0,1.0,1,4,0.41246075048969144,0.2792789140568387,0.10420041503622157,0.95,1.3975417916903898,0.4140319448392023,0.2832915835039719,0.11135547318237649,0.95,2.6147552262030698,0
R_1R2ijkLW5InLFPz,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.25,nan,nan,1,4,0.27272055943602813,0.5747726656160796,0.12021378448813588,0.95,0.9230502238409682,0.3238097927676932,0.4848407121585156,0.13246029769390216,0.95,1.1934833683766386,1
R_1R2ijkLW5InLFPz,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.1,6.0,0.0,1,4,0.4723825390252682,0.240962427844101,0.18572750589463755,0.8,1.873340862880714,0.48938185534116024,0.2223720815779208,0.20113579226024117,0.8,1.9385139509574665,0
R_1WCsP4MTfRGSZ0t,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,1.0,0.1,nan,nan,0,4,0.4133523992377697,0.3709843113926724,0.1976891098682117,1.0,1.00268210220919,0.4215220767097609,0.3461696068349084,0.1892137602544303,1.0,1.126597596695967,1
R_1WCsP4MTfRGSZ0t,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.05,2.0,1.0,0,4,0.3190857553783727,0.38237982710649254,0.02055133786323808,1.0,1.189965883246526,0.3382307943278313,0.34416311098525937,0.02062469964092204,1.0,1.3941459501296816,0
R_1uYq1TbMDjqBOoN,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.15,nan,nan,0,4,0.4407477537089092,0.3592632350859061,0.24075874250372414,0.9,1.295308636947168,0.4990683510659168,0.2500852669026804,0.24822196903451405,0.9,1.534562071226036,1
R_1uYq1TbMDjqBOoN,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.15,0.0,0.0,0,4,0.42856223462660914,0.2909176306967147,0.148042099949933,0.95,1.5601263431588908,0.4310622346266092,0.2909176306967147,0.153042099949933,0.95,1.5601263431588905,0
R_1y8SUpfid4hFd78,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.05,nan,nan,1,4,0.3413485319928934,0.4391788578234669,0.1218759218092537,1.0,1.0209809727842298,0.3449854394741535,0.4391788578234669,0.12914973677177394,1.0,1.0209809727842296,1
R_1y8SUpfid4hFd78,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.1,6.0,1.0,1,4,0.4285689934091465,0.26126459739726693,0.11840258421555985,0.9,1.5322175324786287,0.44162072810335734,0.23628634190628445,0.11952779811299914,0.9,1.6909557845048462,0
R_30cGYmvQmqK1yBb,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.5,0.3,nan,nan,1,4,0.31521943977418465,0.4810684957856356,0.11150737533400493,1.0,0.916634608270311,0.31521943977418465,0.4810684957856356,0.11150737533400494,1.0,0.9166346082703107,1
R_30cGYmvQmqK1yBb,diabetes,attribution,20,weighted examples,observed per instance,0.5,nan,0.15,6.0,0.0,1,4,0.3863282126025233,0.38037045245103585,0.15302687765608236,0.9,1.262774615443061,0.40149404909621095,0.37104352802658414,0.17403162621900603,0.9,1.2988909937798998,0
R_3AbQNpoJALUO8Vz,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.15,nan,nan,1,4,0.4169899728535376,0.2920783770568692,0.12605832276394432,1.0,1.4545843075464364,0.43325344120554454,0.26038191656977955,0.1268887989808686,1.0,1.5790998065817008,1
